date,revenue_offeredcapacity_others
2023-04-01 00:00:00,0
2023-04-01 01:00:00,0
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,0
2023-04-01 06:00:00,9.8500
2023-04-01 07:00:00,-24.6900
2023-04-01 08:00:00,0.0800
2023-04-01 09:00:00,-0.3600
2023-04-01 10:00:00,-0.8600
2023-04-01 11:00:00,-51.6300
2023-04-01 12:00:00,-82.1100
2023-04-01 13:00:00,-27.5100
2023-04-01 14:00:00,-30.6200
2023-04-01 15:00:00,-62.1600
2023-04-01 16:00:00,-102.2800
2023-04-01 17:00:00,-0.3800
2023-04-01 18:00:00,0.6700
2023-04-01 19:00:00,-1.5300
2023-04-01 20:00:00,-1.9000
2023-04-01 21:00:00,0
2023-04-01 22:00:00,-2.9200
2023-04-01 23:00:00,0
2023-04-02 00:00:00,-15.0700
2023-04-02 01:00:00,0
2023-04-02 02:00:00,0
2023-04-02 03:00:00,0
2023-04-02 04:00:00,0
2023-04-02 05:00:00,0
2023-04-02 06:00:00,9.1400
2023-04-02 07:00:00,-30.2700
2023-04-02 08:00:00,-20.9600
2023-04-02 09:00:00,-38.1000
2023-04-02 10:00:00,-27.7900
2023-04-02 11:00:00,-50.3000
2023-04-02 12:00:00,-80.8600
2023-04-02 13:00:00,-121.6100
2023-04-02 14:00:00,-123.5300
2023-04-02 15:00:00,-128.1300
2023-04-02 16:00:00,-160.2900
2023-04-02 17:00:00,0.5000
2023-04-02 18:00:00,-70.7600
2023-04-02 19:00:00,-11.7000
2023-04-02 20:00:00,6.7100
2023-04-02 21:00:00,4.3500
2023-04-02 22:00:00,2.1000
2023-04-02 23:00:00,0.0200
2023-04-03 00:00:00,0
2023-04-03 01:00:00,0
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0.0500
2023-04-03 05:00:00,-2.5800
2023-04-03 06:00:00,-2.7300
2023-04-03 07:00:00,-200.2800
2023-04-03 08:00:00,-102.1300
2023-04-03 09:00:00,-82.2600
2023-04-03 10:00:00,10.3600
