date,revenue_offeredcapacity_others
2023-04-01 00:00:00,83.6600
2023-04-01 01:00:00,0.0600
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,0
2023-04-01 06:00:00,286.2300
2023-04-01 07:00:00,3673.3800
2023-04-01 08:00:00,1719.6200
2023-04-01 09:00:00,-1050.4600
2023-04-01 10:00:00,-306.6000
2023-04-01 11:00:00,-0.2200
2023-04-01 12:00:00,-1.1400
2023-04-01 13:00:00,-0.2600
2023-04-01 14:00:00,-3473.8300
2023-04-01 15:00:00,-5391.5100
2023-04-01 16:00:00,-4440.5200
2023-04-01 17:00:00,-277.8600
2023-04-01 18:00:00,3738.5000
2023-04-01 19:00:00,6843.0000
2023-04-01 20:00:00,7136.6500
2023-04-01 21:00:00,6018.0700
2023-04-01 22:00:00,3360.5400
2023-04-01 23:00:00,2283.6000
2023-04-02 00:00:00,0.0600
2023-04-02 01:00:00,0
2023-04-02 02:00:00,0
2023-04-02 03:00:00,0
2023-04-02 04:00:00,0
2023-04-02 05:00:00,0
2023-04-02 06:00:00,234.8100
2023-04-02 07:00:00,1911.4400
2023-04-02 08:00:00,-2712.1100
2023-04-02 09:00:00,-2626.9700
2023-04-02 10:00:00,-50.6800
2023-04-02 11:00:00,-1.9000
2023-04-02 12:00:00,-2401.8200
2023-04-02 13:00:00,-3432.5600
2023-04-02 14:00:00,-1518.0800
2023-04-02 15:00:00,-658.9400
2023-04-02 16:00:00,-186.5400
2023-04-02 17:00:00,-123.4000
2023-04-02 18:00:00,4912.8600
2023-04-02 19:00:00,9139.8600
2023-04-02 20:00:00,8835.6000
2023-04-02 21:00:00,7354.8500
2023-04-02 22:00:00,4466.0900
2023-04-02 23:00:00,1204.2900
2023-04-03 00:00:00,0
2023-04-03 01:00:00,0
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0
2023-04-03 05:00:00,0
2023-04-03 06:00:00,490.6400
2023-04-03 07:00:00,6601.4600
2023-04-03 08:00:00,6754.1600
2023-04-03 09:00:00,4929.1000
2023-04-03 10:00:00,1834.7400
2023-04-03 11:00:00,-153.1700
2023-04-03 12:00:00,-606.0200
2023-04-03 13:00:00,-575.1300
2023-04-03 14:00:00,-992.9400
2023-04-03 15:00:00,-460.3000
2023-04-03 16:00:00,2971.7400
2023-04-03 17:00:00,5972.6500
2023-04-03 18:00:00,7457.0000
2023-04-03 19:00:00,11414.0900
2023-04-03 20:00:00,12796.7600
2023-04-03 21:00:00,11483.1300
2023-04-03 22:00:00,2803.9800
2023-04-03 23:00:00,56.7300
2023-04-04 00:00:00,0
2023-04-04 01:00:00,0
2023-04-04 02:00:00,0
2023-04-04 03:00:00,0
2023-04-04 04:00:00,0
2023-04-04 05:00:00,0
2023-04-04 06:00:00,898.7200
2023-04-04 07:00:00,11323.8400
2023-04-04 08:00:00,4754.9400
2023-04-04 09:00:00,584.8900
2023-04-04 10:00:00,-699.9100
2023-04-04 11:00:00,-1223.0700
2023-04-04 12:00:00,-0.9400
2023-04-04 13:00:00,-447.8100
2023-04-04 14:00:00,-1839.1000
2023-04-04 15:00:00,-2548.8300
2023-04-04 16:00:00,-575.5600
2023-04-04 17:00:00,1543.3900
2023-04-04 18:00:00,7412
2023-04-04 19:00:00,26375.1200
2023-04-04 20:00:00,21797.8100
2023-04-04 21:00:00,12690.8800
2023-04-04 22:00:00,8748.1200
2023-04-04 23:00:00,4750.9900
2023-04-05 00:00:00,0.5100
2023-04-05 01:00:00,0
2023-04-05 02:00:00,0
2023-04-05 03:00:00,0
2023-04-05 04:00:00,0
2023-04-05 05:00:00,0
2023-04-05 06:00:00,2167.2000
2023-04-05 07:00:00,13333.0400
2023-04-05 08:00:00,5944.8300
2023-04-05 09:00:00,-501.9000
2023-04-05 10:00:00,-1692.9400
2023-04-05 11:00:00,-542.5800
2023-04-05 12:00:00,-165.7100
2023-04-05 13:00:00,-1732.5700
2023-04-05 14:00:00,-1905.7900
2023-04-05 15:00:00,-1869.8600
2023-04-05 16:00:00,-983.6900
2023-04-05 17:00:00,4587.2500
2023-04-05 18:00:00,9368.0600
2023-04-05 19:00:00,16551.1100
2023-04-05 20:00:00,14554.9700
2023-04-05 21:00:00,12614.9000
2023-04-05 22:00:00,7354.5300
2023-04-05 23:00:00,4837.8500
2023-04-06 00:00:00,0
2023-04-06 01:00:00,0
2023-04-06 02:00:00,0
2023-04-06 03:00:00,0
2023-04-06 04:00:00,0
2023-04-06 05:00:00,0
2023-04-06 06:00:00,856.9900
2023-04-06 07:00:00,6232.1400
2023-04-06 08:00:00,2257.8100
2023-04-06 09:00:00,102.8000
2023-04-06 10:00:00,-1410.1400
2023-04-06 11:00:00,-657.3400
2023-04-06 12:00:00,-490.0600
