date,revenue_offeredcapacity_others
2023-04-01 00:00:00,531.7538
2023-04-01 01:00:00,472.4638
2023-04-01 02:00:00,168.9438
2023-04-01 03:00:00,26.9238
2023-04-01 04:00:00,13.5838
2023-04-01 05:00:00,532.8938
2023-04-01 06:00:00,553.8638
2023-04-01 07:00:00,1701.0638
2023-04-01 08:00:00,603.0938
2023-04-01 09:00:00,6.8838
2023-04-01 10:00:00,-792.9562
2023-04-01 11:00:00,-639.4862
2023-04-01 12:00:00,-11.7162
2023-04-01 13:00:00,7.5938
2023-04-01 14:00:00,-600.2962
2023-04-01 15:00:00,-282.3662
2023-04-01 16:00:00,-232.3162
2023-04-01 17:00:00,-113.0762
2023-04-01 18:00:00,266.5838
2023-04-01 19:00:00,2918.7438
2023-04-01 20:00:00,3079.1938
2023-04-01 21:00:00,2245.0038
2023-04-01 22:00:00,1453.2638
2023-04-01 23:00:00,208.3038
2023-04-02 00:00:00,439.9200
2023-04-02 01:00:00,65.1300
2023-04-02 02:00:00,9.2500
2023-04-02 03:00:00,946.8900
2023-04-02 04:00:00,1566.0200
2023-04-02 05:00:00,1743.6900
2023-04-02 06:00:00,2321.5800
2023-04-02 07:00:00,1302.5500
2023-04-02 08:00:00,-661.9900
2023-04-02 09:00:00,-27.8100
2023-04-02 10:00:00,0
2023-04-02 11:00:00,-449.9400
2023-04-02 12:00:00,0
2023-04-02 13:00:00,-1033.8900
2023-04-02 14:00:00,-2741.6700
2023-04-02 15:00:00,-67.2100
2023-04-02 16:00:00,-29.2800
2023-04-02 17:00:00,-130.7600
2023-04-02 18:00:00,1162.9500
2023-04-02 19:00:00,7354.7100
2023-04-02 20:00:00,3591.3900
2023-04-02 21:00:00,1277.0600
2023-04-02 22:00:00,98.6700
2023-04-02 23:00:00,61.6300
2023-04-03 00:00:00,377.9421
2023-04-03 01:00:00,11.1821
2023-04-03 02:00:00,0.0021
2023-04-03 03:00:00,868.3921
2023-04-03 04:00:00,1572.6121
2023-04-03 05:00:00,4570.8721
2023-04-03 06:00:00,732.5721
2023-04-03 07:00:00,1531.5321
2023-04-03 08:00:00,1865.3821
2023-04-03 09:00:00,428.8421
2023-04-03 10:00:00,810.8121
2023-04-03 11:00:00,0.0021
2023-04-03 12:00:00,0.0021
2023-04-03 13:00:00,4.0221
2023-04-03 14:00:00,-0.0079
2023-04-03 15:00:00,-0.0879
2023-04-03 16:00:00,3.1421
2023-04-03 17:00:00,583.9321
2023-04-03 18:00:00,3599.9021
2023-04-03 19:00:00,2529.2521
2023-04-03 20:00:00,5457.8221
2023-04-03 21:00:00,2063.6721
2023-04-03 22:00:00,1649.4021
2023-04-03 23:00:00,683.4221
2023-04-04 00:00:00,497.4500
2023-04-04 01:00:00,644.9700
2023-04-04 02:00:00,468.2400
2023-04-04 03:00:00,1136.4400
2023-04-04 04:00:00,3668.2700
2023-04-04 05:00:00,1292.7600
2023-04-04 06:00:00,0
2023-04-04 07:00:00,1183.1700
2023-04-04 08:00:00,1411.5300
2023-04-04 09:00:00,131.9100
2023-04-04 10:00:00,-262.6200
2023-04-04 11:00:00,-40.9000
2023-04-04 12:00:00,-1.8200
2023-04-04 13:00:00,0
2023-04-04 14:00:00,0
2023-04-04 15:00:00,0
2023-04-04 16:00:00,-94.2300
2023-04-04 17:00:00,71.4000
2023-04-04 18:00:00,3558.8800
2023-04-04 19:00:00,2146.7600
2023-04-04 20:00:00,1833.3300
2023-04-04 21:00:00,5362.7500
2023-04-04 22:00:00,0
2023-04-04 23:00:00,0
2023-04-05 00:00:00,1636.9213
2023-04-05 01:00:00,261.6413
2023-04-05 02:00:00,4059.6813
2023-04-05 03:00:00,1895.3213
2023-04-05 04:00:00,6284.9413
2023-04-05 05:00:00,5100.3813
2023-04-05 06:00:00,2518.3613
2023-04-05 07:00:00,3277.9313
2023-04-05 08:00:00,1417.3713
2023-04-05 09:00:00,-2.6787
2023-04-05 10:00:00,-316.1687
2023-04-05 11:00:00,0.0013
2023-04-05 12:00:00,-0.5487
2023-04-05 13:00:00,0.0013
2023-04-05 14:00:00,0.0013
2023-04-05 15:00:00,-293.9387
2023-04-05 16:00:00,-405.7487
2023-04-05 17:00:00,-85.4487
2023-04-05 18:00:00,3659.2013
2023-04-05 19:00:00,1907.0013
2023-04-05 20:00:00,1712.3013
2023-04-05 21:00:00,5583.2513
2023-04-05 22:00:00,2014.0013
2023-04-05 23:00:00,380.8713
2023-04-06 00:00:00,4512.7300
2023-04-06 01:00:00,1268.2900
2023-04-06 02:00:00,2363.0200
2023-04-06 03:00:00,464.5200
2023-04-06 04:00:00,3103.4600
2023-04-06 05:00:00,1509.0500
2023-04-06 06:00:00,902.1000
2023-04-06 07:00:00,278.1000
2023-04-06 08:00:00,1220.0500
2023-04-06 09:00:00,-40.4100
2023-04-06 10:00:00,-23.5200
2023-04-06 11:00:00,-0.9100
2023-04-06 12:00:00,-12.5100
2023-04-06 13:00:00,0
2023-04-06 14:00:00,0
2023-04-06 15:00:00,-125.3100
2023-04-06 16:00:00,-32.2200
2023-04-06 17:00:00,856.4000
2023-04-06 18:00:00,2315.9200
2023-04-06 19:00:00,1753.2800
2023-04-06 20:00:00,5065.2600
2023-04-06 21:00:00,833.0800
2023-04-06 22:00:00,15.0500
2023-04-06 23:00:00,659.5200
2023-04-07 00:00:00,171.9400
2023-04-07 01:00:00,1553.3000
2023-04-07 02:00:00,347
2023-04-07 03:00:00,407.7900
2023-04-07 04:00:00,650.2000
2023-04-07 05:00:00,1416.3900
2023-04-07 06:00:00,805.4700
2023-04-07 07:00:00,250.4300
2023-04-07 08:00:00,2152.6800
2023-04-07 09:00:00,104.7400
2023-04-07 10:00:00,-71.8000
2023-04-07 11:00:00,-43.8000
2023-04-07 12:00:00,0.0300
2023-04-07 13:00:00,-0.0500
2023-04-07 14:00:00,-0.3200
2023-04-07 15:00:00,0
2023-04-07 16:00:00,-0.8400
2023-04-07 17:00:00,519.0700
2023-04-07 18:00:00,2503.8100
2023-04-07 19:00:00,3875.1600
2023-04-07 20:00:00,214.6700
2023-04-07 21:00:00,145.8800
2023-04-07 22:00:00,1007.4000
2023-04-07 23:00:00,12.4000
2023-04-08 00:00:00,7.9000
2023-04-08 01:00:00,229.2000
2023-04-08 02:00:00,619.6800
2023-04-08 03:00:00,0
2023-04-08 04:00:00,1658.7900
2023-04-08 05:00:00,1989.1600
2023-04-08 06:00:00,2095.7600
2023-04-08 07:00:00,1466.4000
2023-04-08 08:00:00,499.3400
2023-04-08 09:00:00,5.8500
2023-04-08 10:00:00,-41.6100
2023-04-08 11:00:00,-133.6200
2023-04-08 12:00:00,-2.0800
2023-04-08 13:00:00,0
2023-04-08 14:00:00,-0.8700
2023-04-08 15:00:00,-12.0900
2023-04-08 16:00:00,37.5400
2023-04-08 17:00:00,9.7900
2023-04-08 18:00:00,216.1200
2023-04-08 19:00:00,1787.1400
2023-04-08 20:00:00,1823.7000
2023-04-08 21:00:00,1654.5600
2023-04-08 22:00:00,1551.5800
2023-04-08 23:00:00,1647.6600
2023-04-09 00:00:00,828.7800
2023-04-09 01:00:00,2093.0400
2023-04-09 02:00:00,1637.2300
2023-04-09 03:00:00,1096.6200
2023-04-09 04:00:00,3854.4100
2023-04-09 05:00:00,2793.9700
2023-04-09 06:00:00,2050.1900
2023-04-09 07:00:00,387.5700
2023-04-09 08:00:00,37.4200
2023-04-09 09:00:00,-20.9400
2023-04-09 10:00:00,-74.1300
2023-04-09 11:00:00,-12.0900
2023-04-09 12:00:00,0
2023-04-09 13:00:00,-28.2900
2023-04-09 14:00:00,-12.2100
2023-04-09 15:00:00,0
2023-04-09 16:00:00,13.3500
2023-04-09 17:00:00,32.2100
2023-04-09 18:00:00,1314.1500
2023-04-09 19:00:00,3555.1100
2023-04-09 20:00:00,1797.5700
2023-04-09 21:00:00,1771.7500
2023-04-09 22:00:00,187.6200
2023-04-09 23:00:00,116.6800
2023-04-10 00:00:00,715.9700
2023-04-10 01:00:00,486.2200
2023-04-10 02:00:00,1148.6400
2023-04-10 03:00:00,285.8900
2023-04-10 04:00:00,495.4000
2023-04-10 05:00:00,2012.8500
2023-04-10 06:00:00,2205.4500
2023-04-10 07:00:00,551.0100
2023-04-10 08:00:00,782.6200
2023-04-10 09:00:00,343.1700
2023-04-10 10:00:00,684.4500
2023-04-10 11:00:00,244.7700
2023-04-10 12:00:00,67.9200
2023-04-10 13:00:00,908.7500
2023-04-10 14:00:00,864.9600
2023-04-10 15:00:00,220.7100
2023-04-10 16:00:00,1387.3700
2023-04-10 17:00:00,1038.0500
2023-04-10 18:00:00,960.4900
2023-04-10 19:00:00,7007.3700
2023-04-10 20:00:00,4186.2300
2023-04-10 21:00:00,0
2023-04-10 22:00:00,1846.2400
2023-04-10 23:00:00,0
2023-04-11 00:00:00,1532.0100
2023-04-11 01:00:00,1523.7500
2023-04-11 02:00:00,29.2500
2023-04-11 03:00:00,836.6000
2023-04-11 04:00:00,3365.9600
2023-04-11 05:00:00,4511.4100
2023-04-11 06:00:00,25.0200
2023-04-11 07:00:00,1792.3700
2023-04-11 08:00:00,1334.3100
2023-04-11 09:00:00,-1.0300
2023-04-11 10:00:00,721.9200
2023-04-11 11:00:00,8.0100
2023-04-11 12:00:00,8.4000
2023-04-11 13:00:00,7.3200
2023-04-11 14:00:00,0
2023-04-11 15:00:00,0
2023-04-11 16:00:00,1.3700
2023-04-11 17:00:00,50.5500
2023-04-11 18:00:00,118.6100
2023-04-11 19:00:00,22.6500
2023-04-11 20:00:00,541.1900
2023-04-11 21:00:00,312.8900
2023-04-11 22:00:00,1305.7900
2023-04-11 23:00:00,581.4800
2023-04-12 00:00:00,167.6200
2023-04-12 01:00:00,148.9000
2023-04-12 02:00:00,46.4100
2023-04-12 03:00:00,14.8000
2023-04-12 04:00:00,2367.3800
2023-04-12 05:00:00,3170.4600
2023-04-12 06:00:00,1008.2000
2023-04-12 07:00:00,2354.5900
2023-04-12 08:00:00,73.3500
2023-04-12 09:00:00,500.7700
2023-04-12 10:00:00,1637.7600
2023-04-12 11:00:00,0
2023-04-12 12:00:00,0.6000
2023-04-12 13:00:00,0
2023-04-12 14:00:00,0
2023-04-12 15:00:00,36.3700
2023-04-12 16:00:00,797.8500
2023-04-12 17:00:00,158.8500
2023-04-12 18:00:00,25.3800
2023-04-12 19:00:00,2064.2900
2023-04-12 20:00:00,6657.4900
2023-04-12 21:00:00,3764.2600
2023-04-12 22:00:00,1299.9100
2023-04-12 23:00:00,455.7900
2023-04-13 00:00:00,62.6900
2023-04-13 01:00:00,11.1700
2023-04-13 02:00:00,494.0700
2023-04-13 03:00:00,1249.5600
2023-04-13 04:00:00,1857.3500
2023-04-13 05:00:00,2521.5600
2023-04-13 06:00:00,1084.9800
2023-04-13 07:00:00,1672.5000
2023-04-13 08:00:00,118.8000
2023-04-13 09:00:00,167.1300
2023-04-13 10:00:00,0.2700
2023-04-13 11:00:00,0
2023-04-13 12:00:00,-0.1100
2023-04-13 13:00:00,0
2023-04-13 14:00:00,0
2023-04-13 15:00:00,-0.0300
2023-04-13 16:00:00,-1.9600
2023-04-13 17:00:00,1.7900
2023-04-13 18:00:00,6.7600
2023-04-13 19:00:00,1606.4800
2023-04-13 20:00:00,4162.2100
2023-04-13 21:00:00,4023.5400
2023-04-13 22:00:00,1837.1400
