date,revenue_offeredcapacity_regup
2023-04-01 00:00:00,0
2023-04-01 01:00:00,0
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,177.8900
2023-04-01 06:00:00,0
2023-04-01 07:00:00,471.6500
2023-04-01 08:00:00,247.5700
2023-04-01 09:00:00,202.5600
2023-04-01 10:00:00,204.9100
2023-04-01 11:00:00,462.5800
2023-04-01 12:00:00,540
2023-04-01 13:00:00,540
2023-04-01 14:00:00,582.2400
2023-04-01 15:00:00,680.5400
2023-04-01 16:00:00,1116.2900
2023-04-01 17:00:00,1404.1900
2023-04-01 18:00:00,608.7300
2023-04-01 19:00:00,0
2023-04-01 20:00:00,219.9600
2023-04-01 21:00:00,236.4300
2023-04-01 22:00:00,367.2000
2023-04-01 23:00:00,448.5000
2023-04-02 00:00:00,177.4800
2023-04-02 01:00:00,0
2023-04-02 02:00:00,0
2023-04-02 03:00:00,0
2023-04-02 04:00:00,0
2023-04-02 05:00:00,204
2023-04-02 06:00:00,204
2023-04-02 07:00:00,498.9800
2023-04-02 08:00:00,0
2023-04-02 09:00:00,490.4400
2023-04-02 10:00:00,450.4800
2023-04-02 11:00:00,604.6000
2023-04-02 12:00:00,655.9800
2023-04-02 13:00:00,667.5400
2023-04-02 14:00:00,645.0800
2023-04-02 15:00:00,681.2700
2023-04-02 16:00:00,1030.5900
2023-04-02 17:00:00,1036.8000
2023-04-02 18:00:00,639.0700
2023-04-02 19:00:00,0
2023-04-02 20:00:00,120
2023-04-02 21:00:00,206.2800
2023-04-02 22:00:00,188.0100
2023-04-02 23:00:00,199.9200
2023-04-03 00:00:00,177.8900
2023-04-03 01:00:00,0
2023-04-03 02:00:00,157.3200
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0
2023-04-03 05:00:00,222.2800
2023-04-03 06:00:00,1024.0800
2023-04-03 07:00:00,451.6600
2023-04-03 08:00:00,204
2023-04-03 09:00:00,350.0600
2023-04-03 10:00:00,756.1500
2023-04-03 11:00:00,1046.5800
2023-04-03 12:00:00,1107.4500
2023-04-03 13:00:00,955.5400
