date,revenue_discharging_energy
2023-04-01 00:00:00,135.6900
2023-04-01 01:00:00,2.4900
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0.1100
2023-04-01 05:00:00,32.8300
2023-04-01 06:00:00,1837.1100
2023-04-01 07:00:00,1722.2900
2023-04-01 08:00:00,3.0500
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,0
2023-04-01 12:00:00,0
2023-04-01 13:00:00,0
2023-04-01 14:00:00,0
2023-04-01 15:00:00,0
2023-04-01 16:00:00,0
2023-04-01 17:00:00,0
2023-04-01 18:00:00,10966.3200
2023-04-01 19:00:00,9077.2500
2023-04-01 20:00:00,7562.3300
2023-04-01 21:00:00,968.2300
2023-04-01 22:00:00,96.0100
2023-04-01 23:00:00,31.5400
2023-04-02 00:00:00,5739.2500
2023-04-02 01:00:00,699.7400
2023-04-02 02:00:00,225.4400
2023-04-02 03:00:00,117.9400
2023-04-02 04:00:00,814.2100
2023-04-02 05:00:00,8737.5700
2023-04-02 06:00:00,9090.7000
2023-04-02 07:00:00,8192.3700
2023-04-02 08:00:00,6498.2700
2023-04-02 09:00:00,2552.0300
2023-04-02 10:00:00,2369.3300
2023-04-02 11:00:00,0
2023-04-02 12:00:00,0
2023-04-02 13:00:00,0
2023-04-02 14:00:00,0
2023-04-02 15:00:00,0
2023-04-02 16:00:00,637.2200
2023-04-02 17:00:00,5950.7000
2023-04-02 18:00:00,5382.8300
2023-04-02 19:00:00,14243.8000
2023-04-02 20:00:00,12281.5600
2023-04-02 21:00:00,9063.6200
2023-04-02 22:00:00,969.1600
2023-04-02 23:00:00,2.1800
2023-04-03 00:00:00,4.5300
2023-04-03 01:00:00,4.1900
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0
2023-04-03 05:00:00,5.2700
2023-04-03 06:00:00,3509.1800
2023-04-03 07:00:00,13691.8900
2023-04-03 08:00:00,0
2023-04-03 09:00:00,0
2023-04-03 10:00:00,1.8900
2023-04-03 11:00:00,0
2023-04-03 12:00:00,0
2023-04-03 13:00:00,0
2023-04-03 14:00:00,0
2023-04-03 15:00:00,0
2023-04-03 16:00:00,0
2023-04-03 17:00:00,3830.6200
