date,revenue_discharging_energy
2023-04-01 00:00:00,637.1548
2023-04-01 01:00:00,636.2848
2023-04-01 02:00:00,639.0548
2023-04-01 03:00:00,639.1948
2023-04-01 04:00:00,639.0048
2023-04-01 05:00:00,629.4348
2023-04-01 06:00:00,667.8548
2023-04-01 07:00:00,3530.2448
2023-04-01 08:00:00,1869.3348
2023-04-01 09:00:00,594.5648
2023-04-01 10:00:00,1411.8448
2023-04-01 11:00:00,1683.2748
2023-04-01 12:00:00,1798.2348
2023-04-01 13:00:00,1810.8148
2023-04-01 14:00:00,1181.8348
2023-04-01 15:00:00,1182.7448
2023-04-01 16:00:00,1697.6048
2023-04-01 17:00:00,1297.4048
2023-04-01 18:00:00,2416.0448
2023-04-01 19:00:00,569.1048
2023-04-01 20:00:00,640.8748
2023-04-01 21:00:00,643.0648
2023-04-01 22:00:00,645.2248
2023-04-01 23:00:00,643.3848
2023-04-02 00:00:00,642.4448
2023-04-02 01:00:00,644.9848
2023-04-02 02:00:00,646.7948
2023-04-02 03:00:00,644.1348
2023-04-02 04:00:00,643.9648
2023-04-02 05:00:00,636.5948
2023-04-02 06:00:00,609.0648
2023-04-02 07:00:00,2525.1548
2023-04-02 08:00:00,1518.8648
2023-04-02 09:00:00,2654.5448
2023-04-02 10:00:00,4236.7148
2023-04-02 11:00:00,890.6848
2023-04-02 12:00:00,645.0948
2023-04-02 13:00:00,642.0248
2023-04-02 14:00:00,642.4648
2023-04-02 15:00:00,920.5648
2023-04-02 16:00:00,1762.8148
2023-04-02 17:00:00,1289.1048
2023-04-02 18:00:00,2667.8048
2023-04-02 19:00:00,546.7948
2023-04-02 20:00:00,636.0248
2023-04-02 21:00:00,636.2648
2023-04-02 22:00:00,638.0148
2023-04-02 23:00:00,643.0248
2023-04-03 00:00:00,640.9748
2023-04-03 01:00:00,640.5148
2023-04-03 02:00:00,640.4948
2023-04-03 03:00:00,640.4048
2023-04-03 04:00:00,639.1248
2023-04-03 05:00:00,629.1648
2023-04-03 06:00:00,693.8248
2023-04-03 07:00:00,1987.5548
2023-04-03 08:00:00,1902.2348
2023-04-03 09:00:00,289.3048
2023-04-03 10:00:00,1474.8848
2023-04-03 11:00:00,839.7248
2023-04-03 12:00:00,1058.2648
2023-04-03 13:00:00,1182.7348
2023-04-03 14:00:00,1684.9848
2023-04-03 15:00:00,709.7448
2023-04-03 16:00:00,225.6548
2023-04-03 17:00:00,3541.8148
2023-04-03 18:00:00,3236.9948
2023-04-03 19:00:00,498.3648
2023-04-03 20:00:00,623.7548
2023-04-03 21:00:00,623.9448
2023-04-03 22:00:00,625.9948
2023-04-03 23:00:00,629.7448
2023-04-04 00:00:00,629.0948
2023-04-04 01:00:00,631.1448
2023-04-04 02:00:00,630.8948
2023-04-04 03:00:00,629.6548
2023-04-04 04:00:00,629.1848
2023-04-04 05:00:00,624.0248
2023-04-04 06:00:00,836.1948
2023-04-04 07:00:00,6089.5848
2023-04-04 08:00:00,3406.8448
2023-04-04 09:00:00,837.6648
2023-04-04 10:00:00,927.1448
2023-04-04 11:00:00,1104.5548
2023-04-04 12:00:00,282.1448
2023-04-04 13:00:00,260.5448
2023-04-04 14:00:00,137.9348
2023-04-04 15:00:00,295.8648
2023-04-04 16:00:00,1311.6948
2023-04-04 17:00:00,1502.5748
2023-04-04 18:00:00,2984.4648
2023-04-04 19:00:00,449.0348
2023-04-04 20:00:00,623.2448
2023-04-04 21:00:00,622.5748
2023-04-04 22:00:00,621.5448
2023-04-04 23:00:00,624.0148
2023-04-05 00:00:00,619.4748
2023-04-05 01:00:00,627.5348
2023-04-05 02:00:00,633.7548
2023-04-05 03:00:00,630.2848
2023-04-05 04:00:00,622.0848
2023-04-05 05:00:00,593.0948
2023-04-05 06:00:00,811.3848
2023-04-05 07:00:00,7293.9048
2023-04-05 08:00:00,5266.5648
2023-04-05 09:00:00,2090.5248
2023-04-05 10:00:00,1931.1248
2023-04-05 11:00:00,2695.6748
2023-04-05 12:00:00,2516.2648
2023-04-05 13:00:00,2250.0248
2023-04-05 14:00:00,2645.3548
2023-04-05 15:00:00,2072.8848
2023-04-05 16:00:00,3066.2548
2023-04-05 17:00:00,5331.8748
2023-04-05 18:00:00,2748.7148
2023-04-05 19:00:00,456.3148
2023-04-05 20:00:00,617.9948
