date,revenue_offeredcapacity_regup
2023-04-01 00:00:00,435
2023-04-01 01:00:00,400
2023-04-01 02:00:00,400
2023-04-01 03:00:00,400
2023-04-01 04:00:00,300
2023-04-01 05:00:00,199.2800
2023-04-01 06:00:00,0
2023-04-01 07:00:00,0
2023-04-01 08:00:00,760.3800
2023-04-01 09:00:00,477.3700
2023-04-01 10:00:00,926.0300
2023-04-01 11:00:00,1343.6200
2023-04-01 12:00:00,1590.6800
2023-04-01 13:00:00,1500
2023-04-01 14:00:00,1838.0700
2023-04-01 15:00:00,1667.9800
2023-04-01 16:00:00,2731.2100
2023-04-01 17:00:00,626.4900
2023-04-01 18:00:00,0
2023-04-01 19:00:00,768.8900
2023-04-01 20:00:00,848.7300
2023-04-01 21:00:00,928.1300
2023-04-01 22:00:00,900
2023-04-01 23:00:00,438
2023-04-02 00:00:00,526.7100
2023-04-02 01:00:00,941.1500
2023-04-02 02:00:00,940.5200
2023-04-02 03:00:00,938.9300
2023-04-02 04:00:00,966
2023-04-02 05:00:00,283.6500
2023-04-02 06:00:00,454.7500
2023-04-02 07:00:00,0
2023-04-02 08:00:00,302.8200
2023-04-02 09:00:00,1295.8800
2023-04-02 10:00:00,1251.3200
2023-04-02 11:00:00,1679.4500
2023-04-02 12:00:00,1822.1800
2023-04-02 13:00:00,1854.2700
2023-04-02 14:00:00,1807.7500
2023-04-02 15:00:00,1892.4100
2023-04-02 16:00:00,2375.4700
2023-04-02 17:00:00,566
2023-04-02 18:00:00,677.5000
2023-04-02 19:00:00,1083.5400
2023-04-02 20:00:00,1898.0100
2023-04-02 21:00:00,2052.8600
2023-04-02 22:00:00,417.1300
2023-04-02 23:00:00,378
2023-04-03 00:00:00,586.9000
2023-04-03 01:00:00,549.0500
2023-04-03 02:00:00,576.5900
2023-04-03 03:00:00,432
2023-04-03 04:00:00,374.7200
2023-04-03 05:00:00,643.8900
2023-04-03 06:00:00,1077.9800
2023-04-03 07:00:00,636.4500
2023-04-03 08:00:00,467.3000
2023-04-03 09:00:00,1011.2800
2023-04-03 10:00:00,2434.7300
2023-04-03 11:00:00,3099.0400
2023-04-03 12:00:00,1608.0300
2023-04-03 13:00:00,1451.9100
2023-04-03 14:00:00,1556.0100
2023-04-03 15:00:00,678.9600
2023-04-03 16:00:00,761.6900
2023-04-03 17:00:00,761.6800
2023-04-03 18:00:00,0
2023-04-03 19:00:00,1203.3000
2023-04-03 20:00:00,1565.5300
2023-04-03 21:00:00,570.9700
2023-04-03 22:00:00,433
2023-04-03 23:00:00,433
2023-04-04 00:00:00,577.2900
2023-04-04 01:00:00,381.4300
2023-04-04 02:00:00,369.0200
2023-04-04 03:00:00,442.7800
2023-04-04 04:00:00,442.0700
2023-04-04 05:00:00,557.0700
2023-04-04 06:00:00,175.0100
2023-04-04 07:00:00,1.3200
2023-04-04 08:00:00,631.2100
2023-04-04 09:00:00,1064.3700
2023-04-04 10:00:00,1006.4100
2023-04-04 11:00:00,1239.2200
2023-04-04 12:00:00,1607.7300
2023-04-04 13:00:00,1894.9000
2023-04-04 14:00:00,1754.6100
2023-04-04 15:00:00,1929.1500
2023-04-04 16:00:00,3184.4500
2023-04-04 17:00:00,921.2400
2023-04-04 18:00:00,743.8700
2023-04-04 19:00:00,2183.1700
2023-04-04 20:00:00,2044.9200
2023-04-04 21:00:00,791.6200
2023-04-04 22:00:00,1256.2700
2023-04-04 23:00:00,501
2023-04-05 00:00:00,1571.8300
2023-04-05 01:00:00,809.4500
2023-04-05 02:00:00,606.0500
2023-04-05 03:00:00,523.7700
2023-04-05 04:00:00,567.7300
2023-04-05 05:00:00,898.7300
2023-04-05 06:00:00,776.4400
2023-04-05 07:00:00,0
2023-04-05 08:00:00,440.9000
2023-04-05 09:00:00,1006.5700
2023-04-05 10:00:00,1465.4300
2023-04-05 11:00:00,2290.5600
2023-04-05 12:00:00,2422.2400
2023-04-05 13:00:00,2532.9400
2023-04-05 14:00:00,2500
2023-04-05 15:00:00,2151
2023-04-05 16:00:00,999.7700
2023-04-05 17:00:00,1047.5100
2023-04-05 18:00:00,0
2023-04-05 19:00:00,2161.3400
2023-04-05 20:00:00,2194.9500
2023-04-05 21:00:00,665.0800
2023-04-05 22:00:00,883.3900
2023-04-05 23:00:00,751
2023-04-06 00:00:00,1009.2600
2023-04-06 01:00:00,769.9900
2023-04-06 02:00:00,438.4600
2023-04-06 03:00:00,687.9500
2023-04-06 04:00:00,784.3600
2023-04-06 05:00:00,835.8000
2023-04-06 06:00:00,1037.3700
2023-04-06 07:00:00,0
