date,volume_offeredcapacity_regup
2023-04-01 00:00:00,100
2023-04-01 01:00:00,100
2023-04-01 02:00:00,100
2023-04-01 03:00:00,100
2023-04-01 04:00:00,100
2023-04-01 05:00:00,33.6600
2023-04-01 06:00:00,0
2023-04-01 07:00:00,0
2023-04-01 08:00:00,79.9000
2023-04-01 09:00:00,56.5600
2023-04-01 10:00:00,127.4700
2023-04-01 11:00:00,123.4700
2023-04-01 12:00:00,136.2700
2023-04-01 13:00:00,100
2023-04-01 14:00:00,191.4000
2023-04-01 15:00:00,100
2023-04-01 16:00:00,199.0500
2023-04-01 17:00:00,105.9199
2023-04-01 18:00:00,0
2023-04-01 19:00:00,55.7400
2023-04-01 20:00:00,80.3300
2023-04-01 21:00:00,127.0700
2023-04-01 22:00:00,100
2023-04-01 23:00:00,100
2023-04-02 00:00:00,122
2023-04-02 01:00:00,116.4600
2023-04-02 02:00:00,116.2100
2023-04-02 03:00:00,115.5700
2023-04-02 04:00:00,122
2023-04-02 05:00:00,65.5300
2023-04-02 06:00:00,90.9500
2023-04-02 07:00:00,0
2023-04-02 08:00:00,79.9000
2023-04-02 09:00:00,137.5300
2023-04-02 10:00:00,100
2023-04-02 11:00:00,100
2023-04-02 12:00:00,100
2023-04-02 13:00:00,100
2023-04-02 14:00:00,183.5495
2023-04-02 15:00:00,100
2023-04-02 16:00:00,191.5622
2023-04-02 17:00:00,100
2023-04-02 18:00:00,99.0500
2023-04-02 19:00:00,63.0500
2023-04-02 20:00:00,106.1400
2023-04-02 21:00:00,109.0500
2023-04-02 22:00:00,109.3600
2023-04-02 23:00:00,100
2023-04-03 00:00:00,130.1800
2023-04-03 01:00:00,138.3500
2023-04-03 02:00:00,146.5300
2023-04-03 03:00:00,100
2023-04-03 04:00:00,93.6800
2023-04-03 05:00:00,158.5149
2023-04-03 06:00:00,103.1826
2023-04-03 07:00:00,42.4300
2023-04-03 08:00:00,84.4200
2023-04-03 09:00:00,156.5600
2023-04-03 10:00:00,199.0500
2023-04-03 11:00:00,199.0500
2023-04-03 12:00:00,145.3751
2023-04-03 13:00:00,114.9903
2023-04-03 14:00:00,128.8200
2023-04-03 15:00:00,99.0504
2023-04-03 16:00:00,99.0500
2023-04-03 17:00:00,99.0496
2023-04-03 18:00:00,0
2023-04-03 19:00:00,63.2700
2023-04-03 20:00:00,99.0500
2023-04-03 21:00:00,109.0500
2023-04-03 22:00:00,100
2023-04-03 23:00:00,100
2023-04-04 00:00:00,189.4924
2023-04-04 01:00:00,125.1576
2023-04-04 02:00:00,103.6100
2023-04-04 03:00:00,133.1100
2023-04-04 04:00:00,158.1199
2023-04-04 05:00:00,111.2151
2023-04-04 06:00:00,21.4900
2023-04-04 07:00:00,0.0126
2023-04-04 08:00:00,79.9000
2023-04-04 09:00:00,156.5600
2023-04-04 10:00:00,140.4600
2023-04-04 11:00:00,100
2023-04-04 12:00:00,100
2023-04-04 13:00:00,181.1600
2023-04-04 14:00:00,100
2023-04-04 15:00:00,100
2023-04-04 16:00:00,187.0296
2023-04-04 17:00:00,100.4251
2023-04-04 18:00:00,99.0500
2023-04-04 19:00:00,82.0100
2023-04-04 20:00:00,95.1400
2023-04-04 21:00:00,109.0500
2023-04-04 22:00:00,183.9325
2023-04-04 23:00:00,100
2023-04-05 00:00:00,157.6226
2023-04-05 01:00:00,133.7549
2023-04-05 02:00:00,130.7749
2023-04-05 03:00:00,149.5100
2023-04-05 04:00:00,153.0226
2023-04-05 05:00:00,97.7700
2023-04-05 06:00:00,99.7200
2023-04-05 07:00:00,0
2023-04-05 08:00:00,45.1000
2023-04-05 09:00:00,115.6200
2023-04-05 10:00:00,199.0500
2023-04-05 11:00:00,100
2023-04-05 12:00:00,100
2023-04-05 13:00:00,100
2023-04-05 14:00:00,100
2023-04-05 15:00:00,100
2023-04-05 16:00:00,106
2023-04-05 17:00:00,101.2624
2023-04-05 18:00:00,0
2023-04-05 19:00:00,94.0200
2023-04-05 20:00:00,99.0500
2023-04-05 21:00:00,111
2023-04-05 22:00:00,169.9100
2023-04-05 23:00:00,100
2023-04-06 00:00:00,185.1800
2023-04-06 01:00:00,133.0898
2023-04-06 02:00:00,116.2602
2023-04-06 03:00:00,118.5048
2023-04-06 04:00:00,122.8599
2023-04-06 05:00:00,127.6825
2023-04-06 06:00:00,104.9676
2023-04-06 07:00:00,0
2023-04-06 08:00:00,79.9000
2023-04-06 09:00:00,157.5100
