date,revenue_offeredcapacity_regup
2023-04-01 00:00:00,261
2023-04-01 01:00:00,240
2023-04-01 02:00:00,240
2023-04-01 03:00:00,240
2023-04-01 04:00:00,180
2023-04-01 05:00:00,0
2023-04-01 06:00:00,0
2023-04-01 07:00:00,0
2023-04-01 08:00:00,0
2023-04-01 09:00:00,506.4000
2023-04-01 10:00:00,768.4000
2023-04-01 11:00:00,1156.4600
2023-04-01 12:00:00,1375.3100
2023-04-01 13:00:00,1428.0400
2023-04-01 14:00:00,1455.5900
2023-04-01 15:00:00,1959.6300
2023-04-01 16:00:00,3030.6200
2023-04-01 17:00:00,4367.6600
2023-04-01 18:00:00,653.5900
2023-04-01 19:00:00,0
2023-04-01 20:00:00,0
2023-04-01 21:00:00,0
2023-04-01 22:00:00,0
2023-04-01 23:00:00,0
2023-04-02 00:00:00,108.7500
2023-04-02 01:00:00,225
2023-04-02 02:00:00,225
2023-04-02 03:00:00,225
2023-04-02 04:00:00,225
2023-04-02 05:00:00,0
2023-04-02 06:00:00,0
2023-04-02 07:00:00,0
2023-04-02 08:00:00,0
2023-04-02 09:00:00,721.2300
2023-04-02 10:00:00,1126.1900
2023-04-02 11:00:00,1511.5100
2023-04-02 12:00:00,1639.9600
2023-04-02 13:00:00,1668.8400
2023-04-02 14:00:00,1612.6900
2023-04-02 15:00:00,1703.1700
2023-04-02 16:00:00,1706.7700
2023-04-02 17:00:00,2080.4200
2023-04-02 18:00:00,17.2100
2023-04-02 19:00:00,0
2023-04-02 20:00:00,0
2023-04-02 21:00:00,0
2023-04-02 22:00:00,0
2023-04-02 23:00:00,0
2023-04-03 00:00:00,261.6000
2023-04-03 01:00:00,260.4000
2023-04-03 02:00:00,262.2000
2023-04-03 03:00:00,259.2000
2023-04-03 04:00:00,240
2023-04-03 05:00:00,0
2023-04-03 06:00:00,0
2023-04-03 07:00:00,0
2023-04-03 08:00:00,0
2023-04-03 09:00:00,514.8000
2023-04-03 10:00:00,1667.9800
2023-04-03 11:00:00,2308.6400
2023-04-03 12:00:00,2442.9100
2023-04-03 13:00:00,2107.8000
2023-04-03 14:00:00,2963.5200
2023-04-03 15:00:00,2408.8600
2023-04-03 16:00:00,3701.6800
