date,revenue_discharging_energy
2023-04-01 00:00:00,0
2023-04-01 01:00:00,3.0300
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,26.0200
2023-04-01 06:00:00,131.8500
2023-04-01 07:00:00,59.7000
2023-04-01 08:00:00,2.3300
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,0
2023-04-01 12:00:00,0
2023-04-01 13:00:00,0
2023-04-01 14:00:00,0
2023-04-01 15:00:00,0
2023-04-01 16:00:00,0
2023-04-01 17:00:00,0
2023-04-01 18:00:00,1.9900
2023-04-01 19:00:00,1348.2700
2023-04-01 20:00:00,1216.5100
2023-04-01 21:00:00,1180.0500
2023-04-01 22:00:00,6.2800
2023-04-01 23:00:00,0
2023-04-02 00:00:00,514.2600
2023-04-02 01:00:00,28.7100
2023-04-02 02:00:00,15.9100
2023-04-02 03:00:00,0.9300
2023-04-02 04:00:00,27.0300
2023-04-02 05:00:00,8.1100
2023-04-02 06:00:00,0
2023-04-02 07:00:00,0
2023-04-02 08:00:00,0
2023-04-02 09:00:00,0
2023-04-02 10:00:00,0
2023-04-02 11:00:00,0
2023-04-02 12:00:00,0
2023-04-02 13:00:00,0
2023-04-02 14:00:00,0
2023-04-02 15:00:00,0
2023-04-02 16:00:00,24.9500
2023-04-02 17:00:00,0
2023-04-02 18:00:00,3.4500
2023-04-02 19:00:00,1402.3500
2023-04-02 20:00:00,1496.8100
2023-04-02 21:00:00,1359.7000
2023-04-02 22:00:00,24.4200
2023-04-02 23:00:00,0
2023-04-03 00:00:00,0
2023-04-03 01:00:00,0
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0
2023-04-03 05:00:00,1.2200
2023-04-03 06:00:00,1838.9300
2023-04-03 07:00:00,0
2023-04-03 08:00:00,0
2023-04-03 09:00:00,0
2023-04-03 10:00:00,0.0900
2023-04-03 11:00:00,0
2023-04-03 12:00:00,0
2023-04-03 13:00:00,0
2023-04-03 14:00:00,0
2023-04-03 15:00:00,0
2023-04-03 16:00:00,0.7400
2023-04-03 17:00:00,0
2023-04-03 18:00:00,484.2000
2023-04-03 19:00:00,1777.9100
2023-04-03 20:00:00,1719.9000
2023-04-03 21:00:00,1483.3700
2023-04-03 22:00:00,0
2023-04-03 23:00:00,0
2023-04-04 00:00:00,0
2023-04-04 01:00:00,0
2023-04-04 02:00:00,0
2023-04-04 03:00:00,0
2023-04-04 04:00:00,0
2023-04-04 05:00:00,548.8500
2023-04-04 06:00:00,612.5700
2023-04-04 07:00:00,46.5500
2023-04-04 08:00:00,0
2023-04-04 09:00:00,0
2023-04-04 10:00:00,0
2023-04-04 11:00:00,0
2023-04-04 12:00:00,0
2023-04-04 13:00:00,0
2023-04-04 14:00:00,0
2023-04-04 15:00:00,0
2023-04-04 16:00:00,0
2023-04-04 17:00:00,0.7200
2023-04-04 18:00:00,1150.1000
2023-04-04 19:00:00,1815.0900
2023-04-04 20:00:00,1743.1600
2023-04-04 21:00:00,825.5300
2023-04-04 22:00:00,-0.0000
2023-04-04 23:00:00,0
2023-04-05 00:00:00,0
2023-04-05 01:00:00,0
2023-04-05 02:00:00,0
2023-04-05 03:00:00,0
2023-04-05 04:00:00,0
2023-04-05 05:00:00,24.1000
2023-04-05 06:00:00,2869.9200
2023-04-05 07:00:00,396.0200
2023-04-05 08:00:00,0
2023-04-05 09:00:00,0
2023-04-05 10:00:00,0
2023-04-05 11:00:00,0
2023-04-05 12:00:00,0
2023-04-05 13:00:00,0
2023-04-05 14:00:00,0
2023-04-05 15:00:00,0
2023-04-05 16:00:00,44.3000
2023-04-05 17:00:00,0
2023-04-05 18:00:00,897.3700
2023-04-05 19:00:00,2313.6500
2023-04-05 20:00:00,2231.3800
2023-04-05 21:00:00,2024.5000
2023-04-05 22:00:00,55.2400
2023-04-05 23:00:00,0
2023-04-06 00:00:00,0.7000
2023-04-06 01:00:00,0
2023-04-06 02:00:00,0
2023-04-06 03:00:00,0
2023-04-06 04:00:00,0.0100
2023-04-06 05:00:00,9.8700
2023-04-06 06:00:00,2187.0300
2023-04-06 07:00:00,31.2900
2023-04-06 08:00:00,0
2023-04-06 09:00:00,0
2023-04-06 10:00:00,0
2023-04-06 11:00:00,0
2023-04-06 12:00:00,0
2023-04-06 13:00:00,0
2023-04-06 14:00:00,0
2023-04-06 15:00:00,0
2023-04-06 16:00:00,0
2023-04-06 17:00:00,2.0700
2023-04-06 18:00:00,856.8500
2023-04-06 19:00:00,2420.1600
2023-04-06 20:00:00,2366.8700
2023-04-06 21:00:00,1814.2600
2023-04-06 22:00:00,49.3800
2023-04-06 23:00:00,0
2023-04-07 00:00:00,0
2023-04-07 01:00:00,0
2023-04-07 02:00:00,0
2023-04-07 03:00:00,0
2023-04-07 04:00:00,0
2023-04-07 05:00:00,2.5600
2023-04-07 06:00:00,441.6500
2023-04-07 07:00:00,0
2023-04-07 08:00:00,0
2023-04-07 09:00:00,0
2023-04-07 10:00:00,0
2023-04-07 11:00:00,0
2023-04-07 12:00:00,0
2023-04-07 13:00:00,0
2023-04-07 14:00:00,0
2023-04-07 15:00:00,0
2023-04-07 16:00:00,0
2023-04-07 17:00:00,0
2023-04-07 18:00:00,616.9900
2023-04-07 19:00:00,943.9400
2023-04-07 20:00:00,926.3700
2023-04-07 21:00:00,771.9300
2023-04-07 22:00:00,0
2023-04-07 23:00:00,0
2023-04-08 00:00:00,0
2023-04-08 01:00:00,0
2023-04-08 02:00:00,0
2023-04-08 03:00:00,0
2023-04-08 04:00:00,0
2023-04-08 05:00:00,0
2023-04-08 06:00:00,1.7700
2023-04-08 07:00:00,0
2023-04-08 08:00:00,8.2100
2023-04-08 09:00:00,0.0100
2023-04-08 10:00:00,0
2023-04-08 11:00:00,0
2023-04-08 12:00:00,0
2023-04-08 13:00:00,1.2300
2023-04-08 14:00:00,0
2023-04-08 15:00:00,1.9300
2023-04-08 16:00:00,0.0200
2023-04-08 17:00:00,0
2023-04-08 18:00:00,725.6200
2023-04-08 19:00:00,1746.9600
2023-04-08 20:00:00,1791.0500
2023-04-08 21:00:00,1282.9800
2023-04-08 22:00:00,0
2023-04-08 23:00:00,1.1100
2023-04-09 00:00:00,0
2023-04-09 01:00:00,9.3300
2023-04-09 02:00:00,15.7800
2023-04-09 03:00:00,0.7200
2023-04-09 04:00:00,0
2023-04-09 05:00:00,0
2023-04-09 06:00:00,0
2023-04-09 07:00:00,0
2023-04-09 08:00:00,0
2023-04-09 09:00:00,0
2023-04-09 10:00:00,0
2023-04-09 11:00:00,0
2023-04-09 12:00:00,0
2023-04-09 13:00:00,0
2023-04-09 14:00:00,0
2023-04-09 15:00:00,0
2023-04-09 16:00:00,0
2023-04-09 17:00:00,0.0900
2023-04-09 18:00:00,642.8800
2023-04-09 19:00:00,1884.8400
2023-04-09 20:00:00,1858.9200
2023-04-09 21:00:00,1224.7800
2023-04-09 22:00:00,27.9000
2023-04-09 23:00:00,0
2023-04-10 00:00:00,0
2023-04-10 01:00:00,0
2023-04-10 02:00:00,0
2023-04-10 03:00:00,0
2023-04-10 04:00:00,0
2023-04-10 05:00:00,2.6900
2023-04-10 06:00:00,1100.2500
2023-04-10 07:00:00,0.5000
2023-04-10 08:00:00,0
2023-04-10 09:00:00,0
2023-04-10 10:00:00,0
2023-04-10 11:00:00,0
2023-04-10 12:00:00,0
2023-04-10 13:00:00,0
2023-04-10 14:00:00,0
2023-04-10 15:00:00,0
2023-04-10 16:00:00,0
2023-04-10 17:00:00,0
2023-04-10 18:00:00,2073.4400
2023-04-10 19:00:00,2543.8600
2023-04-10 20:00:00,1740.5600
2023-04-10 21:00:00,513.2200
2023-04-10 22:00:00,0
2023-04-10 23:00:00,0
2023-04-11 00:00:00,0
2023-04-11 01:00:00,0
2023-04-11 02:00:00,0
2023-04-11 03:00:00,0
2023-04-11 04:00:00,0
2023-04-11 05:00:00,2.0100
2023-04-11 06:00:00,656.5400
2023-04-11 07:00:00,30.2000
2023-04-11 08:00:00,0
2023-04-11 09:00:00,0
2023-04-11 10:00:00,0
2023-04-11 11:00:00,0
2023-04-11 12:00:00,0
2023-04-11 13:00:00,0
2023-04-11 14:00:00,0
2023-04-11 15:00:00,0
2023-04-11 16:00:00,1.1900
2023-04-11 17:00:00,4.3200
2023-04-11 18:00:00,793.2000
2023-04-11 19:00:00,1091.7600
2023-04-11 20:00:00,837.4200
2023-04-11 21:00:00,469.7600
2023-04-11 22:00:00,0
2023-04-11 23:00:00,0
2023-04-12 00:00:00,0
2023-04-12 01:00:00,0
2023-04-12 02:00:00,0
2023-04-12 03:00:00,0
2023-04-12 04:00:00,2.1200
2023-04-12 05:00:00,9.2600
2023-04-12 06:00:00,1596.3100
2023-04-12 07:00:00,337.8000
2023-04-12 08:00:00,0
2023-04-12 09:00:00,0
2023-04-12 10:00:00,0
2023-04-12 11:00:00,0
2023-04-12 12:00:00,0
2023-04-12 13:00:00,0
2023-04-12 14:00:00,0
2023-04-12 15:00:00,0
2023-04-12 16:00:00,0
2023-04-12 17:00:00,3.7400
2023-04-12 18:00:00,603.6900
2023-04-12 19:00:00,911.0600
2023-04-12 20:00:00,1136.5000
2023-04-12 21:00:00,713.1500
2023-04-12 22:00:00,1.2000
2023-04-12 23:00:00,0
2023-04-13 00:00:00,23.8400
2023-04-13 01:00:00,40.5100
2023-04-13 02:00:00,0.4500
2023-04-13 03:00:00,0
2023-04-13 04:00:00,0
2023-04-13 05:00:00,0.6600
2023-04-13 06:00:00,1166.6400
2023-04-13 07:00:00,9.7900
2023-04-13 08:00:00,1.6700
2023-04-13 09:00:00,0
2023-04-13 10:00:00,0
2023-04-13 11:00:00,0
2023-04-13 12:00:00,0
2023-04-13 13:00:00,0
2023-04-13 14:00:00,0
2023-04-13 15:00:00,0
2023-04-13 16:00:00,0
2023-04-13 17:00:00,0
2023-04-13 18:00:00,641.7200
2023-04-13 19:00:00,972.9200
2023-04-13 20:00:00,746.4900
2023-04-13 21:00:00,338.8500
2023-04-13 22:00:00,0
2023-04-13 23:00:00,0
2023-04-14 00:00:00,0.7800
2023-04-14 01:00:00,0
2023-04-14 02:00:00,0
2023-04-14 03:00:00,0
2023-04-14 04:00:00,0.3800
2023-04-14 05:00:00,1.2800
2023-04-14 06:00:00,627.7500
2023-04-14 07:00:00,0.5000
2023-04-14 08:00:00,0
2023-04-14 09:00:00,0
2023-04-14 10:00:00,0
2023-04-14 11:00:00,0
2023-04-14 12:00:00,0.0600
2023-04-14 13:00:00,0.0400
2023-04-14 14:00:00,0
2023-04-14 15:00:00,0
2023-04-14 16:00:00,0
2023-04-14 17:00:00,0.3900
2023-04-14 18:00:00,295.3900
2023-04-14 19:00:00,676.3400
2023-04-14 20:00:00,1082.0600
2023-04-14 21:00:00,396.0600
2023-04-14 22:00:00,0
2023-04-14 23:00:00,0
2023-04-15 00:00:00,0
2023-04-15 01:00:00,0
2023-04-15 02:00:00,0
2023-04-15 03:00:00,0
2023-04-15 04:00:00,0
2023-04-15 05:00:00,1.0700
2023-04-15 06:00:00,0
2023-04-15 07:00:00,0
2023-04-15 08:00:00,0
2023-04-15 09:00:00,0
2023-04-15 10:00:00,0
2023-04-15 11:00:00,0
2023-04-15 12:00:00,0
2023-04-15 13:00:00,0
2023-04-15 14:00:00,0
2023-04-15 15:00:00,0
2023-04-15 16:00:00,0
2023-04-15 17:00:00,0
2023-04-15 18:00:00,846.3000
2023-04-15 19:00:00,751.3900
2023-04-15 20:00:00,1427.9500
2023-04-15 21:00:00,720.5900
2023-04-15 22:00:00,0
2023-04-15 23:00:00,1.6400
2023-04-16 00:00:00,0
2023-04-16 01:00:00,0
2023-04-16 02:00:00,0
2023-04-16 03:00:00,0
2023-04-16 04:00:00,0
2023-04-16 05:00:00,0
2023-04-16 06:00:00,0
2023-04-16 07:00:00,0
2023-04-16 08:00:00,0.0600
2023-04-16 09:00:00,0
2023-04-16 10:00:00,0
2023-04-16 11:00:00,0
2023-04-16 12:00:00,0
2023-04-16 13:00:00,0
2023-04-16 14:00:00,0
2023-04-16 15:00:00,0
2023-04-16 16:00:00,0
2023-04-16 17:00:00,1.7000
2023-04-16 18:00:00,409.7400
2023-04-16 19:00:00,1890.4700
2023-04-16 20:00:00,1800.6000
2023-04-16 21:00:00,1358.9300
2023-04-16 22:00:00,41.0200
2023-04-16 23:00:00,0
2023-04-17 00:00:00,0
2023-04-17 01:00:00,0
2023-04-17 02:00:00,0
2023-04-17 03:00:00,0
2023-04-17 04:00:00,0
2023-04-17 05:00:00,0
2023-04-17 06:00:00,513.3900
2023-04-17 07:00:00,0
2023-04-17 08:00:00,0
2023-04-17 09:00:00,0
2023-04-17 10:00:00,0
2023-04-17 11:00:00,0
2023-04-17 12:00:00,0
2023-04-17 13:00:00,0
2023-04-17 14:00:00,0
2023-04-17 15:00:00,0
2023-04-17 16:00:00,0
2023-04-17 17:00:00,7.8100
2023-04-17 18:00:00,691.5100
2023-04-17 19:00:00,435.8500
2023-04-17 20:00:00,897.6300
2023-04-17 21:00:00,753.7500
2023-04-17 22:00:00,68.4500
2023-04-17 23:00:00,0
2023-04-18 00:00:00,0.5400
2023-04-18 01:00:00,0
2023-04-18 02:00:00,0
2023-04-18 03:00:00,3.7300
2023-04-18 04:00:00,1.7900
2023-04-18 05:00:00,4.7500
2023-04-18 06:00:00,1429.1100
2023-04-18 07:00:00,73.9800
2023-04-18 08:00:00,0
2023-04-18 09:00:00,0
2023-04-18 10:00:00,0
2023-04-18 11:00:00,0
2023-04-18 12:00:00,0
2023-04-18 13:00:00,0
2023-04-18 14:00:00,0
2023-04-18 15:00:00,0
2023-04-18 16:00:00,0.9100
2023-04-18 17:00:00,1.5900
2023-04-18 18:00:00,981.1100
2023-04-18 19:00:00,2007.7700
2023-04-18 20:00:00,1566.3000
2023-04-18 21:00:00,712
2023-04-18 22:00:00,0
2023-04-18 23:00:00,0
2023-04-19 00:00:00,0
2023-04-19 01:00:00,0
2023-04-19 02:00:00,0
2023-04-19 03:00:00,0
2023-04-19 04:00:00,12.1800
2023-04-19 05:00:00,2.5700
2023-04-19 06:00:00,1017.3000
2023-04-19 07:00:00,28.7800
2023-04-19 08:00:00,0
2023-04-19 09:00:00,0
