date,volume_discharging_energy
2023-04-01 00:00:00,0
2023-04-01 01:00:00,0.0504
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,0.4722
2023-04-01 06:00:00,2.2868
2023-04-01 07:00:00,1.2339
2023-04-01 08:00:00,3.9913
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,0
2023-04-01 12:00:00,0
2023-04-01 13:00:00,0
2023-04-01 14:00:00,0
2023-04-01 15:00:00,0
2023-04-01 16:00:00,0
2023-04-01 17:00:00,0.1515
2023-04-01 18:00:00,0.0435
2023-04-01 19:00:00,13.6402
2023-04-01 20:00:00,10.8435
2023-04-01 21:00:00,13.2652
2023-04-01 22:00:00,0.1370
2023-04-01 23:00:00,0
2023-04-02 00:00:00,11.0628
2023-04-02 01:00:00,0.7539
2023-04-02 02:00:00,0.5029
2023-04-02 03:00:00,0.0238
2023-04-02 04:00:00,0.5854
2023-04-02 05:00:00,0.1610
2023-04-02 06:00:00,0
2023-04-02 07:00:00,0
2023-04-02 08:00:00,0
2023-04-02 09:00:00,0
2023-04-02 10:00:00,0
2023-04-02 11:00:00,0
2023-04-02 12:00:00,0
2023-04-02 13:00:00,0.1915
2023-04-02 14:00:00,1.1836
2023-04-02 15:00:00,0.2864
2023-04-02 16:00:00,0
2023-04-02 17:00:00,0.4977
2023-04-02 18:00:00,0.1201
2023-04-02 19:00:00,16.4509
2023-04-02 20:00:00,17
2023-04-02 21:00:00,16.9787
2023-04-02 22:00:00,0.3591
2023-04-02 23:00:00,0
2023-04-03 00:00:00,0
2023-04-03 01:00:00,0
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0
2023-04-03 05:00:00,0.0190
2023-04-03 06:00:00,17.9694
2023-04-03 07:00:00,0
2023-04-03 08:00:00,0
2023-04-03 09:00:00,0
2023-04-03 10:00:00,0.0046
2023-04-03 11:00:00,0
2023-04-03 12:00:00,0
2023-04-03 13:00:00,0
2023-04-03 14:00:00,0
2023-04-03 15:00:00,0
2023-04-03 16:00:00,0.2614
2023-04-03 17:00:00,0
2023-04-03 18:00:00,5.7545
2023-04-03 19:00:00,16.8197
2023-04-03 20:00:00,17.0036
2023-04-03 21:00:00,16.9851
2023-04-03 22:00:00,0
2023-04-03 23:00:00,0
2023-04-04 00:00:00,0
2023-04-04 01:00:00,0
2023-04-04 02:00:00,0
2023-04-04 03:00:00,0
2023-04-04 04:00:00,0
2023-04-04 05:00:00,5.5027
2023-04-04 06:00:00,7.0490
2023-04-04 07:00:00,0.4064
2023-04-04 08:00:00,0
2023-04-04 09:00:00,0
2023-04-04 10:00:00,0
2023-04-04 11:00:00,0
2023-04-04 12:00:00,0
2023-04-04 13:00:00,0
2023-04-04 14:00:00,0
2023-04-04 15:00:00,0
2023-04-04 16:00:00,0
2023-04-04 17:00:00,0.0227
2023-04-04 18:00:00,11.8777
2023-04-04 19:00:00,16.7862
2023-04-04 20:00:00,16.0938
2023-04-04 21:00:00,10.6395
2023-04-04 22:00:00,0.0000
2023-04-04 23:00:00,-0.0000
2023-04-05 00:00:00,0
2023-04-05 01:00:00,0
2023-04-05 02:00:00,0
2023-04-05 03:00:00,0
2023-04-05 04:00:00,0
2023-04-05 05:00:00,0.1826
2023-04-05 06:00:00,16.2764
2023-04-05 07:00:00,2.2843
2023-04-05 08:00:00,0
2023-04-05 09:00:00,0
2023-04-05 10:00:00,0
2023-04-05 11:00:00,0
2023-04-05 12:00:00,0
2023-04-05 13:00:00,0
2023-04-05 14:00:00,0
2023-04-05 15:00:00,0.2923
2023-04-05 16:00:00,0.1205
2023-04-05 17:00:00,0
2023-04-05 18:00:00,7.9576
2023-04-05 19:00:00,16.8294
2023-04-05 20:00:00,17.0380
2023-04-05 21:00:00,16.6924
2023-04-05 22:00:00,0.4488
2023-04-05 23:00:00,0
2023-04-06 00:00:00,0.0065
2023-04-06 01:00:00,0
2023-04-06 02:00:00,0
2023-04-06 03:00:00,0
2023-04-06 04:00:00,0.0001
2023-04-06 05:00:00,0.0845
2023-04-06 06:00:00,13.1480
2023-04-06 07:00:00,0.2698
2023-04-06 08:00:00,0
2023-04-06 09:00:00,0
2023-04-06 10:00:00,0
2023-04-06 11:00:00,0
2023-04-06 12:00:00,0
2023-04-06 13:00:00,0
2023-04-06 14:00:00,0
2023-04-06 15:00:00,0
2023-04-06 16:00:00,0
2023-04-06 17:00:00,0.5672
2023-04-06 18:00:00,5.8574
2023-04-06 19:00:00,16.8923
2023-04-06 20:00:00,17
2023-04-06 21:00:00,16.2198
2023-04-06 22:00:00,0.5020
2023-04-06 23:00:00,0
2023-04-07 00:00:00,0
2023-04-07 01:00:00,0
2023-04-07 02:00:00,0
