date,revenue_offeredcapacity_regup
2023-04-01 00:00:00,174
2023-04-01 01:00:00,160
2023-04-01 02:00:00,160
2023-04-01 03:00:00,160
2023-04-01 04:00:00,120
2023-04-01 05:00:00,0
2023-04-01 06:00:00,0
2023-04-01 07:00:00,0
2023-04-01 08:00:00,0
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,770.9700
2023-04-01 12:00:00,1063.7700
2023-04-01 13:00:00,900
2023-04-01 14:00:00,970.4000
2023-04-01 15:00:00,1000.7900
2023-04-01 16:00:00,1398.7700
2023-04-01 17:00:00,1880.5700
2023-04-01 18:00:00,0
2023-04-01 19:00:00,0
2023-04-01 20:00:00,0
2023-04-01 21:00:00,0
2023-04-01 22:00:00,0
2023-04-01 23:00:00,0
2023-04-02 00:00:00,65.2500
2023-04-02 01:00:00,135
2023-04-02 02:00:00,135
2023-04-02 03:00:00,135
2023-04-02 04:00:00,135
2023-04-02 05:00:00,0
2023-04-02 06:00:00,0
2023-04-02 07:00:00,0
2023-04-02 08:00:00,0
2023-04-02 09:00:00,0
2023-04-02 10:00:00,0
2023-04-02 11:00:00,1007.6700
2023-04-02 12:00:00,1093.3100
2023-04-02 13:00:00,1112.5600
2023-04-02 14:00:00,1075.1300
2023-04-02 15:00:00,1135.4400
2023-04-02 16:00:00,924.4800
2023-04-02 17:00:00,1095.6200
2023-04-02 18:00:00,0
2023-04-02 19:00:00,0
2023-04-02 20:00:00,0
2023-04-02 21:00:00,0
2023-04-02 22:00:00,0
2023-04-02 23:00:00,0
2023-04-03 00:00:00,174.4000
2023-04-03 01:00:00,173.6000
2023-04-03 02:00:00,174.8000
2023-04-03 03:00:00,172.8000
2023-04-03 04:00:00,160
2023-04-03 05:00:00,0
2023-04-03 06:00:00,0
2023-04-03 07:00:00,0
2023-04-03 08:00:00,0
2023-04-03 09:00:00,96.5000
2023-04-03 10:00:00,1232.5100
2023-04-03 11:00:00,1718.8500
2023-04-03 12:00:00,1628.6100
