date,revenue_offeredcapacity_regup
2023-04-01 00:00:00,0
2023-04-01 01:00:00,122.0100
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,0
2023-04-01 06:00:00,0
2023-04-01 07:00:00,0
2023-04-01 08:00:00,1030.6600
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,1284.9500
2023-04-01 12:00:00,1565.0700
2023-04-01 13:00:00,1687.2600
2023-04-01 14:00:00,2147.7100
2023-04-01 15:00:00,1756.7600
2023-04-01 16:00:00,2242.3900
2023-04-01 17:00:00,0
2023-04-01 18:00:00,0.0700
2023-04-01 19:00:00,766.8000
2023-04-01 20:00:00,0
2023-04-01 21:00:00,0
2023-04-01 22:00:00,0
2023-04-01 23:00:00,0
2023-04-02 00:00:00,0
2023-04-02 01:00:00,0
2023-04-02 02:00:00,0
2023-04-02 03:00:00,5.6000
2023-04-02 04:00:00,31.9900
2023-04-02 05:00:00,20.6500
2023-04-02 06:00:00,0
2023-04-02 07:00:00,1223
2023-04-02 08:00:00,964.5400
2023-04-02 09:00:00,1748.9700
2023-04-02 10:00:00,1611.0900
2023-04-02 11:00:00,1928.7700
2023-04-02 12:00:00,3.1100
2023-04-02 13:00:00,1854.0800
2023-04-02 14:00:00,744.8100
2023-04-02 15:00:00,2154.7200
2023-04-02 16:00:00,1881.7300
2023-04-02 17:00:00,2633.7500
2023-04-02 18:00:00,0
2023-04-02 19:00:00,0
2023-04-02 20:00:00,0
2023-04-02 21:00:00,0.4000
2023-04-02 22:00:00,57.5500
2023-04-02 23:00:00,125.7900
2023-04-03 00:00:00,0
2023-04-03 01:00:00,0
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0
2023-04-03 05:00:00,214.9700
2023-04-03 06:00:00,0
2023-04-03 07:00:00,825.0700
2023-04-03 08:00:00,1616.1000
2023-04-03 09:00:00,1173.2500
2023-04-03 10:00:00,2012.7900
2023-04-03 11:00:00,2565.1500
2023-04-03 12:00:00,4749.9400
2023-04-03 13:00:00,998.1800
2023-04-03 14:00:00,2728
2023-04-03 15:00:00,2817
2023-04-03 16:00:00,3851.4700
2023-04-03 17:00:00,1566.4200
2023-04-03 18:00:00,924.8700
2023-04-03 19:00:00,0
2023-04-03 20:00:00,289.7200
2023-04-03 21:00:00,0
2023-04-03 22:00:00,0.1500
2023-04-03 23:00:00,346.2600
2023-04-04 00:00:00,248.2800
2023-04-04 01:00:00,8.2100
2023-04-04 02:00:00,0
2023-04-04 03:00:00,0
2023-04-04 04:00:00,0
2023-04-04 05:00:00,0
2023-04-04 06:00:00,0
2023-04-04 07:00:00,845.2800
2023-04-04 08:00:00,900
2023-04-04 09:00:00,900
2023-04-04 10:00:00,900
2023-04-04 11:00:00,1044
2023-04-04 12:00:00,1607.9500
2023-04-04 13:00:00,1692
2023-04-04 14:00:00,1754.6100
2023-04-04 15:00:00,2812.3400
2023-04-04 16:00:00,3507.3600
2023-04-04 17:00:00,2415.8600
2023-04-04 18:00:00,482.3100
2023-04-04 19:00:00,642.7400
2023-04-04 20:00:00,477.6600
2023-04-04 21:00:00,0
2023-04-04 22:00:00,251.5000
2023-04-04 23:00:00,91.1400
2023-04-05 00:00:00,1248.1600
2023-04-05 01:00:00,1140.8500
2023-04-05 02:00:00,0
2023-04-05 03:00:00,0
2023-04-05 04:00:00,0
2023-04-05 05:00:00,0
2023-04-05 06:00:00,0
2023-04-05 07:00:00,4.2900
2023-04-05 08:00:00,0
2023-04-05 09:00:00,0
2023-04-05 10:00:00,1200
2023-04-05 11:00:00,2290.5600
2023-04-05 12:00:00,2192.9500
2023-04-05 13:00:00,548.9100
2023-04-05 14:00:00,3157.1300
2023-04-05 15:00:00,1480.6100
2023-04-05 16:00:00,2756.0800
2023-04-05 17:00:00,2399.8500
2023-04-05 18:00:00,183.3600
2023-04-05 19:00:00,0
2023-04-05 20:00:00,0.4700
2023-04-05 21:00:00,0
2023-04-05 22:00:00,0
2023-04-05 23:00:00,0
2023-04-06 00:00:00,0
2023-04-06 01:00:00,47.5400
2023-04-06 02:00:00,0
2023-04-06 03:00:00,49.8600
2023-04-06 04:00:00,30.8700
2023-04-06 05:00:00,0
2023-04-06 06:00:00,0
2023-04-06 07:00:00,0
2023-04-06 08:00:00,0
2023-04-06 09:00:00,0
2023-04-06 10:00:00,2391
2023-04-06 11:00:00,1984.0700
2023-04-06 12:00:00,2093.8700
2023-04-06 13:00:00,897.4400
2023-04-06 14:00:00,1117.5200
2023-04-06 15:00:00,22.9000
2023-04-06 16:00:00,6590.2500
2023-04-06 17:00:00,2169.8000
2023-04-06 18:00:00,1499.9400
2023-04-06 19:00:00,0
2023-04-06 20:00:00,0
2023-04-06 21:00:00,0
2023-04-06 22:00:00,0
2023-04-06 23:00:00,0
2023-04-07 00:00:00,686
2023-04-07 01:00:00,198.9000
2023-04-07 02:00:00,0
2023-04-07 03:00:00,0
2023-04-07 04:00:00,251.9100
2023-04-07 05:00:00,0
2023-04-07 06:00:00,0
2023-04-07 07:00:00,0
2023-04-07 08:00:00,0
2023-04-07 09:00:00,0
2023-04-07 10:00:00,1103.0700
2023-04-07 11:00:00,1557.2900
2023-04-07 12:00:00,1779.1400
2023-04-07 13:00:00,2184
2023-04-07 14:00:00,4852.9600
2023-04-07 15:00:00,3274.8100
2023-04-07 16:00:00,5112.2700
2023-04-07 17:00:00,1874.3900
2023-04-07 18:00:00,201.4800
2023-04-07 19:00:00,0
2023-04-07 20:00:00,0.4200
2023-04-07 21:00:00,0
2023-04-07 22:00:00,27
2023-04-07 23:00:00,370.6900
2023-04-08 00:00:00,219.8600
2023-04-08 01:00:00,414.3600
2023-04-08 02:00:00,238.2500
2023-04-08 03:00:00,195.1200
2023-04-08 04:00:00,71.1600
2023-04-08 05:00:00,0
2023-04-08 06:00:00,0
2023-04-08 07:00:00,0
2023-04-08 08:00:00,0.0400
2023-04-08 09:00:00,0
2023-04-08 10:00:00,1471.6000
2023-04-08 11:00:00,2163.6400
2023-04-08 12:00:00,2242.1000
2023-04-08 13:00:00,1965.9900
2023-04-08 14:00:00,297.4300
2023-04-08 15:00:00,1110.1400
2023-04-08 16:00:00,3576.5300
2023-04-08 17:00:00,1215.0700
2023-04-08 18:00:00,0
2023-04-08 19:00:00,80.1000
2023-04-08 20:00:00,0
2023-04-08 21:00:00,0
2023-04-08 22:00:00,0
2023-04-08 23:00:00,0
2023-04-09 00:00:00,0
2023-04-09 01:00:00,0
2023-04-09 02:00:00,0
2023-04-09 03:00:00,0
2023-04-09 04:00:00,0
2023-04-09 05:00:00,0
2023-04-09 06:00:00,0
2023-04-09 07:00:00,0
2023-04-09 08:00:00,0.0100
2023-04-09 09:00:00,0
2023-04-09 10:00:00,1337.6400
2023-04-09 11:00:00,973.1200
2023-04-09 12:00:00,1450.8000
2023-04-09 13:00:00,2980.8700
2023-04-09 14:00:00,3101.0700
2023-04-09 15:00:00,2254.4700
2023-04-09 16:00:00,3431.0300
2023-04-09 17:00:00,2074.3100
2023-04-09 18:00:00,1709.4400
2023-04-09 19:00:00,0
2023-04-09 20:00:00,0
2023-04-09 21:00:00,0
2023-04-09 22:00:00,0
2023-04-09 23:00:00,47.9400
2023-04-10 00:00:00,1629.0900
2023-04-10 01:00:00,839.8800
2023-04-10 02:00:00,0.2400
2023-04-10 03:00:00,835.6800
2023-04-10 04:00:00,0
2023-04-10 05:00:00,0
2023-04-10 06:00:00,1853.9900
2023-04-10 07:00:00,0
2023-04-10 08:00:00,866.7100
2023-04-10 09:00:00,95
2023-04-10 10:00:00,1536.4400
2023-04-10 11:00:00,2270.1000
2023-04-10 12:00:00,2328.2500
2023-04-10 13:00:00,31.9400
2023-04-10 14:00:00,1228.1800
2023-04-10 15:00:00,2006.1400
2023-04-10 16:00:00,3763.4700
2023-04-10 17:00:00,1200
2023-04-10 18:00:00,1672.2200
2023-04-10 19:00:00,35
2023-04-10 20:00:00,19.0600
2023-04-10 21:00:00,0.4400
2023-04-10 22:00:00,0
2023-04-10 23:00:00,0
2023-04-11 00:00:00,555.5700
2023-04-11 01:00:00,40.2300
2023-04-11 02:00:00,636.0300
2023-04-11 03:00:00,0
2023-04-11 04:00:00,200.1600
2023-04-11 05:00:00,0.0800
2023-04-11 06:00:00,0
2023-04-11 07:00:00,0
2023-04-11 08:00:00,0
2023-04-11 09:00:00,0.0800
2023-04-11 10:00:00,3242.9200
2023-04-11 11:00:00,2975.1800
2023-04-11 12:00:00,3336
2023-04-11 13:00:00,0
2023-04-11 14:00:00,993.0400
2023-04-11 15:00:00,401.6700
2023-04-11 16:00:00,3517.0500
2023-04-11 17:00:00,403.4800
2023-04-11 18:00:00,0
2023-04-11 19:00:00,1924.4000
2023-04-11 20:00:00,0
2023-04-11 21:00:00,343.4900
2023-04-11 22:00:00,175.7700
2023-04-11 23:00:00,946.0100
2023-04-12 00:00:00,900
2023-04-12 01:00:00,0
2023-04-12 02:00:00,81.4700
2023-04-12 03:00:00,152.2500
2023-04-12 04:00:00,1097.0300
2023-04-12 05:00:00,0
2023-04-12 06:00:00,0
2023-04-12 07:00:00,0
2023-04-12 08:00:00,0
2023-04-12 09:00:00,0
2023-04-12 10:00:00,1878.1000
2023-04-12 11:00:00,2502.2400
2023-04-12 12:00:00,2173.1800
2023-04-12 13:00:00,144.1100
2023-04-12 14:00:00,2815.1300
2023-04-12 15:00:00,105.2200
2023-04-12 16:00:00,0
2023-04-12 17:00:00,2006.1800
2023-04-12 18:00:00,1111.0900
2023-04-12 19:00:00,0
2023-04-12 20:00:00,0
2023-04-12 21:00:00,140.2200
2023-04-12 22:00:00,1462.9700
2023-04-12 23:00:00,1377.7400
2023-04-13 00:00:00,0
2023-04-13 01:00:00,374.1300
2023-04-13 02:00:00,0
2023-04-13 03:00:00,0
2023-04-13 04:00:00,0
2023-04-13 05:00:00,0
2023-04-13 06:00:00,0
2023-04-13 07:00:00,0
2023-04-13 08:00:00,0
2023-04-13 09:00:00,0
2023-04-13 10:00:00,0
2023-04-13 11:00:00,2749.1000
2023-04-13 12:00:00,0
2023-04-13 13:00:00,0
2023-04-13 14:00:00,3313.5200
2023-04-13 15:00:00,2590.1600
2023-04-13 16:00:00,2917.4100
2023-04-13 17:00:00,3399.9100
2023-04-13 18:00:00,0
2023-04-13 19:00:00,0
2023-04-13 20:00:00,0
2023-04-13 21:00:00,0
2023-04-13 22:00:00,0
2023-04-13 23:00:00,1.9100
2023-04-14 00:00:00,137.8800
2023-04-14 01:00:00,0
2023-04-14 02:00:00,0
2023-04-14 03:00:00,1117.4600
2023-04-14 04:00:00,0
2023-04-14 05:00:00,0
2023-04-14 06:00:00,0
2023-04-14 07:00:00,0
2023-04-14 08:00:00,0
2023-04-14 09:00:00,0
2023-04-14 10:00:00,2005
2023-04-14 11:00:00,2005
2023-04-14 12:00:00,2291.9800
2023-04-14 13:00:00,335.8700
2023-04-14 14:00:00,0
2023-04-14 15:00:00,441.6900
2023-04-14 16:00:00,2640.3200
2023-04-14 17:00:00,2138
2023-04-14 18:00:00,179.7400
2023-04-14 19:00:00,2005
2023-04-14 20:00:00,0
2023-04-14 21:00:00,743
2023-04-14 22:00:00,0
2023-04-14 23:00:00,0
2023-04-15 00:00:00,199.5300
2023-04-15 01:00:00,0
2023-04-15 02:00:00,0
2023-04-15 03:00:00,0
2023-04-15 04:00:00,0
2023-04-15 05:00:00,0
2023-04-15 06:00:00,0
2023-04-15 07:00:00,0
2023-04-15 08:00:00,0
2023-04-15 09:00:00,0
2023-04-15 10:00:00,1951
2023-04-15 11:00:00,1951
2023-04-15 12:00:00,329.3000
2023-04-15 13:00:00,2593.9100
2023-04-15 14:00:00,923.6300
2023-04-15 15:00:00,98.9700
2023-04-15 16:00:00,598.0600
2023-04-15 17:00:00,875.9400
2023-04-15 18:00:00,0
2023-04-15 19:00:00,0
2023-04-15 20:00:00,0
2023-04-15 21:00:00,0
