date,volume_offeredcapacity_others
2023-04-01 00:00:00,0
2023-04-01 01:00:00,0
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,0
2023-04-01 06:00:00,0
2023-04-01 07:00:00,0
2023-04-01 08:00:00,0
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0.1408
2023-04-01 11:00:00,0.7848
2023-04-01 12:00:00,3.1701
2023-04-01 13:00:00,5.9470
2023-04-01 14:00:00,-24.7074
2023-04-01 15:00:00,-32.9216
2023-04-01 16:00:00,-32.8596
2023-04-01 17:00:00,-29.9809
2023-04-01 18:00:00,-33.4418
2023-04-01 19:00:00,0
2023-04-01 20:00:00,-0.3474
2023-04-01 21:00:00,5.4799
2023-04-01 22:00:00,-0.0307
2023-04-01 23:00:00,0.1879
2023-04-02 00:00:00,1.0935
2023-04-02 01:00:00,0
2023-04-02 02:00:00,0
2023-04-02 03:00:00,0
2023-04-02 04:00:00,0
2023-04-02 05:00:00,0
2023-04-02 06:00:00,0
2023-04-02 07:00:00,0
2023-04-02 08:00:00,0
2023-04-02 09:00:00,0
2023-04-02 10:00:00,0
2023-04-02 11:00:00,0.9298
2023-04-02 12:00:00,7.9440
2023-04-02 13:00:00,10.6061
2023-04-02 14:00:00,-31.8379
2023-04-02 15:00:00,-32.9513
2023-04-02 16:00:00,-32.8614
2023-04-02 17:00:00,-32.5288
2023-04-02 18:00:00,-8.7664
2023-04-02 19:00:00,-1.0177
2023-04-02 20:00:00,0.5095
2023-04-02 21:00:00,0
2023-04-02 22:00:00,0
2023-04-02 23:00:00,1.0840
2023-04-03 00:00:00,0.0921
2023-04-03 01:00:00,0
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0
2023-04-03 05:00:00,0
2023-04-03 06:00:00,0
2023-04-03 07:00:00,0
2023-04-03 08:00:00,0
2023-04-03 09:00:00,0
2023-04-03 10:00:00,0
2023-04-03 11:00:00,0.2758
2023-04-03 12:00:00,0.9429
2023-04-03 13:00:00,0.7899
2023-04-03 14:00:00,0.5075
