date,volume_discharging_energy
2023-04-01 00:00:00,0
2023-04-01 01:00:00,0
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,0.4787
2023-04-01 06:00:00,2.7095
2023-04-01 07:00:00,1.1233
2023-04-01 08:00:00,2.0344
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,0
2023-04-01 12:00:00,0
2023-04-01 13:00:00,0
2023-04-01 14:00:00,0
2023-04-01 15:00:00,0
2023-04-01 16:00:00,0.0721
2023-04-01 17:00:00,0.0768
2023-04-01 18:00:00,0.4893
2023-04-01 19:00:00,9.0420
2023-04-01 20:00:00,7.9844
2023-04-01 21:00:00,6.1984
2023-04-01 22:00:00,0.0194
2023-04-01 23:00:00,0
2023-04-02 00:00:00,9.5926
2023-04-02 01:00:00,0
2023-04-02 02:00:00,0
2023-04-02 03:00:00,0
2023-04-02 04:00:00,1.3634
2023-04-02 05:00:00,0.4338
2023-04-02 06:00:00,0
2023-04-02 07:00:00,0
2023-04-02 08:00:00,0
2023-04-02 09:00:00,0
2023-04-02 10:00:00,0
2023-04-02 11:00:00,0
2023-04-02 12:00:00,0
2023-04-02 13:00:00,0
2023-04-02 14:00:00,0
2023-04-02 15:00:00,0
2023-04-02 16:00:00,0.0534
2023-04-02 17:00:00,0
2023-04-02 18:00:00,5.0548
2023-04-02 19:00:00,10.3537
2023-04-02 20:00:00,10.2994
2023-04-02 21:00:00,0.1732
2023-04-02 22:00:00,0.0269
2023-04-02 23:00:00,0
2023-04-03 00:00:00,0
2023-04-03 01:00:00,0
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0
2023-04-03 05:00:00,0.1069
2023-04-03 06:00:00,8.6020
2023-04-03 07:00:00,3.6141
2023-04-03 08:00:00,2.7355
2023-04-03 09:00:00,0.9777
2023-04-03 10:00:00,0
2023-04-03 11:00:00,0
2023-04-03 12:00:00,0
2023-04-03 13:00:00,0.9047
2023-04-03 14:00:00,0.3822
2023-04-03 15:00:00,0.8992
2023-04-03 16:00:00,0.3956
