date,revenue_discharging_energy
2023-04-01 00:00:00,0
2023-04-01 01:00:00,0
2023-04-01 02:00:00,0
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,15.3800
2023-04-01 06:00:00,79.2900
2023-04-01 07:00:00,35.9500
2023-04-01 08:00:00,1.3300
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,0
2023-04-01 12:00:00,0
2023-04-01 13:00:00,0
2023-04-01 14:00:00,0
2023-04-01 15:00:00,0
2023-04-01 16:00:00,0
2023-04-01 17:00:00,0.5200
2023-04-01 18:00:00,326.9800
2023-04-01 19:00:00,761.5000
2023-04-01 20:00:00,694.9000
2023-04-01 21:00:00,466.1700
2023-04-01 22:00:00,0
2023-04-01 23:00:00,0
2023-04-02 00:00:00,187.9400
2023-04-02 01:00:00,0
2023-04-02 02:00:00,0
2023-04-02 03:00:00,0
2023-04-02 04:00:00,41.5400
2023-04-02 05:00:00,3.5100
2023-04-02 06:00:00,0
2023-04-02 07:00:00,0
2023-04-02 08:00:00,0
2023-04-02 09:00:00,0
2023-04-02 10:00:00,0
2023-04-02 11:00:00,0
2023-04-02 12:00:00,0
2023-04-02 13:00:00,0
2023-04-02 14:00:00,0
2023-04-02 15:00:00,0
2023-04-02 16:00:00,0
2023-04-02 17:00:00,0
2023-04-02 18:00:00,368.8200
2023-04-02 19:00:00,761.0300
2023-04-02 20:00:00,787.5200
2023-04-02 21:00:00,518.2900
2023-04-02 22:00:00,0
2023-04-02 23:00:00,0
2023-04-03 00:00:00,0
2023-04-03 01:00:00,0
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,0
2023-04-03 05:00:00,5.8800
2023-04-03 06:00:00,834.5600
2023-04-03 07:00:00,44.3600
2023-04-03 08:00:00,200.4100
2023-04-03 09:00:00,56.3700
2023-04-03 10:00:00,0
2023-04-03 11:00:00,0.2000
2023-04-03 12:00:00,0
2023-04-03 13:00:00,0
2023-04-03 14:00:00,2.7800
2023-04-03 15:00:00,0
2023-04-03 16:00:00,0
2023-04-03 17:00:00,9.9500
