date,revenue_discharging_energy
2023-04-01 00:00:00,35.5700
2023-04-01 01:00:00,13.1400
2023-04-01 02:00:00,116.9600
2023-04-01 03:00:00,10.2500
2023-04-01 04:00:00,182.4100
2023-04-01 05:00:00,0.5100
2023-04-01 06:00:00,611.4400
2023-04-01 07:00:00,1052.8200
2023-04-01 08:00:00,0
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,0
2023-04-01 12:00:00,0
2023-04-01 13:00:00,0
2023-04-01 14:00:00,0
2023-04-01 15:00:00,0
2023-04-01 16:00:00,0
2023-04-01 17:00:00,0
2023-04-01 18:00:00,243.5300
2023-04-01 19:00:00,192.9100
2023-04-01 20:00:00,403.7000
2023-04-01 21:00:00,382.7700
2023-04-01 22:00:00,38.4700
2023-04-01 23:00:00,0.3500
2023-04-02 00:00:00,0.3600
2023-04-02 01:00:00,30.4600
2023-04-02 02:00:00,52.7800
2023-04-02 03:00:00,7.8200
2023-04-02 04:00:00,3.5200
2023-04-02 05:00:00,165.4100
2023-04-02 06:00:00,920.9200
2023-04-02 07:00:00,237.2700
2023-04-02 08:00:00,0
2023-04-02 09:00:00,0
2023-04-02 10:00:00,0
2023-04-02 11:00:00,0
2023-04-02 12:00:00,0
2023-04-02 13:00:00,0
2023-04-02 14:00:00,0
2023-04-02 15:00:00,0
2023-04-02 16:00:00,0
2023-04-02 17:00:00,0
2023-04-02 18:00:00,424.8800
2023-04-02 19:00:00,813.1100
2023-04-02 20:00:00,1056.0600
2023-04-02 21:00:00,643.2000
2023-04-02 22:00:00,269.7000
2023-04-02 23:00:00,0
2023-04-03 00:00:00,0
2023-04-03 01:00:00,0
2023-04-03 02:00:00,0
2023-04-03 03:00:00,0
2023-04-03 04:00:00,24.7000
2023-04-03 05:00:00,131.7600
2023-04-03 06:00:00,2207.8900
2023-04-03 07:00:00,1190.5400
2023-04-03 08:00:00,40.3500
2023-04-03 09:00:00,48.8800
2023-04-03 10:00:00,0.0500
2023-04-03 11:00:00,0
2023-04-03 12:00:00,0
2023-04-03 13:00:00,0
2023-04-03 14:00:00,0
2023-04-03 15:00:00,8.4600
2023-04-03 16:00:00,10.6800
2023-04-03 17:00:00,176.2200
2023-04-03 18:00:00,1771.8600
2023-04-03 19:00:00,1092.1000
2023-04-03 20:00:00,600.7800
2023-04-03 21:00:00,52.7000
2023-04-03 22:00:00,0
2023-04-03 23:00:00,15.3600
2023-04-04 00:00:00,0.0900
2023-04-04 01:00:00,1.1500
2023-04-04 02:00:00,42.5900
2023-04-04 03:00:00,0
2023-04-04 04:00:00,74.3800
2023-04-04 05:00:00,738.4800
2023-04-04 06:00:00,2956.4100
2023-04-04 07:00:00,1028.9600
2023-04-04 08:00:00,41.1600
2023-04-04 09:00:00,0.1800
2023-04-04 10:00:00,0
2023-04-04 11:00:00,0
2023-04-04 12:00:00,0
2023-04-04 13:00:00,0
2023-04-04 14:00:00,0
2023-04-04 15:00:00,0
2023-04-04 16:00:00,0
2023-04-04 17:00:00,61.1200
2023-04-04 18:00:00,2501.2400
2023-04-04 19:00:00,282.3400
2023-04-04 20:00:00,521.9900
2023-04-04 21:00:00,124.1600
2023-04-04 22:00:00,36.4300
2023-04-04 23:00:00,0.1000
2023-04-05 00:00:00,9.8800
2023-04-05 01:00:00,0
2023-04-05 02:00:00,0
2023-04-05 03:00:00,509.0600
2023-04-05 04:00:00,1767.1300
2023-04-05 05:00:00,1728.1400
2023-04-05 06:00:00,1250.5500
2023-04-05 07:00:00,1717.0800
2023-04-05 08:00:00,428.9900
2023-04-05 09:00:00,0
2023-04-05 10:00:00,0
2023-04-05 11:00:00,0
2023-04-05 12:00:00,0
2023-04-05 13:00:00,0
2023-04-05 14:00:00,0
2023-04-05 15:00:00,0
2023-04-05 16:00:00,0
2023-04-05 17:00:00,440.3600
2023-04-05 18:00:00,536.2500
2023-04-05 19:00:00,911.6300
2023-04-05 20:00:00,253.0800
2023-04-05 21:00:00,28.8800
2023-04-05 22:00:00,755.9200
2023-04-05 23:00:00,163.0300
2023-04-06 00:00:00,0.7100
2023-04-06 01:00:00,0.5200
2023-04-06 02:00:00,142.0100
2023-04-06 03:00:00,0
2023-04-06 04:00:00,0.3100
2023-04-06 05:00:00,1.5500
2023-04-06 06:00:00,1589.0600
2023-04-06 07:00:00,909.3400
2023-04-06 08:00:00,0.0400
2023-04-06 09:00:00,0
2023-04-06 10:00:00,0
2023-04-06 11:00:00,0
2023-04-06 12:00:00,0
2023-04-06 13:00:00,0
2023-04-06 14:00:00,0
2023-04-06 15:00:00,0
2023-04-06 16:00:00,0
2023-04-06 17:00:00,5.0100
2023-04-06 18:00:00,107.1500
2023-04-06 19:00:00,296.4400
2023-04-06 20:00:00,162.8000
2023-04-06 21:00:00,283.9900
2023-04-06 22:00:00,1339.2800
2023-04-06 23:00:00,334.0800
2023-04-07 00:00:00,568.0600
2023-04-07 01:00:00,0
2023-04-07 02:00:00,0
2023-04-07 03:00:00,0
2023-04-07 04:00:00,73.4300
2023-04-07 05:00:00,643.1600
2023-04-07 06:00:00,1941.0600
2023-04-07 07:00:00,454.0900
2023-04-07 08:00:00,33.1900
2023-04-07 09:00:00,0
2023-04-07 10:00:00,0
2023-04-07 11:00:00,0
2023-04-07 12:00:00,0
2023-04-07 13:00:00,0
2023-04-07 14:00:00,0
2023-04-07 15:00:00,6.0700
2023-04-07 16:00:00,0
2023-04-07 17:00:00,50.4700
2023-04-07 18:00:00,138.3700
2023-04-07 19:00:00,299.0100
2023-04-07 20:00:00,0.3500
2023-04-07 21:00:00,0.3600
2023-04-07 22:00:00,0.3600
2023-04-07 23:00:00,0.3300
2023-04-08 00:00:00,255.1900
2023-04-08 01:00:00,22.1800
2023-04-08 02:00:00,0
2023-04-08 03:00:00,0.0100
2023-04-08 04:00:00,136.4200
2023-04-08 05:00:00,0.3300
2023-04-08 06:00:00,934.6500
2023-04-08 07:00:00,257.2700
2023-04-08 08:00:00,0
2023-04-08 09:00:00,0
2023-04-08 10:00:00,0
2023-04-08 11:00:00,0
2023-04-08 12:00:00,0
2023-04-08 13:00:00,0
2023-04-08 14:00:00,0
2023-04-08 15:00:00,0
2023-04-08 16:00:00,0
2023-04-08 17:00:00,134.9600
2023-04-08 18:00:00,821.5400
2023-04-08 19:00:00,468.1000
2023-04-08 20:00:00,999.5500
2023-04-08 21:00:00,711.2400
2023-04-08 22:00:00,19.8200
2023-04-08 23:00:00,0
2023-04-09 00:00:00,0.0700
2023-04-09 01:00:00,0.1900
2023-04-09 02:00:00,0
2023-04-09 03:00:00,0
2023-04-09 04:00:00,0
2023-04-09 05:00:00,0.4700
2023-04-09 06:00:00,3.8100
2023-04-09 07:00:00,0
2023-04-09 08:00:00,0
2023-04-09 09:00:00,0
2023-04-09 10:00:00,0
2023-04-09 11:00:00,0
2023-04-09 12:00:00,0
2023-04-09 13:00:00,0
2023-04-09 14:00:00,0
2023-04-09 15:00:00,0
2023-04-09 16:00:00,0.2100
2023-04-09 17:00:00,90.4600
2023-04-09 18:00:00,228.1100
2023-04-09 19:00:00,244.3400
2023-04-09 20:00:00,1261.0200
2023-04-09 21:00:00,730.0700
2023-04-09 22:00:00,349.2500
2023-04-09 23:00:00,152.6600
2023-04-10 00:00:00,174.4200
2023-04-10 01:00:00,0.0100
2023-04-10 02:00:00,0.5300
2023-04-10 03:00:00,0.1100
2023-04-10 04:00:00,168.2800
2023-04-10 05:00:00,268.7100
2023-04-10 06:00:00,399.9100
2023-04-10 07:00:00,0
2023-04-10 08:00:00,0
2023-04-10 09:00:00,0.1000
2023-04-10 10:00:00,0.1100
2023-04-10 11:00:00,0.0500
2023-04-10 12:00:00,0
2023-04-10 13:00:00,0.0200
2023-04-10 14:00:00,0.0100
2023-04-10 15:00:00,15.6700
2023-04-10 16:00:00,45.1200
2023-04-10 17:00:00,80.0000
2023-04-10 18:00:00,1863.2100
2023-04-10 19:00:00,5609.0800
2023-04-10 20:00:00,0.5500
2023-04-10 21:00:00,0.3300
2023-04-10 22:00:00,21.5700
2023-04-10 23:00:00,0.2000
2023-04-11 00:00:00,0.2600
2023-04-11 01:00:00,8.0800
2023-04-11 02:00:00,0
2023-04-11 03:00:00,0.0500
2023-04-11 04:00:00,0
2023-04-11 05:00:00,2.2800
2023-04-11 06:00:00,563.0100
2023-04-11 07:00:00,490.9600
2023-04-11 08:00:00,9.5100
2023-04-11 09:00:00,0
2023-04-11 10:00:00,0
2023-04-11 11:00:00,56.4200
2023-04-11 12:00:00,29.3500
2023-04-11 13:00:00,1.0700
2023-04-11 14:00:00,16.6400
2023-04-11 15:00:00,0
2023-04-11 16:00:00,7.6200
2023-04-11 17:00:00,112.9500
2023-04-11 18:00:00,106.3500
2023-04-11 19:00:00,109.5800
2023-04-11 20:00:00,1002.7200
2023-04-11 21:00:00,1643.8000
2023-04-11 22:00:00,907.2000
2023-04-11 23:00:00,68.6900
2023-04-12 00:00:00,0.2900
2023-04-12 01:00:00,0
2023-04-12 02:00:00,0.0400
2023-04-12 03:00:00,0.0200
2023-04-12 04:00:00,0.1300
2023-04-12 05:00:00,177.7000
2023-04-12 06:00:00,1572.5300
2023-04-12 07:00:00,158.3400
2023-04-12 08:00:00,15.8000
2023-04-12 09:00:00,38.5200
2023-04-12 10:00:00,20.3900
2023-04-12 11:00:00,0
2023-04-12 12:00:00,12.4300
2023-04-12 13:00:00,114.5300
2023-04-12 14:00:00,53.9100
2023-04-12 15:00:00,105.2000
2023-04-12 16:00:00,152.3900
2023-04-12 17:00:00,15.6600
2023-04-12 18:00:00,316.1500
2023-04-12 19:00:00,493.1200
2023-04-12 20:00:00,359.3800
2023-04-12 21:00:00,1014.5800
2023-04-12 22:00:00,687.7700
2023-04-12 23:00:00,527.1900
2023-04-13 00:00:00,0.4700
2023-04-13 01:00:00,0.0400
2023-04-13 02:00:00,0.0400
2023-04-13 03:00:00,0.0400
2023-04-13 04:00:00,0.0600
2023-04-13 05:00:00,0.4900
2023-04-13 06:00:00,1022.9700
2023-04-13 07:00:00,764.3100
2023-04-13 08:00:00,0.2400
2023-04-13 09:00:00,0.0700
2023-04-13 10:00:00,0
2023-04-13 11:00:00,0
2023-04-13 12:00:00,0
2023-04-13 13:00:00,0
2023-04-13 14:00:00,0
2023-04-13 15:00:00,0
2023-04-13 16:00:00,0
2023-04-13 17:00:00,19.7300
2023-04-13 18:00:00,581.1200
2023-04-13 19:00:00,21.3200
2023-04-13 20:00:00,1578.5300
2023-04-13 21:00:00,499.9400
2023-04-13 22:00:00,0.1400
2023-04-13 23:00:00,0
2023-04-14 00:00:00,0.0300
2023-04-14 01:00:00,4.0400
2023-04-14 02:00:00,0.0500
2023-04-14 03:00:00,0.1800
2023-04-14 04:00:00,984.8200
2023-04-14 05:00:00,228.8400
2023-04-14 06:00:00,54.6300
2023-04-14 07:00:00,25.7600
2023-04-14 08:00:00,0.1100
2023-04-14 09:00:00,0.0900
2023-04-14 10:00:00,0.0800
2023-04-14 11:00:00,0
2023-04-14 12:00:00,0
2023-04-14 13:00:00,0.0200
2023-04-14 14:00:00,8.1900
2023-04-14 15:00:00,1.5000
2023-04-14 16:00:00,0
2023-04-14 17:00:00,55.8500
2023-04-14 18:00:00,1010.7500
2023-04-14 19:00:00,186.2600
2023-04-14 20:00:00,745.0100
2023-04-14 21:00:00,1272.9400
2023-04-14 22:00:00,153.7800
2023-04-14 23:00:00,126.5600
2023-04-15 00:00:00,452.2400
2023-04-15 01:00:00,0
2023-04-15 02:00:00,0.1200
2023-04-15 03:00:00,444.8600
2023-04-15 04:00:00,0
2023-04-15 05:00:00,114.9000
2023-04-15 06:00:00,1781.1000
2023-04-15 07:00:00,318.6600
2023-04-15 08:00:00,0
2023-04-15 09:00:00,0
2023-04-15 10:00:00,0
2023-04-15 11:00:00,0
2023-04-15 12:00:00,0
2023-04-15 13:00:00,0
2023-04-15 14:00:00,0
2023-04-15 15:00:00,0
2023-04-15 16:00:00,0
2023-04-15 17:00:00,60.7500
2023-04-15 18:00:00,3682.0100
2023-04-15 19:00:00,919.2300
