date,revenue_offeredcapacity_reg
2023-04-01 00:00:00,2.7717
2023-04-01 01:00:00,115.6417
2023-04-01 02:00:00,145.5317
2023-04-01 03:00:00,98.2517
2023-04-01 04:00:00,110.5317
2023-04-01 05:00:00,137.5417
2023-04-01 06:00:00,221.9317
2023-04-01 07:00:00,188.8917
2023-04-01 08:00:00,28.7617
2023-04-01 09:00:00,60.1717
2023-04-01 10:00:00,107.8617
2023-04-01 11:00:00,82.2717
2023-04-01 12:00:00,84.4917
2023-04-01 13:00:00,66.1517
2023-04-01 14:00:00,60.2017
2023-04-01 15:00:00,98.4217
2023-04-01 16:00:00,55.8817
2023-04-01 17:00:00,129.6117
2023-04-01 18:00:00,182.9617
2023-04-01 19:00:00,90.8217
2023-04-01 20:00:00,83.7817
2023-04-01 21:00:00,91.6017
2023-04-01 22:00:00,82.2917
2023-04-01 23:00:00,91.1600
2023-04-02 00:00:00,2.8395
2023-04-02 01:00:00,36.1895
2023-04-02 02:00:00,76.9195
2023-04-02 03:00:00,60.7895
2023-04-02 04:00:00,77.8195
2023-04-02 05:00:00,129.2595
2023-04-02 06:00:00,108.0095
2023-04-02 07:00:00,92.0895
2023-04-02 08:00:00,29.4095
2023-04-02 09:00:00,34.3395
2023-04-02 10:00:00,59.3195
2023-04-02 11:00:00,158.9595
2023-04-02 12:00:00,90.0995
2023-04-02 13:00:00,75.8995
2023-04-02 14:00:00,68.4695
2023-04-02 15:00:00,69.8895
2023-04-02 16:00:00,68.2295
2023-04-02 17:00:00,89.1495
2023-04-02 18:00:00,113.2995
2023-04-02 19:00:00,92.4895
2023-04-02 20:00:00,194.2995
2023-04-02 21:00:00,91.7695
2023-04-02 22:00:00,121.7495
2023-04-02 23:00:00,123.8000
2023-04-03 00:00:00,3.0643
2023-04-03 01:00:00,93.4043
2023-04-03 02:00:00,50.0743
2023-04-03 03:00:00,88.1543
2023-04-03 04:00:00,125.4043
2023-04-03 05:00:00,133.2743
2023-04-03 06:00:00,117.0943
2023-04-03 07:00:00,66.1943
2023-04-03 08:00:00,14.7343
2023-04-03 09:00:00,12.6443
2023-04-03 10:00:00,63.6943
2023-04-03 11:00:00,28.8443
2023-04-03 12:00:00,59.9343
2023-04-03 13:00:00,160.0343
2023-04-03 14:00:00,55.1143
2023-04-03 15:00:00,64.0543
2023-04-03 16:00:00,97.1943
2023-04-03 17:00:00,160.1843
2023-04-03 18:00:00,107.0743
2023-04-03 19:00:00,67.7443
2023-04-03 20:00:00,107.6143
2023-04-03 21:00:00,96.6543
2023-04-03 22:00:00,110.7943
2023-04-03 23:00:00,122.7700
2023-04-04 00:00:00,3.8088
2023-04-04 01:00:00,76.3988
2023-04-04 02:00:00,122.9088
2023-04-04 03:00:00,103.3588
2023-04-04 04:00:00,77.8988
2023-04-04 05:00:00,65.8888
2023-04-04 06:00:00,106.4388
2023-04-04 07:00:00,85.8788
2023-04-04 08:00:00,16.4988
2023-04-04 09:00:00,28.4988
2023-04-04 10:00:00,40.2688
2023-04-04 11:00:00,59.3688
2023-04-04 12:00:00,70.8588
2023-04-04 13:00:00,67.3688
2023-04-04 14:00:00,71.8588
2023-04-04 15:00:00,64.6988
2023-04-04 16:00:00,34.7788
2023-04-04 17:00:00,113.5588
2023-04-04 18:00:00,165.7188
2023-04-04 19:00:00,102.9888
2023-04-04 20:00:00,118.6988
2023-04-04 21:00:00,68.5588
2023-04-04 22:00:00,121.2388
2023-04-04 23:00:00,90.8000
2023-04-05 00:00:00,2.4709
2023-04-05 01:00:00,52.6009
2023-04-05 02:00:00,54.6709
2023-04-05 03:00:00,72.6009
2023-04-05 04:00:00,65.7509
2023-04-05 05:00:00,79.6709
2023-04-05 06:00:00,79.1409
2023-04-05 07:00:00,109.4409
2023-04-05 08:00:00,22.1009
2023-04-05 09:00:00,23.2909
2023-04-05 10:00:00,38.3209
2023-04-05 11:00:00,49.8309
2023-04-05 12:00:00,52.1409
2023-04-05 13:00:00,67.2209
2023-04-05 14:00:00,100.5009
2023-04-05 15:00:00,39.9109
2023-04-05 16:00:00,61.8409
2023-04-05 17:00:00,41.5009
2023-04-05 18:00:00,114.5509
2023-04-05 19:00:00,162.3909
2023-04-05 20:00:00,133.9509
2023-04-05 21:00:00,283.5609
2023-04-05 22:00:00,193.8409
2023-04-05 23:00:00,285.5100
2023-04-06 00:00:00,8.2591
2023-04-06 01:00:00,107.6791
2023-04-06 02:00:00,84.9891
2023-04-06 03:00:00,151.8991
2023-04-06 04:00:00,66.0191
2023-04-06 05:00:00,132.9891
2023-04-06 06:00:00,122.6791
2023-04-06 07:00:00,126.6891
2023-04-06 08:00:00,71.1691
2023-04-06 09:00:00,70.6191
2023-04-06 10:00:00,118.0991
2023-04-06 11:00:00,58.5591
2023-04-06 12:00:00,120.8091
2023-04-06 13:00:00,49.9591
2023-04-06 14:00:00,25.4791
2023-04-06 15:00:00,15.1991
2023-04-06 16:00:00,106.1891
2023-04-06 17:00:00,148.0491
2023-04-06 18:00:00,187.6391
2023-04-06 19:00:00,168.6391
2023-04-06 20:00:00,161.9691
2023-04-06 21:00:00,151.1891
2023-04-06 22:00:00,344.6791
2023-04-06 23:00:00,271.9900
2023-04-07 00:00:00,4.2309
2023-04-07 01:00:00,63.2209
2023-04-07 02:00:00,48.4909
2023-04-07 03:00:00,37.6809
2023-04-07 04:00:00,52.7109
2023-04-07 05:00:00,144.7309
2023-04-07 06:00:00,289.2809
2023-04-07 07:00:00,213.5109
2023-04-07 08:00:00,70.7209
2023-04-07 09:00:00,36.8909
2023-04-07 10:00:00,20.6109
2023-04-07 11:00:00,68.4109
2023-04-07 12:00:00,55.8309
2023-04-07 13:00:00,76.8609
2023-04-07 14:00:00,152.5709
2023-04-07 15:00:00,105.2809
2023-04-07 16:00:00,113.3909
2023-04-07 17:00:00,156.9909
2023-04-07 18:00:00,207.0309
2023-04-07 19:00:00,174.0009
2023-04-07 20:00:00,126.7909
2023-04-07 21:00:00,180.9209
2023-04-07 22:00:00,275.2409
2023-04-07 23:00:00,212.4500
2023-04-08 00:00:00,11.6673
2023-04-08 01:00:00,107.0273
2023-04-08 02:00:00,122.0673
2023-04-08 03:00:00,157.3573
2023-04-08 04:00:00,97.4973
2023-04-08 05:00:00,201.7473
2023-04-08 06:00:00,191.3273
2023-04-08 07:00:00,227.4873
2023-04-08 08:00:00,78.9673
2023-04-08 09:00:00,66.8573
2023-04-08 10:00:00,47.1373
2023-04-08 11:00:00,240.6273
2023-04-08 12:00:00,114.9073
2023-04-08 13:00:00,54.9173
2023-04-08 14:00:00,88.4373
2023-04-08 15:00:00,132.1573
2023-04-08 16:00:00,63.7273
2023-04-08 17:00:00,74.3273
2023-04-08 18:00:00,149.0873
2023-04-08 19:00:00,201.5773
2023-04-08 20:00:00,228.4273
2023-04-08 21:00:00,199.2473
2023-04-08 22:00:00,257.3373
2023-04-08 23:00:00,193.1000
2023-04-09 00:00:00,7.3018
2023-04-09 01:00:00,197.3718
2023-04-09 02:00:00,224.4718
2023-04-09 03:00:00,360.7818
2023-04-09 04:00:00,506.9618
2023-04-09 05:00:00,181.6718
2023-04-09 06:00:00,297.8118
2023-04-09 07:00:00,213.6918
2023-04-09 08:00:00,47.8018
2023-04-09 09:00:00,50.0318
2023-04-09 10:00:00,148.6218
2023-04-09 11:00:00,136.4918
2023-04-09 12:00:00,157.1818
2023-04-09 13:00:00,97.3418
2023-04-09 14:00:00,21.8818
2023-04-09 15:00:00,75.6718
2023-04-09 16:00:00,161.0718
2023-04-09 17:00:00,113.8318
2023-04-09 18:00:00,139.0118
2023-04-09 19:00:00,218.0018
2023-04-09 20:00:00,138.7618
2023-04-09 21:00:00,100.6818
2023-04-09 22:00:00,105.1118
2023-04-09 23:00:00,214.1200
2023-04-10 00:00:00,2.2482
2023-04-10 01:00:00,56.4582
2023-04-10 02:00:00,50.1882
2023-04-10 03:00:00,34.7582
2023-04-10 04:00:00,55.4782
2023-04-10 05:00:00,118.0582
2023-04-10 06:00:00,136.3182
