date,revenue_offeredcapacity_reg
2023-04-01 00:00:00,600.3400
2023-04-01 01:00:00,933.4500
2023-04-01 02:00:00,1257.3700
2023-04-01 03:00:00,750.1500
2023-04-01 04:00:00,916.2500
2023-04-01 05:00:00,1196.7300
2023-04-01 06:00:00,1829.1800
2023-04-01 07:00:00,1610.2600
2023-04-01 08:00:00,158.3100
2023-04-01 09:00:00,533.9400
2023-04-01 10:00:00,876.0400
2023-04-01 11:00:00,678.9400
2023-04-01 12:00:00,718.8700
2023-04-01 13:00:00,518.1400
2023-04-01 14:00:00,503.1400
2023-04-01 15:00:00,846.0700
2023-04-01 16:00:00,411.5900
2023-04-01 17:00:00,1112
2023-04-01 18:00:00,1559.9200
2023-04-01 19:00:00,739.4600
2023-04-01 20:00:00,691.6300
2023-04-01 21:00:00,737.8500
2023-04-01 22:00:00,675.8400
2023-04-01 23:00:00,797.5000
2023-04-02 00:00:00,537.9700
2023-04-02 01:00:00,276.8600
2023-04-02 02:00:00,647.4600
2023-04-02 03:00:00,411.3400
2023-04-02 04:00:00,669.7800
2023-04-02 05:00:00,1156.9500
2023-04-02 06:00:00,748.3200
2023-04-02 07:00:00,792.8100
2023-04-02 08:00:00,177.6500
2023-04-02 09:00:00,265.5800
2023-04-02 10:00:00,569.1000
2023-04-02 11:00:00,1349.5800
2023-04-02 12:00:00,661.2200
2023-04-02 13:00:00,625.2400
2023-04-02 14:00:00,544.6300
2023-04-02 15:00:00,569.5100
2023-04-02 16:00:00,596.0300
2023-04-02 17:00:00,756.8500
2023-04-02 18:00:00,909.4900
2023-04-02 19:00:00,903.7800
2023-04-02 20:00:00,1484.1600
2023-04-02 21:00:00,789.5000
2023-04-02 22:00:00,1038.6000
2023-04-02 23:00:00,1047.7000
2023-04-03 00:00:00,573.4900
2023-04-03 01:00:00,775.5800
2023-04-03 02:00:00,382.5600
2023-04-03 03:00:00,811.5900
2023-04-03 04:00:00,954.1700
2023-04-03 05:00:00,1140.2400
2023-04-03 06:00:00,1028.4500
2023-04-03 07:00:00,453.2800
2023-04-03 08:00:00,71.8600
2023-04-03 09:00:00,93.6200
2023-04-03 10:00:00,556.4500
2023-04-03 11:00:00,178.4100
2023-04-03 12:00:00,538.6900
2023-04-03 13:00:00,1333.6100
2023-04-03 14:00:00,434.4800
2023-04-03 15:00:00,530.3300
2023-04-03 16:00:00,845.1200
2023-04-03 17:00:00,1429.2500
2023-04-03 18:00:00,774.0300
2023-04-03 19:00:00,599.6600
2023-04-03 20:00:00,879.1800
2023-04-03 21:00:00,754.0200
2023-04-03 22:00:00,923.2800
2023-04-03 23:00:00,1066.3200
2023-04-04 00:00:00,769.7400
2023-04-04 01:00:00,577.8400
2023-04-04 02:00:00,1053.5800
2023-04-04 03:00:00,824.3800
2023-04-04 04:00:00,640.7100
2023-04-04 05:00:00,490.7300
2023-04-04 06:00:00,969.3400
2023-04-04 07:00:00,622.9100
2023-04-04 08:00:00,66.4600
2023-04-04 09:00:00,229.8900
2023-04-04 10:00:00,345.2400
2023-04-04 11:00:00,456.8000
2023-04-04 12:00:00,590.6600
2023-04-04 13:00:00,528.8200
2023-04-04 14:00:00,583.2700
2023-04-04 15:00:00,557.7900
2023-04-04 16:00:00,215.9400
2023-04-04 17:00:00,943.0200
2023-04-04 18:00:00,1447.3700
2023-04-04 19:00:00,829.9200
2023-04-04 20:00:00,997.7500
2023-04-04 21:00:00,588.1600
2023-04-04 22:00:00,912.4300
2023-04-04 23:00:00,838.4300
2023-04-05 00:00:00,469.3000
2023-04-05 01:00:00,393.3300
2023-04-05 02:00:00,431.4100
2023-04-05 03:00:00,668.2300
2023-04-05 04:00:00,529.2500
2023-04-05 05:00:00,660.3500
2023-04-05 06:00:00,640.2000
2023-04-05 07:00:00,885.9100
2023-04-05 08:00:00,140.3100
2023-04-05 09:00:00,167.3800
2023-04-05 10:00:00,345.4900
2023-04-05 11:00:00,405.8300
2023-04-05 12:00:00,387.8400
2023-04-05 13:00:00,630.6300
2023-04-05 14:00:00,805.0300
2023-04-05 15:00:00,294.4600
2023-04-05 16:00:00,492.1800
2023-04-05 17:00:00,419.3400
2023-04-05 18:00:00,495.0600
2023-04-05 19:00:00,805
2023-04-05 20:00:00,589.1000
2023-04-05 21:00:00,1320.7100
2023-04-05 22:00:00,1015.4300
2023-04-05 23:00:00,1283.8600
2023-04-06 00:00:00,917.4100
2023-04-06 01:00:00,431.7600
2023-04-06 02:00:00,351.4500
2023-04-06 03:00:00,705.2300
2023-04-06 04:00:00,239.3400
2023-04-06 05:00:00,609.8900
2023-04-06 06:00:00,537.5800
2023-04-06 07:00:00,570.5000
2023-04-06 08:00:00,272.3400
2023-04-06 09:00:00,297.0900
2023-04-06 10:00:00,539.8500
2023-04-06 11:00:00,215.8400
2023-04-06 12:00:00,555.1300
2023-04-06 13:00:00,167.9400
2023-04-06 14:00:00,70.6500
2023-04-06 15:00:00,39.9000
2023-04-06 16:00:00,553.3700
2023-04-06 17:00:00,613.9300
2023-04-06 18:00:00,877.4300
2023-04-06 19:00:00,741.5800
2023-04-06 20:00:00,716.6800
2023-04-06 21:00:00,657.7500
2023-04-06 22:00:00,1620.8400
2023-04-06 23:00:00,1242.3600
2023-04-07 00:00:00,455.5700
2023-04-07 01:00:00,265.0300
2023-04-07 02:00:00,196.6400
2023-04-07 03:00:00,156.0300
2023-04-07 04:00:00,238.6900
2023-04-07 05:00:00,678.0100
2023-04-07 06:00:00,1508.1600
2023-04-07 07:00:00,915.7100
2023-04-07 08:00:00,210.1600
2023-04-07 09:00:00,149.6800
2023-04-07 10:00:00,69.3400
2023-04-07 11:00:00,324.1900
2023-04-07 12:00:00,249.1400
2023-04-07 13:00:00,334.4100
2023-04-07 14:00:00,783.8200
2023-04-07 15:00:00,412.5100
2023-04-07 16:00:00,492.7800
2023-04-07 17:00:00,773.8400
2023-04-07 18:00:00,974.6100
2023-04-07 19:00:00,779.3300
2023-04-07 20:00:00,566.6200
2023-04-07 21:00:00,824.2500
2023-04-07 22:00:00,1352.1800
2023-04-07 23:00:00,888.8000
2023-04-08 00:00:00,1249.4700
2023-04-08 01:00:00,423.9700
2023-04-08 02:00:00,565.3800
2023-04-08 03:00:00,619.1100
2023-04-08 04:00:00,391.7500
2023-04-08 05:00:00,922.9800
2023-04-08 06:00:00,862.5000
2023-04-08 07:00:00,1015.0500
2023-04-08 08:00:00,286.8300
2023-04-08 09:00:00,252.4600
2023-04-08 10:00:00,167.7500
2023-04-08 11:00:00,1177.9400
