date,volume_discharging_energy
2023-04-01 00:00:00,3.6467
2023-04-01 01:00:00,1.6704
2023-04-01 02:00:00,3.4418
2023-04-01 03:00:00,4.3840
2023-04-01 04:00:00,1.7932
2023-04-01 05:00:00,2.8274
2023-04-01 06:00:00,2.4388
2023-04-01 07:00:00,3.9013
2023-04-01 08:00:00,3.2249
2023-04-01 09:00:00,2.0668
2023-04-01 10:00:00,1.3688
2023-04-01 11:00:00,2.7291
2023-04-01 12:00:00,2.8145
2023-04-01 13:00:00,3.9216
2023-04-01 14:00:00,3.2788
2023-04-01 15:00:00,3.9363
2023-04-01 16:00:00,2.1269
2023-04-01 17:00:00,1.8775
2023-04-01 18:00:00,2.5364
2023-04-01 19:00:00,3.3333
2023-04-01 20:00:00,3.3685
2023-04-01 21:00:00,2.7546
2023-04-01 22:00:00,4.4501
2023-04-01 23:00:00,1.7913
2023-04-02 00:00:00,4.4774
2023-04-02 01:00:00,2.2987
2023-04-02 02:00:00,1.4960
2023-04-02 03:00:00,2.6961
2023-04-02 04:00:00,2.9929
2023-04-02 05:00:00,3.8318
2023-04-02 06:00:00,2.2434
2023-04-02 07:00:00,4.6207
2023-04-02 08:00:00,1.6448
2023-04-02 09:00:00,3.9783
2023-04-02 10:00:00,1.9305
2023-04-02 11:00:00,2.4651
2023-04-02 12:00:00,2.9073
2023-04-02 13:00:00,2.7116
2023-04-02 14:00:00,1.7006
2023-04-02 15:00:00,3.0236
2023-04-02 16:00:00,2.9919
2023-04-02 17:00:00,2.4476
2023-04-02 18:00:00,3.0369
2023-04-02 19:00:00,2.9017
2023-04-02 20:00:00,0.7504
2023-04-02 21:00:00,3.8710
2023-04-02 22:00:00,5.3676
2023-04-02 23:00:00,1.9189
2023-04-03 00:00:00,3.3931
2023-04-03 01:00:00,2.4328
2023-04-03 02:00:00,3.1270
2023-04-03 03:00:00,3.7889
2023-04-03 04:00:00,2.4391
2023-04-03 05:00:00,2.3476
2023-04-03 06:00:00,1.2683
2023-04-03 07:00:00,4.1258
2023-04-03 08:00:00,2.9247
2023-04-03 09:00:00,3.0266
2023-04-03 10:00:00,0.4873
2023-04-03 11:00:00,3.3825
2023-04-03 12:00:00,3.5430
2023-04-03 13:00:00,1.1451
2023-04-03 14:00:00,3.9026
2023-04-03 15:00:00,1.7939
2023-04-03 16:00:00,3.2633
2023-04-03 17:00:00,1.6222
2023-04-03 18:00:00,3.8126
2023-04-03 19:00:00,2.1966
2023-04-03 20:00:00,2.1664
2023-04-03 21:00:00,2.0970
2023-04-03 22:00:00,5.3463
2023-04-03 23:00:00,4.0678
2023-04-04 00:00:00,3.4805
2023-04-04 01:00:00,4.2714
2023-04-04 02:00:00,1.5100
2023-04-04 03:00:00,4.2085
2023-04-04 04:00:00,3.1056
2023-04-04 05:00:00,3.2978
2023-04-04 06:00:00,4.7372
2023-04-04 07:00:00,3.2311
2023-04-04 08:00:00,2.0228
2023-04-04 09:00:00,3.8581
2023-04-04 10:00:00,2.5895
2023-04-04 11:00:00,3.4231
2023-04-04 12:00:00,2.2436
2023-04-04 13:00:00,0.0190
2023-04-04 14:00:00,2.2644
2023-04-04 15:00:00,3.6083
2023-04-04 16:00:00,2.3483
2023-04-04 17:00:00,1.9522
2023-04-04 18:00:00,3.1033
2023-04-04 19:00:00,2.9011
2023-04-04 20:00:00,2.0915
2023-04-04 21:00:00,3.8666
2023-04-04 22:00:00,2.3152
2023-04-04 23:00:00,3.5547
2023-04-05 00:00:00,4.6875
2023-04-05 01:00:00,3.1529
2023-04-05 02:00:00,2.9980
2023-04-05 03:00:00,2.7676
2023-04-05 04:00:00,2.2870
2023-04-05 05:00:00,4.1273
2023-04-05 06:00:00,1.5796
2023-04-05 07:00:00,3.6849
2023-04-05 08:00:00,2.8114
2023-04-05 09:00:00,1.8954
2023-04-05 10:00:00,3.1852
2023-04-05 11:00:00,1.2850
2023-04-05 12:00:00,3.6568
2023-04-05 13:00:00,3.2904
2023-04-05 14:00:00,1.7588
2023-04-05 15:00:00,3.3416
2023-04-05 16:00:00,3.3147
2023-04-05 17:00:00,3.5418
2023-04-05 18:00:00,3.5228
2023-04-05 19:00:00,1.9223
2023-04-05 20:00:00,2.2308
2023-04-05 21:00:00,3.5322
2023-04-05 22:00:00,2.4979
2023-04-05 23:00:00,2.3652
2023-04-06 00:00:00,3.0876
2023-04-06 01:00:00,1.9218
2023-04-06 02:00:00,2.8034
2023-04-06 03:00:00,1.9793
2023-04-06 04:00:00,4.1122
2023-04-06 05:00:00,3.0763
2023-04-06 06:00:00,0.8186
2023-04-06 07:00:00,3.7753
2023-04-06 08:00:00,1.2411
2023-04-06 09:00:00,3.1638
2023-04-06 10:00:00,3.1407
2023-04-06 11:00:00,2.8304
2023-04-06 12:00:00,2.8219
2023-04-06 13:00:00,1.8432
2023-04-06 14:00:00,3.1067
2023-04-06 15:00:00,2.7488
2023-04-06 16:00:00,3.2252
2023-04-06 17:00:00,4.0153
2023-04-06 18:00:00,2.3940
2023-04-06 19:00:00,2.2898
2023-04-06 20:00:00,2.5692
2023-04-06 21:00:00,3.3915
2023-04-06 22:00:00,5.3499
2023-04-06 23:00:00,2.3518
2023-04-07 00:00:00,2.3671
2023-04-07 01:00:00,2.7081
2023-04-07 02:00:00,1.9069
2023-04-07 03:00:00,2.7300
2023-04-07 04:00:00,2.9614
2023-04-07 05:00:00,3.2985
2023-04-07 06:00:00,3.0931
2023-04-07 07:00:00,2.2378
2023-04-07 08:00:00,2.1127
2023-04-07 09:00:00,4.3505
2023-04-07 10:00:00,1.3149
2023-04-07 11:00:00,2.4479
2023-04-07 12:00:00,2.7764
2023-04-07 13:00:00,2.1581
2023-04-07 14:00:00,2.8473
2023-04-07 15:00:00,1.4599
2023-04-07 16:00:00,2.3012
2023-04-07 17:00:00,3.8834
2023-04-07 18:00:00,3.1772
2023-04-07 19:00:00,1.8032
2023-04-07 20:00:00,1.3531
2023-04-07 21:00:00,2.5028
2023-04-07 22:00:00,4.6385
2023-04-07 23:00:00,3.2989
2023-04-08 00:00:00,2.8147
2023-04-08 01:00:00,4.1911
2023-04-08 02:00:00,2.2691
2023-04-08 03:00:00,1.1007
2023-04-08 04:00:00,3.0899
2023-04-08 05:00:00,2.3632
2023-04-08 06:00:00,2.0858
2023-04-08 07:00:00,3.0715
2023-04-08 08:00:00,4.4147
2023-04-08 09:00:00,3.5531
2023-04-08 10:00:00,1.9206
2023-04-08 11:00:00,1.0625
2023-04-08 12:00:00,4.8786
2023-04-08 13:00:00,0.6658
2023-04-08 14:00:00,2.2525
2023-04-08 15:00:00,2.0545
2023-04-08 16:00:00,1.4724
2023-04-08 17:00:00,3.2886
2023-04-08 18:00:00,2.8303
2023-04-08 19:00:00,1.8266
2023-04-08 20:00:00,1.4582
2023-04-08 21:00:00,3.3821
2023-04-08 22:00:00,2.7356
2023-04-08 23:00:00,3.0888
2023-04-09 00:00:00,3.2926
2023-04-09 01:00:00,4.2689
2023-04-09 02:00:00,1.6076
2023-04-09 03:00:00,4.7182
2023-04-09 04:00:00,2.8634
2023-04-09 05:00:00,3.1338
2023-04-09 06:00:00,2.0725
2023-04-09 07:00:00,0.5505
2023-04-09 08:00:00,2.6384
2023-04-09 09:00:00,3.1978
2023-04-09 10:00:00,3.0259
2023-04-09 11:00:00,3.4907
2023-04-09 12:00:00,0.8206
2023-04-09 13:00:00,4.4524
2023-04-09 14:00:00,1.1060
2023-04-09 15:00:00,2.8965
2023-04-09 16:00:00,2.0236
2023-04-09 17:00:00,3.9507
2023-04-09 18:00:00,1.8884
2023-04-09 19:00:00,2.6966
2023-04-09 20:00:00,2.3289
2023-04-09 21:00:00,3.3428
2023-04-09 22:00:00,2.6334
2023-04-09 23:00:00,2.7321
2023-04-10 00:00:00,3.7272
2023-04-10 01:00:00,1.2799
2023-04-10 02:00:00,3.2624
2023-04-10 03:00:00,1.9145
2023-04-10 04:00:00,2.6026
2023-04-10 05:00:00,2.3585
2023-04-10 06:00:00,2.6280
2023-04-10 07:00:00,1.6648
2023-04-10 08:00:00,3.0518
2023-04-10 09:00:00,1.9467
2023-04-10 10:00:00,1.9939
2023-04-10 11:00:00,3.3390
2023-04-10 12:00:00,3.1329
2023-04-10 13:00:00,1.7619
2023-04-10 14:00:00,2.2423
2023-04-10 15:00:00,1.2805
2023-04-10 16:00:00,4.0872
2023-04-10 17:00:00,2.3581
2023-04-10 18:00:00,2.1884
2023-04-10 19:00:00,3.4627
2023-04-10 20:00:00,0.2211
2023-04-10 21:00:00,2.7065
2023-04-10 22:00:00,1.9063
2023-04-10 23:00:00,3.0552
2023-04-11 00:00:00,2.6192
2023-04-11 01:00:00,2.5704
2023-04-11 02:00:00,3.2705
2023-04-11 03:00:00,3.0445
2023-04-11 04:00:00,3.6284
2023-04-11 05:00:00,3.0965
2023-04-11 06:00:00,2.2758
2023-04-11 07:00:00,3.8185
2023-04-11 08:00:00,1.9070
2023-04-11 09:00:00,2.6202
2023-04-11 10:00:00,4.2657
2023-04-11 11:00:00,2.2516
2023-04-11 12:00:00,2.5939
2023-04-11 13:00:00,3.9050
2023-04-11 14:00:00,2.1217
2023-04-11 15:00:00,2.9818
2023-04-11 16:00:00,3.1300
2023-04-11 17:00:00,1.9906
2023-04-11 18:00:00,2.7839
2023-04-11 19:00:00,2.0132
2023-04-11 20:00:00,2.1786
2023-04-11 21:00:00,1.7759
2023-04-11 22:00:00,3.7941
2023-04-11 23:00:00,3.2185
2023-04-12 00:00:00,2.6999
2023-04-12 01:00:00,2.6762
2023-04-12 02:00:00,3.5898
2023-04-12 03:00:00,2.5170
2023-04-12 04:00:00,2.1177
2023-04-12 05:00:00,2.3150
2023-04-12 06:00:00,2.2078
2023-04-12 07:00:00,3.0040
2023-04-12 08:00:00,2.9279
2023-04-12 09:00:00,1.1473
2023-04-12 10:00:00,3.6637
2023-04-12 11:00:00,2.8812
2023-04-12 12:00:00,2.8600
