date,volume_offeredcapacity_reg
2023-04-01 00:00:00,1.5430
2023-04-01 01:00:00,1.3760
2023-04-01 02:00:00,1.7200
2023-04-01 03:00:00,1.6190
2023-04-01 04:00:00,1.5130
2023-04-01 05:00:00,1.8600
2023-04-01 06:00:00,1.5380
2023-04-01 07:00:00,1.5130
2023-04-01 08:00:00,1.1590
2023-04-01 09:00:00,1.1560
2023-04-01 10:00:00,1.1760
2023-04-01 11:00:00,1.1760
2023-04-01 12:00:00,1.1860
2023-04-01 13:00:00,1.2170
2023-04-01 14:00:00,1.1970
2023-04-01 15:00:00,1.8180
2023-04-01 16:00:00,1.6590
2023-04-01 17:00:00,1.5940
2023-04-01 18:00:00,1.4600
2023-04-01 19:00:00,1.1990
2023-04-01 20:00:00,1.1940
2023-04-01 21:00:00,1.2390
2023-04-01 22:00:00,1.1870
2023-04-01 23:00:00,1.2280
2023-04-02 00:00:00,1.1100
2023-04-02 01:00:00,1.2890
2023-04-02 02:00:00,1.5670
2023-04-02 03:00:00,1.2200
2023-04-02 04:00:00,1.2640
2023-04-02 05:00:00,1.5140
2023-04-02 06:00:00,1.8330
2023-04-02 07:00:00,1.6880
2023-04-02 08:00:00,1.1630
2023-04-02 09:00:00,1.1560
2023-04-02 10:00:00,1.3000
2023-04-02 11:00:00,1.6440
2023-04-02 12:00:00,1.7260
2023-04-02 13:00:00,1.8240
2023-04-02 14:00:00,1.7600
2023-04-02 15:00:00,1.8170
2023-04-02 16:00:00,1.8090
2023-04-02 17:00:00,1.5400
2023-04-02 18:00:00,1.4580
2023-04-02 19:00:00,1.2510
2023-04-02 20:00:00,1.1730
2023-04-02 21:00:00,1.2060
2023-04-02 22:00:00,1.5280
2023-04-02 23:00:00,1.5640
2023-04-03 00:00:00,1.4370
2023-04-03 01:00:00,1.7440
2023-04-03 02:00:00,1.6280
2023-04-03 03:00:00,1.8250
2023-04-03 04:00:00,1.8360
2023-04-03 05:00:00,1.5240
2023-04-03 06:00:00,1.1830
2023-04-03 07:00:00,1.1550
2023-04-03 08:00:00,0.8700
2023-04-03 09:00:00,1.1540
2023-04-03 10:00:00,1.2930
2023-04-03 11:00:00,1.1590
2023-04-03 12:00:00,1.2770
2023-04-03 13:00:00,1.2330
2023-04-03 14:00:00,1.4860
2023-04-03 15:00:00,1.3780
2023-04-03 16:00:00,1.7470
2023-04-03 17:00:00,1.5590
2023-04-03 18:00:00,1.6050
2023-04-03 19:00:00,1.1530
2023-04-03 20:00:00,1.2390
2023-04-03 21:00:00,1.1540
2023-04-03 22:00:00,1.5570
2023-04-03 23:00:00,1.9710
2023-04-04 00:00:00,1.4950
2023-04-04 01:00:00,1.8100
2023-04-04 02:00:00,2.2220
2023-04-04 03:00:00,1.6600
2023-04-04 04:00:00,1.7820
2023-04-04 05:00:00,1.3130
2023-04-04 06:00:00,1.1840
2023-04-04 07:00:00,1.2130
2023-04-04 08:00:00,1.1600
2023-04-04 09:00:00,1.1580
2023-04-04 10:00:00,1.3450
2023-04-04 11:00:00,1.3950
2023-04-04 12:00:00,1.3230
2023-04-04 13:00:00,1.4710
2023-04-04 14:00:00,1.2220
2023-04-04 15:00:00,1.3630
2023-04-04 16:00:00,1.1560
2023-04-04 17:00:00,1.2050
2023-04-04 18:00:00,1.1930
2023-04-04 19:00:00,1.1960
2023-04-04 20:00:00,1.1940
