date,revenue_offeredcapacity_reg
2023-04-01 00:00:00,500.8300
2023-04-01 01:00:00,731.5600
2023-04-01 02:00:00,985.4100
2023-04-01 03:00:00,587.0700
2023-04-01 04:00:00,718.0400
2023-04-01 05:00:00,937.0100
2023-04-01 06:00:00,1431.4800
2023-04-01 07:00:00,1261.2100
2023-04-01 08:00:00,123.8700
2023-04-01 09:00:00,417.4000
2023-04-01 10:00:00,686.5700
2023-04-01 11:00:00,531.4700
2023-04-01 12:00:00,563.4000
2023-04-01 13:00:00,405.8300
2023-04-01 14:00:00,392.9500
2023-04-01 15:00:00,662.1600
2023-04-01 16:00:00,322.2900
2023-04-01 17:00:00,871.2800
2023-04-01 18:00:00,1220.6400
2023-04-01 19:00:00,578.6800
2023-04-01 20:00:00,541.4600
2023-04-01 21:00:00,578.2400
2023-04-01 22:00:00,528.3100
2023-04-01 23:00:00,622.6900
2023-04-02 00:00:00,421.1100
2023-04-02 01:00:00,216.9800
2023-04-02 02:00:00,550.8500
2023-04-02 03:00:00,321.8600
2023-04-02 04:00:00,524.8500
2023-04-02 05:00:00,906.7300
2023-04-02 06:00:00,633.7200
2023-04-02 07:00:00,621.2100
2023-04-02 08:00:00,138.8400
2023-04-02 09:00:00,207.8400
2023-04-02 10:00:00,445.7000
2023-04-02 11:00:00,1056.0900
2023-04-02 12:00:00,515.8800
2023-04-02 13:00:00,488.6800
2023-04-02 14:00:00,426.6400
2023-04-02 15:00:00,445.0200
2023-04-02 16:00:00,466.3100
2023-04-02 17:00:00,591.0500
2023-04-02 18:00:00,710.7400
2023-04-02 19:00:00,705.0100
2023-04-02 20:00:00,1161.0300
2023-04-02 21:00:00,618.0600
2023-04-02 22:00:00,812.3900
2023-04-02 23:00:00,818.7000
2023-04-03 00:00:00,448.4700
2023-04-03 01:00:00,607.2100
2023-04-03 02:00:00,299.3700
2023-04-03 03:00:00,634.9200
2023-04-03 04:00:00,747.8100
2023-04-03 05:00:00,890.3400
2023-04-03 06:00:00,804.4100
2023-04-03 07:00:00,355.1300
2023-04-03 08:00:00,56.3000
2023-04-03 09:00:00,73.3800
2023-04-03 10:00:00,434.7200
2023-04-03 11:00:00,139.6400
2023-04-03 12:00:00,421.9700
2023-04-03 13:00:00,1045.1600
2023-04-03 14:00:00,340.2000
2023-04-03 15:00:00,415.4000
2023-04-03 16:00:00,662.3300
2023-04-03 17:00:00,1117.2900
2023-04-03 18:00:00,606.2400
2023-04-03 19:00:00,469.9400
2023-04-03 20:00:00,689.0100
2023-04-03 21:00:00,590.6000
2023-04-03 22:00:00,723.5900
2023-04-03 23:00:00,835.7000
2023-04-04 00:00:00,713.9200
2023-04-04 01:00:00,535.9300
2023-04-04 02:00:00,977.1700
2023-04-04 03:00:00,735.9400
2023-04-04 04:00:00,496.1900
2023-04-04 05:00:00,379.7700
2023-04-04 06:00:00,750.7200
2023-04-04 07:00:00,482.4200
2023-04-04 08:00:00,51.4600
2023-04-04 09:00:00,129.3000
2023-04-04 10:00:00,192.1200
2023-04-04 11:00:00,254.0700
2023-04-04 12:00:00,328.7100
2023-04-04 13:00:00,294.2700
2023-04-04 14:00:00,324.5600
2023-04-04 15:00:00,310.3800
2023-04-04 16:00:00,167.2400
2023-04-04 17:00:00,730.3000
2023-04-04 18:00:00,1120.8100
2023-04-04 19:00:00,642.7100
2023-04-04 20:00:00,772.6700
2023-04-04 21:00:00,455.4800
2023-04-04 22:00:00,706.4100
2023-04-04 23:00:00,649.0600
2023-04-05 00:00:00,435.2600
2023-04-05 01:00:00,304.2600
2023-04-05 02:00:00,400.0300
2023-04-05 03:00:00,517.4800
2023-04-05 04:00:00,409.6800
2023-04-05 05:00:00,510.7200
2023-04-05 06:00:00,495.7400
2023-04-05 07:00:00,685.6000
2023-04-05 08:00:00,108.6800
2023-04-05 09:00:00,93.0000
2023-04-05 10:00:00,192.2700
2023-04-05 11:00:00,225.8600
2023-04-05 12:00:00,215.8300
2023-04-05 13:00:00,350.9300
