date,revenue_offeredcapacity_reg
2023-04-01 00:00:00,306.7800
2023-04-01 01:00:00,448.1400
2023-04-01 02:00:00,603.6500
2023-04-01 03:00:00,359.6300
2023-04-01 04:00:00,422.9400
2023-04-01 05:00:00,551.9200
2023-04-01 06:00:00,843.2000
2023-04-01 07:00:00,742.8900
2023-04-01 08:00:00,72.9700
2023-04-01 09:00:00,245.8500
2023-04-01 10:00:00,404.4000
2023-04-01 11:00:00,313.0700
2023-04-01 12:00:00,331.8500
2023-04-01 13:00:00,239.0400
2023-04-01 14:00:00,231.4200
2023-04-01 15:00:00,390.0500
2023-04-01 16:00:00,189.8600
2023-04-01 17:00:00,513.2100
2023-04-01 18:00:00,718.6600
2023-04-01 19:00:00,340.8500
2023-04-01 20:00:00,315.7700
2023-04-01 21:00:00,337.1700
2023-04-01 22:00:00,308.0700
2023-04-01 23:00:00,363.1000
2023-04-02 00:00:00,245.5500
2023-04-02 01:00:00,126.5400
2023-04-02 02:00:00,321.5500
2023-04-02 03:00:00,187.6800
2023-04-02 04:00:00,306.0500
2023-04-02 05:00:00,528.7500
2023-04-02 06:00:00,369.5600
2023-04-02 07:00:00,362.2400
2023-04-02 08:00:00,80.9700
2023-04-02 09:00:00,121.1900
2023-04-02 10:00:00,233.2000
2023-04-02 11:00:00,522.5200
2023-04-02 12:00:00,316.0600
2023-04-02 13:00:00,299.3800
2023-04-02 14:00:00,261.4300
2023-04-02 15:00:00,272.6200
2023-04-02 16:00:00,285.6400
2023-04-02 17:00:00,362.0900
2023-04-02 18:00:00,435.3400
2023-04-02 19:00:00,431.8900
2023-04-02 20:00:00,711.3100
2023-04-02 21:00:00,378.6600
2023-04-02 22:00:00,497.6900
2023-04-02 23:00:00,502.1100
2023-04-03 00:00:00,274.7200
2023-04-03 01:00:00,359.9800
2023-04-03 02:00:00,144.5800
2023-04-03 03:00:00,306.6600
2023-04-03 04:00:00,361.1900
2023-04-03 05:00:00,430.0400
2023-04-03 06:00:00,388.5300
2023-04-03 07:00:00,171.5300
2023-04-03 08:00:00,27.2100
2023-04-03 09:00:00,35.4400
2023-04-03 10:00:00,209.9600
2023-04-03 11:00:00,67.4600
2023-04-03 12:00:00,173.1000
2023-04-03 13:00:00,369.3700
2023-04-03 14:00:00,120.2200
2023-04-03 15:00:00,146.7900
2023-04-03 16:00:00,319.8900
2023-04-03 17:00:00,539.6200
2023-04-03 18:00:00,371.3900
2023-04-03 19:00:00,287.8800
2023-04-03 20:00:00,422.0800
2023-04-03 21:00:00,361.7900
2023-04-03 22:00:00,443.4600
2023-04-03 23:00:00,511.9300
2023-04-04 00:00:00,369.5300
2023-04-04 01:00:00,277.4300
2023-04-04 02:00:00,505.7800
2023-04-04 03:00:00,395.6800
2023-04-04 04:00:00,307.6000
2023-04-04 05:00:00,235.4300
2023-04-04 06:00:00,465.4000
2023-04-04 07:00:00,299.0500
2023-04-04 08:00:00,31.9000
2023-04-04 09:00:00,97.3600
2023-04-04 10:00:00,132.2700
2023-04-04 11:00:00,174.9200
2023-04-04 12:00:00,226.2800
2023-04-04 13:00:00,202.6400
2023-04-04 14:00:00,223.4600
2023-04-04 15:00:00,213.7200
2023-04-04 16:00:00,82.7200
2023-04-04 17:00:00,361.3000
2023-04-04 18:00:00,554.4700
2023-04-04 19:00:00,318
2023-04-04 20:00:00,382.2900
2023-04-04 21:00:00,225.3600
2023-04-04 22:00:00,349.4900
2023-04-04 23:00:00,321.1100
2023-04-05 00:00:00,179.8100
2023-04-05 01:00:00,150.5200
2023-04-05 02:00:00,165.2600
2023-04-05 03:00:00,256.0100
2023-04-05 04:00:00,202.6900
2023-04-05 05:00:00,252.6600
2023-04-05 06:00:00,245.2700
2023-04-05 07:00:00,339.2100
2023-04-05 08:00:00,53.7800
2023-04-05 09:00:00,64.0300
2023-04-05 10:00:00,132.3600
2023-04-05 11:00:00,155.5300
2023-04-05 12:00:00,148.5900
2023-04-05 13:00:00,241.6300
2023-04-05 14:00:00,308.4600
2023-04-05 15:00:00,112.8200
2023-04-05 16:00:00,188.5900
2023-04-05 17:00:00,160.6900
2023-04-05 18:00:00,189.6100
2023-04-05 19:00:00,307.7700
2023-04-05 20:00:00,225.2600
2023-04-05 21:00:00,505.8900
2023-04-05 22:00:00,388.5600
2023-04-05 23:00:00,491.3900
2023-04-06 00:00:00,350.6500
2023-04-06 01:00:00,165.4500
2023-04-06 02:00:00,134.6400
2023-04-06 03:00:00,270.1000
2023-04-06 04:00:00,91.5800
2023-04-06 05:00:00,233.6800
2023-04-06 06:00:00,205.7300
2023-04-06 07:00:00,218.5100
2023-04-06 08:00:00,104.2800
2023-04-06 09:00:00,113.7700
2023-04-06 10:00:00,206.8600
2023-04-06 11:00:00,82.5700
2023-04-06 12:00:00,212.7000
2023-04-06 13:00:00,64.3600
2023-04-06 14:00:00,27.0900
2023-04-06 15:00:00,15.2900
2023-04-06 16:00:00,212.0200
