date,volume_discharging_energy
2023-04-01 00:00:00,1.5253
2023-04-01 01:00:00,1.0029
2023-04-01 02:00:00,1.5268
2023-04-01 03:00:00,1.6902
2023-04-01 04:00:00,1.0409
2023-04-01 05:00:00,1.5982
2023-04-01 06:00:00,1.0800
2023-04-01 07:00:00,1.3009
2023-04-01 08:00:00,1.8777
2023-04-01 09:00:00,0.8549
2023-04-01 10:00:00,0.7869
2023-04-01 11:00:00,1.7194
2023-04-01 12:00:00,1.3888
2023-04-01 13:00:00,1.4393
2023-04-01 14:00:00,1.3073
2023-04-01 15:00:00,1.7046
2023-04-01 16:00:00,1.2981
2023-04-01 17:00:00,1.0085
2023-04-01 18:00:00,1.0574
2023-04-01 19:00:00,1.6893
2023-04-01 20:00:00,1.8749
2023-04-01 21:00:00,1.6555
2023-04-01 22:00:00,1.7583
2023-04-01 23:00:00,1.1456
2023-04-02 00:00:00,1.7457
2023-04-02 01:00:00,1.2226
2023-04-02 02:00:00,1.1364
2023-04-02 03:00:00,1.0032
2023-04-02 04:00:00,1.2967
2023-04-02 05:00:00,1.3039
2023-04-02 06:00:00,1.5943
2023-04-02 07:00:00,1.8129
2023-04-02 08:00:00,0.9248
2023-04-02 09:00:00,1.1914
2023-04-02 10:00:00,1.2024
2023-04-02 11:00:00,1.3567
2023-04-02 12:00:00,1.2992
2023-04-02 13:00:00,1.4216
2023-04-02 14:00:00,1.0918
2023-04-02 15:00:00,2.1587
2023-04-02 16:00:00,1.3742
2023-04-02 17:00:00,1.3951
2023-04-02 18:00:00,1.2532
2023-04-02 19:00:00,1.3779
2023-04-02 20:00:00,0.9875
2023-04-02 21:00:00,1.9808
2023-04-02 22:00:00,2.5543
2023-04-02 23:00:00,1.1965
2023-04-03 00:00:00,1.4106
2023-04-03 01:00:00,1.0287
2023-04-03 02:00:00,1.0557
2023-04-03 03:00:00,1.3535
2023-04-03 04:00:00,1.1978
2023-04-03 05:00:00,0.8638
2023-04-03 06:00:00,0.6307
2023-04-03 07:00:00,1.4418
2023-04-03 08:00:00,1.2740
2023-04-03 09:00:00,1.1204
2023-04-03 10:00:00,0.5644
2023-04-03 11:00:00,1.4363
2023-04-03 12:00:00,1.1568
2023-04-03 13:00:00,0.3190
2023-04-03 14:00:00,0.9433
2023-04-03 15:00:00,0.9699
2023-04-03 16:00:00,1.5240
2023-04-03 17:00:00,0.7168
2023-04-03 18:00:00,1.7669
2023-04-03 19:00:00,1.2225
2023-04-03 20:00:00,1.4534
2023-04-03 21:00:00,1.4691
2023-04-03 22:00:00,2.0170
2023-04-03 23:00:00,1.7879
2023-04-04 00:00:00,1.1706
2023-04-04 01:00:00,1.6766
2023-04-04 02:00:00,0.8247
2023-04-04 03:00:00,1.9206
2023-04-04 04:00:00,1.2361
2023-04-04 05:00:00,1.2621
2023-04-04 06:00:00,2.0428
2023-04-04 07:00:00,1.5134
2023-04-04 08:00:00,1.2056
2023-04-04 09:00:00,1.3748
2023-04-04 10:00:00,1.0905
2023-04-04 11:00:00,1.0193
2023-04-04 12:00:00,1.2218
2023-04-04 13:00:00,1.0024
2023-04-04 14:00:00,1.1587
2023-04-04 15:00:00,1.7482
2023-04-04 16:00:00,0.9799
2023-04-04 17:00:00,0.7165
2023-04-04 18:00:00,1.3935
2023-04-04 19:00:00,1.1679
2023-04-04 20:00:00,1.2067
2023-04-04 21:00:00,1.2192
2023-04-04 22:00:00,1.0246
2023-04-04 23:00:00,1.0542
2023-04-05 00:00:00,1.7029
2023-04-05 01:00:00,1.1269
2023-04-05 02:00:00,1.5335
2023-04-05 03:00:00,0.8124
2023-04-05 04:00:00,1.0151
2023-04-05 05:00:00,1.6676
2023-04-05 06:00:00,1.1782
2023-04-05 07:00:00,1.6465
2023-04-05 08:00:00,0.6516
2023-04-05 09:00:00,1.1043
2023-04-05 10:00:00,1.2905
2023-04-05 11:00:00,0.7692
2023-04-05 12:00:00,1.5935
2023-04-05 13:00:00,1.4439
2023-04-05 14:00:00,0.6393
2023-04-05 15:00:00,1.6264
2023-04-05 16:00:00,1.1108
2023-04-05 17:00:00,1.3695
2023-04-05 18:00:00,1.5181
2023-04-05 19:00:00,0.4648
2023-04-05 20:00:00,1.1949
2023-04-05 21:00:00,1.3862
2023-04-05 22:00:00,1.2831
2023-04-05 23:00:00,1.2166
2023-04-06 00:00:00,1.3050
2023-04-06 01:00:00,0.8532
2023-04-06 02:00:00,1.3810
2023-04-06 03:00:00,0.9355
2023-04-06 04:00:00,1.3769
2023-04-06 05:00:00,1.1369
2023-04-06 06:00:00,0.4257
2023-04-06 07:00:00,1.4846
2023-04-06 08:00:00,0.8127
2023-04-06 09:00:00,1.4163
2023-04-06 10:00:00,0.8168
2023-04-06 11:00:00,1.3475
2023-04-06 12:00:00,1.0535
2023-04-06 13:00:00,1.2225
2023-04-06 14:00:00,1.3219
2023-04-06 15:00:00,1.3583
2023-04-06 16:00:00,1.1201
2023-04-06 17:00:00,1.8296
2023-04-06 18:00:00,1.2317
2023-04-06 19:00:00,0.9005
2023-04-06 20:00:00,0.9457
2023-04-06 21:00:00,1.5385
2023-04-06 22:00:00,1.9226
2023-04-06 23:00:00,1.1327
2023-04-07 00:00:00,1.3242
2023-04-07 01:00:00,1.1733
2023-04-07 02:00:00,0.9412
2023-04-07 03:00:00,1.5999
2023-04-07 04:00:00,1.0376
2023-04-07 05:00:00,1.2752
2023-04-07 06:00:00,1.3936
2023-04-07 07:00:00,1.0530
2023-04-07 08:00:00,1.0401
2023-04-07 09:00:00,1.6418
2023-04-07 10:00:00,0.9632
2023-04-07 11:00:00,1.2557
2023-04-07 12:00:00,1.3241
2023-04-07 13:00:00,1.1704
2023-04-07 14:00:00,1.5590
2023-04-07 15:00:00,0.6008
2023-04-07 16:00:00,1.1631
2023-04-07 17:00:00,1.6071
2023-04-07 18:00:00,1.1215
2023-04-07 19:00:00,1.0327
2023-04-07 20:00:00,0.5210
2023-04-07 21:00:00,0.9480
2023-04-07 22:00:00,1.7475
2023-04-07 23:00:00,1.0440
2023-04-08 00:00:00,1.4442
2023-04-08 01:00:00,1.5631
2023-04-08 02:00:00,1.0795
2023-04-08 03:00:00,0.7057
2023-04-08 04:00:00,1.0553
2023-04-08 05:00:00,1.3932
2023-04-08 06:00:00,1.0569
2023-04-08 07:00:00,1.3727
2023-04-08 08:00:00,1.6514
2023-04-08 09:00:00,1.2994
2023-04-08 10:00:00,0.5534
2023-04-08 11:00:00,1.2930
2023-04-08 12:00:00,1.9175
2023-04-08 13:00:00,0.4367
2023-04-08 14:00:00,1.4977
2023-04-08 15:00:00,1.0013
2023-04-08 16:00:00,0.9760
2023-04-08 17:00:00,1.2733
2023-04-08 18:00:00,1.1571
2023-04-08 19:00:00,0.9776
2023-04-08 20:00:00,0.9385
2023-04-08 21:00:00,1.4512
2023-04-08 22:00:00,0.9679
2023-04-08 23:00:00,1.3400
