date,revenue_offeredcapacity_reg
2023-04-01 00:00:00,523.9500
2023-04-01 01:00:00,724.9700
2023-04-01 02:00:00,1051.5000
2023-04-01 03:00:00,627.6000
2023-04-01 04:00:00,753.9600
2023-04-01 05:00:00,989.1600
2023-04-01 06:00:00,1519.8700
2023-04-01 07:00:00,1332.2100
2023-04-01 08:00:00,132.5800
2023-04-01 09:00:00,433.2200
2023-04-01 10:00:00,677.0900
2023-04-01 11:00:00,534.1900
2023-04-01 12:00:00,590.6300
2023-04-01 13:00:00,434.1500
2023-04-01 14:00:00,416.5000
2023-04-01 15:00:00,705.1100
2023-04-01 16:00:00,345.4400
2023-04-01 17:00:00,931.7700
2023-04-01 18:00:00,1293.0800
2023-04-01 19:00:00,292.0700
2023-04-01 20:00:00,572.8000
2023-04-01 21:00:00,597.3300
2023-04-01 22:00:00,547.4900
2023-04-01 23:00:00,644.6600
2023-04-02 00:00:00,434.6700
2023-04-02 01:00:00,224.2800
2023-04-02 02:00:00,565.3200
2023-04-02 03:00:00,333.0700
2023-04-02 04:00:00,545.1300
2023-04-02 05:00:00,943.5900
2023-04-02 06:00:00,657.6900
2023-04-02 07:00:00,635.5500
2023-04-02 08:00:00,140.9800
2023-04-02 09:00:00,214.4200
2023-04-02 10:00:00,460.1100
2023-04-02 11:00:00,1095.9200
2023-04-02 12:00:00,531
2023-04-02 13:00:00,506.9300
2023-04-02 14:00:00,442.3300
2023-04-02 15:00:00,458.3300
2023-04-02 16:00:00,480.7200
2023-04-02 17:00:00,614.9300
2023-04-02 18:00:00,737.6600
2023-04-02 19:00:00,730.4300
2023-04-02 20:00:00,1203.4100
2023-04-02 21:00:00,639.3000
2023-04-02 22:00:00,839.9700
2023-04-02 23:00:00,846.3600
2023-04-03 00:00:00,446.9300
2023-04-03 01:00:00,626.4800
2023-04-03 02:00:00,310.3800
2023-04-03 03:00:00,651.7600
2023-04-03 04:00:00,774.0300
2023-04-03 05:00:00,923.3500
2023-04-03 06:00:00,698.7000
2023-04-03 07:00:00,356.3500
2023-04-03 08:00:00,57.5700
2023-04-03 09:00:00,75.7500
2023-04-03 10:00:00,435.4200
2023-04-03 11:00:00,142.7000
2023-04-03 12:00:00,435.8800
2023-04-03 13:00:00,1074.7000
2023-04-03 14:00:00,353.0800
2023-04-03 15:00:00,424.0500
2023-04-03 16:00:00,685.8600
2023-04-03 17:00:00,1150.2200
2023-04-03 18:00:00,626.6000
2023-04-03 19:00:00,483.6800
2023-04-03 20:00:00,709.3400
2023-04-03 21:00:00,609.1000
2023-04-03 22:00:00,719.3800
2023-04-03 23:00:00,852.7300
2023-04-04 00:00:00,626.5100
2023-04-04 01:00:00,464.6400
2023-04-04 02:00:00,850.3200
2023-04-04 03:00:00,660.1300
2023-04-04 04:00:00,518.6200
2023-04-04 05:00:00,396.2600
2023-04-04 06:00:00,781.7000
2023-04-04 07:00:00,481.8200
2023-04-04 08:00:00,53.7700
2023-04-04 09:00:00,185.1500
2023-04-04 10:00:00,277.3700
2023-04-04 11:00:00,367.8700
2023-04-04 12:00:00,468.8200
2023-04-04 13:00:00,429.7800
2023-04-04 14:00:00,469.1600
2023-04-04 15:00:00,445.7500
2023-04-04 16:00:00,173.6600
2023-04-04 17:00:00,691.3900
2023-04-04 18:00:00,1178.1400
2023-04-04 19:00:00,658.8400
2023-04-04 20:00:00,836.5200
2023-04-04 21:00:00,494.6000
2023-04-04 22:00:00,767.9700
2023-04-04 23:00:00,703.7500
2023-04-05 00:00:00,394.5500
2023-04-05 01:00:00,328.3100
2023-04-05 02:00:00,362.6100
2023-04-05 03:00:00,559.3600
2023-04-05 04:00:00,435.4600
2023-04-05 05:00:00,549.7600
2023-04-05 06:00:00,524.7400
2023-04-05 07:00:00,732.4700
2023-04-05 08:00:00,117.2500
2023-04-05 09:00:00,138.9500
2023-04-05 10:00:00,272.4300
2023-04-05 11:00:00,307.3700
2023-04-05 12:00:00,311.5900
2023-04-05 13:00:00,522.0600
2023-04-05 14:00:00,660.5000
2023-04-05 15:00:00,241.8400
2023-04-05 16:00:00,408.2200
2023-04-05 17:00:00,335.7800
2023-04-05 18:00:00,414.3500
2023-04-05 19:00:00,672.4300
2023-04-05 20:00:00,493.4300
2023-04-05 21:00:00,1102.6900
2023-04-05 22:00:00,851.4900
2023-04-05 23:00:00,1070.8400
2023-04-06 00:00:00,763.3900
2023-04-06 01:00:00,360.1500
2023-04-06 02:00:00,292.3300
2023-04-06 03:00:00,588.9200
2023-04-06 04:00:00,200.2500
2023-04-06 05:00:00,511.6300
2023-04-06 06:00:00,451.7200
2023-04-06 07:00:00,475.2500
2023-04-06 08:00:00,228.0500
2023-04-06 09:00:00,246.6900
2023-04-06 10:00:00,449.2500
2023-04-06 11:00:00,178.3700
2023-04-06 12:00:00,454.5300
2023-04-06 13:00:00,139.2100
2023-04-06 14:00:00,56.8800
2023-04-06 15:00:00,33.0200
2023-04-06 16:00:00,454.5500
2023-04-06 17:00:00,507.5600
2023-04-06 18:00:00,735.9800
2023-04-06 19:00:00,618.2700
2023-04-06 20:00:00,598
2023-04-06 21:00:00,550.5800
2023-04-06 22:00:00,1354.4400
2023-04-06 23:00:00,1025.9700
2023-04-07 00:00:00,378.5000
2023-04-07 01:00:00,222.5300
2023-04-07 02:00:00,165.6000
2023-04-07 03:00:00,131.1700
2023-04-07 04:00:00,199.8400
2023-04-07 05:00:00,563.5600
2023-04-07 06:00:00,1246.0100
2023-04-07 07:00:00,756.7500
2023-04-07 08:00:00,176.4400
2023-04-07 09:00:00,122.8200
2023-04-07 10:00:00,58.2200
2023-04-07 11:00:00,270.0300
2023-04-07 12:00:00,208.4700
2023-04-07 13:00:00,277.6200
2023-04-07 14:00:00,651.2100
2023-04-07 15:00:00,345.7400
2023-04-07 16:00:00,413.6800
2023-04-07 17:00:00,637.0500
2023-04-07 18:00:00,815.5400
2023-04-07 19:00:00,647.7500
2023-04-07 20:00:00,473.3600
2023-04-07 21:00:00,692.8900
2023-04-07 22:00:00,1169.0100
2023-04-07 23:00:00,735.3300
2023-04-08 00:00:00,1031.8200
2023-04-08 01:00:00,354.0100
2023-04-08 02:00:00,469.8100
2023-04-08 03:00:00,512.4300
2023-04-08 04:00:00,326.7400
2023-04-08 05:00:00,768.3900
2023-04-08 06:00:00,719.4800
2023-04-08 07:00:00,826.0600
2023-04-08 08:00:00,238.2300
2023-04-08 09:00:00,209.8900
2023-04-08 10:00:00,0
2023-04-08 11:00:00,975.2900
2023-04-08 12:00:00,351.2200
2023-04-08 13:00:00,166.3800
2023-04-08 14:00:00,334.1000
2023-04-08 15:00:00,428.6800
2023-04-08 16:00:00,168.9900
2023-04-08 17:00:00,271.8100
2023-04-08 18:00:00,556.3100
2023-04-08 19:00:00,835.5500
2023-04-08 20:00:00,764.4500
2023-04-08 21:00:00,751.9400
2023-04-08 22:00:00,959.7300
2023-04-08 23:00:00,890.9700
2023-04-09 00:00:00,516.7700
2023-04-09 01:00:00,760.0100
2023-04-09 02:00:00,847.0400
2023-04-09 03:00:00,1577.9100
2023-04-09 04:00:00,1932.2600
2023-04-09 05:00:00,584.9900
2023-04-09 06:00:00,1145.5400
2023-04-09 07:00:00,791.2800
2023-04-09 08:00:00,141.1400
2023-04-09 09:00:00,147.0700
2023-04-09 10:00:00,0
2023-04-09 11:00:00,588.9900
2023-04-09 12:00:00,488.6000
2023-04-09 13:00:00,393.2200
2023-04-09 14:00:00,381.8000
2023-04-09 15:00:00,267.8400
2023-04-09 16:00:00,602.4600
2023-04-09 17:00:00,440.1700
2023-04-09 18:00:00,514.0800
2023-04-09 19:00:00,838.2300
2023-04-09 20:00:00,505.8100
2023-04-09 21:00:00,359.5300
2023-04-09 22:00:00,385.6700
2023-04-09 23:00:00,896.2100
2023-04-10 00:00:00,148.8900
2023-04-10 01:00:00,207.6500
2023-04-10 02:00:00,186.8900
2023-04-10 03:00:00,131.7300
2023-04-10 04:00:00,227.1000
2023-04-10 05:00:00,446.6700
2023-04-10 06:00:00,533.5100
2023-04-10 07:00:00,772.9800
2023-04-10 08:00:00,71.0300
2023-04-10 09:00:00,257.1200
2023-04-10 10:00:00,503.7600
2023-04-10 11:00:00,425.1500
2023-04-10 12:00:00,202.2900
2023-04-10 13:00:00,527.2600
2023-04-10 14:00:00,535.7000
2023-04-10 15:00:00,267.1600
2023-04-10 16:00:00,387.1400
2023-04-10 17:00:00,469.1600
2023-04-10 18:00:00,616.2600
2023-04-10 19:00:00,1531.4300
2023-04-10 20:00:00,1190.7800
2023-04-10 21:00:00,536.7800
2023-04-10 22:00:00,498.9700
2023-04-10 23:00:00,624.2100
2023-04-11 00:00:00,331.1500
2023-04-11 01:00:00,300.7700
2023-04-11 02:00:00,429.1700
2023-04-11 03:00:00,825.1500
2023-04-11 04:00:00,488.6100
2023-04-11 05:00:00,360.8800
2023-04-11 06:00:00,1010.8100
2023-04-11 07:00:00,1094.5100
2023-04-11 08:00:00,227.2700
2023-04-11 09:00:00,716.9100
2023-04-11 10:00:00,462.1500
2023-04-11 11:00:00,394.2400
2023-04-11 12:00:00,221.0000
2023-04-11 13:00:00,633.9500
2023-04-11 14:00:00,659.5100
2023-04-11 15:00:00,809.8700
2023-04-11 16:00:00,229.7900
2023-04-11 17:00:00,1051.9500
2023-04-11 18:00:00,612.0100
2023-04-11 19:00:00,792.5800
2023-04-11 20:00:00,837.6200
2023-04-11 21:00:00,263.0300
2023-04-11 22:00:00,710.4300
2023-04-11 23:00:00,940.9900
2023-04-12 00:00:00,165.7300
2023-04-12 01:00:00,340.6900
2023-04-12 02:00:00,427.7400
2023-04-12 03:00:00,224.9100
2023-04-12 04:00:00,186.8900
2023-04-12 05:00:00,453.5000
2023-04-12 06:00:00,569.5700
2023-04-12 07:00:00,628.3700
2023-04-12 08:00:00,129.6100
2023-04-12 09:00:00,499.4300
2023-04-12 10:00:00,672.4000
2023-04-12 11:00:00,328.6100
2023-04-12 12:00:00,208.0600
2023-04-12 13:00:00,163.1600
2023-04-12 14:00:00,75.6200
2023-04-12 15:00:00,1679.2600
2023-04-12 16:00:00,680
2023-04-12 17:00:00,1027.1100
2023-04-12 18:00:00,604.0700
2023-04-12 19:00:00,437.8900
2023-04-12 20:00:00,564.4700
2023-04-12 21:00:00,231.9300
2023-04-12 22:00:00,643.3900
2023-04-12 23:00:00,369.7800
2023-04-13 00:00:00,374.5900
2023-04-13 01:00:00,350.2000
2023-04-13 02:00:00,290.8500
2023-04-13 03:00:00,273.9800
2023-04-13 04:00:00,334.0100
2023-04-13 05:00:00,517.5900
2023-04-13 06:00:00,314.2400
2023-04-13 07:00:00,215.8200
2023-04-13 08:00:00,404.3800
2023-04-13 09:00:00,326.3000
2023-04-13 10:00:00,123.7700
2023-04-13 11:00:00,270.0700
2023-04-13 12:00:00,406.1400
2023-04-13 13:00:00,561.1100
2023-04-13 14:00:00,124.3300
2023-04-13 15:00:00,597.3300
2023-04-13 16:00:00,370.8200
2023-04-13 17:00:00,1644.2800
2023-04-13 18:00:00,524.0700
2023-04-13 19:00:00,451.5500
2023-04-13 20:00:00,613.8600
2023-04-13 21:00:00,228.2800
2023-04-13 22:00:00,433.1200
2023-04-13 23:00:00,781.3900
2023-04-14 00:00:00,302.1700
2023-04-14 01:00:00,219.8200
2023-04-14 02:00:00,299.1800
2023-04-14 03:00:00,940.4600
2023-04-14 04:00:00,263.0100
2023-04-14 05:00:00,1083.2300
2023-04-14 06:00:00,1037.7700
2023-04-14 07:00:00,494.8400
2023-04-14 08:00:00,921.8300
2023-04-14 09:00:00,245.3800
2023-04-14 10:00:00,289.7700
2023-04-14 11:00:00,223.5700
2023-04-14 12:00:00,188.8200
2023-04-14 13:00:00,187.7000
2023-04-14 14:00:00,61.8400
2023-04-14 15:00:00,114.0500
2023-04-14 16:00:00,272.3700
2023-04-14 17:00:00,509.1900
2023-04-14 18:00:00,293.3600
2023-04-14 19:00:00,523.8100
2023-04-14 20:00:00,567.7700
2023-04-14 21:00:00,927.2200
2023-04-14 22:00:00,671.6800
2023-04-14 23:00:00,909.1800
2023-04-15 00:00:00,790.3800
2023-04-15 01:00:00,527.4100
2023-04-15 02:00:00,362.9700
2023-04-15 03:00:00,347.9900
2023-04-15 04:00:00,114.3200
2023-04-15 05:00:00,988.3800
2023-04-15 06:00:00,761.6800
2023-04-15 07:00:00,457.9200
2023-04-15 08:00:00,515.6800
2023-04-15 09:00:00,377.1300
2023-04-15 10:00:00,514.1700
2023-04-15 11:00:00,710.3400
2023-04-15 12:00:00,607.4500
2023-04-15 13:00:00,634.2900
2023-04-15 14:00:00,907.3700
2023-04-15 15:00:00,620.6400
2023-04-15 16:00:00,187.6000
2023-04-15 17:00:00,629.3000
2023-04-15 18:00:00,613.7800
2023-04-15 19:00:00,922.2300
2023-04-15 20:00:00,976.7100
2023-04-15 21:00:00,904.7700
2023-04-15 22:00:00,729.6400
2023-04-15 23:00:00,961.5200
2023-04-16 00:00:00,704.3700
2023-04-16 01:00:00,483.8700
2023-04-16 02:00:00,261.4100
2023-04-16 03:00:00,431.1100
2023-04-16 04:00:00,198.0900
2023-04-16 05:00:00,742.6400
2023-04-16 06:00:00,730.2800
2023-04-16 07:00:00,795.5900
2023-04-16 08:00:00,231.5500
2023-04-16 09:00:00,357.1100
2023-04-16 10:00:00,750.1000
2023-04-16 11:00:00,942.8300
2023-04-16 12:00:00,781.7100
2023-04-16 13:00:00,272.7200
2023-04-16 14:00:00,132.8200
2023-04-16 15:00:00,235.7000
2023-04-16 16:00:00,320.4900
2023-04-16 17:00:00,386.1000
2023-04-16 18:00:00,278.2200
2023-04-16 19:00:00,188.1000
2023-04-16 20:00:00,566.1600
2023-04-16 21:00:00,332.9900
2023-04-16 22:00:00,794.4700
2023-04-16 23:00:00,700.9700
2023-04-17 00:00:00,138.4600
2023-04-17 01:00:00,155.6500
2023-04-17 02:00:00,271.0500
2023-04-17 03:00:00,116.3100
2023-04-17 04:00:00,265.5300
2023-04-17 05:00:00,948.5200
2023-04-17 06:00:00,636.5300
2023-04-17 07:00:00,639.8400
2023-04-17 08:00:00,559.8100
2023-04-17 09:00:00,261.7900
2023-04-17 10:00:00,320.2800
2023-04-17 11:00:00,226.9200
2023-04-17 12:00:00,174.4600
2023-04-17 13:00:00,356.9500
2023-04-17 14:00:00,258.6300
2023-04-17 15:00:00,486.0100
2023-04-17 16:00:00,242.0200
2023-04-17 17:00:00,464.7100
2023-04-17 18:00:00,487.3300
2023-04-17 19:00:00,764.0900
2023-04-17 20:00:00,1121.0200
2023-04-17 21:00:00,485.7100
2023-04-17 22:00:00,830
2023-04-17 23:00:00,1007.1100
2023-04-18 00:00:00,531.3000
2023-04-18 01:00:00,753.3300
2023-04-18 02:00:00,711.6100
2023-04-18 03:00:00,626.8000
2023-04-18 04:00:00,581.0100
2023-04-18 05:00:00,645.9400
2023-04-18 06:00:00,345.1200
2023-04-18 07:00:00,525.0400
2023-04-18 08:00:00,57.7400
2023-04-18 09:00:00,135.8500
2023-04-18 10:00:00,61.9500
2023-04-18 11:00:00,459.4600
2023-04-18 12:00:00,255.5500
2023-04-18 13:00:00,166.8900
2023-04-18 14:00:00,366.7500
2023-04-18 15:00:00,471.9900
2023-04-18 16:00:00,392.1400
2023-04-18 17:00:00,867.3000
2023-04-18 18:00:00,299.0900
2023-04-18 19:00:00,666.3000
2023-04-18 20:00:00,1462.7000
2023-04-18 21:00:00,339.2400
2023-04-18 22:00:00,937.7200
2023-04-18 23:00:00,619.3000
2023-04-19 00:00:00,995.6100
2023-04-19 01:00:00,1091.6100
2023-04-19 02:00:00,407.0800
2023-04-19 03:00:00,340.3400
2023-04-19 04:00:00,275.0300
2023-04-19 05:00:00,898.9500
2023-04-19 06:00:00,1056.5800
2023-04-19 07:00:00,594.4500
2023-04-19 08:00:00,219.9100
2023-04-19 09:00:00,279.7400
2023-04-19 10:00:00,500.4800
2023-04-19 11:00:00,540.6300
2023-04-19 12:00:00,514.6400
2023-04-19 13:00:00,633.3700
2023-04-19 14:00:00,590.4700
2023-04-19 15:00:00,604.4300
2023-04-19 16:00:00,655.5900
2023-04-19 17:00:00,712.6300
2023-04-19 18:00:00,636.4500
2023-04-19 19:00:00,392.0900
2023-04-19 20:00:00,619.2400
2023-04-19 21:00:00,745.4100
2023-04-19 22:00:00,902.1800
2023-04-19 23:00:00,746.7200
2023-04-20 00:00:00,985.0400
2023-04-20 01:00:00,634.2500
2023-04-20 02:00:00,853.3400
2023-04-20 03:00:00,575.0400
2023-04-20 04:00:00,882.6800
2023-04-20 05:00:00,829.8100
2023-04-20 06:00:00,1100.4600
2023-04-20 07:00:00,705.5900
2023-04-20 08:00:00,699.0500
2023-04-20 09:00:00,764.0900
2023-04-20 10:00:00,371.1600
2023-04-20 11:00:00,452.4800
2023-04-20 12:00:00,481.8100
2023-04-20 13:00:00,61.1900
2023-04-20 14:00:00,269.1200
2023-04-20 15:00:00,668.3900
2023-04-20 16:00:00,449.2500
2023-04-20 17:00:00,201.8100
2023-04-20 18:00:00,743.3800
2023-04-20 19:00:00,588.4200
2023-04-20 20:00:00,1019.0200
2023-04-20 21:00:00,248.2700
2023-04-20 22:00:00,788.2000
2023-04-20 23:00:00,1112.2200
2023-04-21 00:00:00,340.0500
2023-04-21 01:00:00,503.8900
2023-04-21 02:00:00,180.7000
2023-04-21 03:00:00,293.3800
2023-04-21 04:00:00,467.6400
2023-04-21 05:00:00,1612.4100
2023-04-21 06:00:00,456.5300
2023-04-21 07:00:00,365.0300
2023-04-21 08:00:00,630.4500
2023-04-21 09:00:00,374.1900
2023-04-21 10:00:00,495.0800
2023-04-21 11:00:00,174.2900
2023-04-21 12:00:00,309.8800
2023-04-21 13:00:00,44.4700
2023-04-21 14:00:00,568.6500
2023-04-21 15:00:00,323.9800
2023-04-21 16:00:00,250.6800
2023-04-21 17:00:00,162.9100
2023-04-21 18:00:00,427.5400
2023-04-21 19:00:00,52.3700
2023-04-21 20:00:00,173.8600
2023-04-21 21:00:00,225.2400
2023-04-21 22:00:00,483.8000
2023-04-21 23:00:00,841.5800
2023-04-22 00:00:00,234.5700
2023-04-22 01:00:00,387.3200
2023-04-22 02:00:00,281.6400
2023-04-22 03:00:00,2811.3900
2023-04-22 04:00:00,292.3000
2023-04-22 05:00:00,767.7300
2023-04-22 06:00:00,1753.2100
2023-04-22 07:00:00,394.5800
2023-04-22 08:00:00,180.6900
2023-04-22 09:00:00,256.9000
2023-04-22 10:00:00,540.9700
2023-04-22 11:00:00,55.3600
2023-04-22 12:00:00,266.8700
2023-04-22 13:00:00,132.7100
2023-04-22 14:00:00,532.3700
2023-04-22 15:00:00,957.8100
2023-04-22 16:00:00,177.5800
2023-04-22 17:00:00,769.7600
2023-04-22 18:00:00,787.5900
2023-04-22 19:00:00,612.8400
2023-04-22 20:00:00,621.5700
2023-04-22 21:00:00,634.8000
2023-04-22 22:00:00,553.0800
2023-04-22 23:00:00,486.9800
2023-04-23 00:00:00,713.3500
2023-04-23 01:00:00,327.9100
2023-04-23 02:00:00,297.2400
2023-04-23 03:00:00,409.0900
2023-04-23 04:00:00,279.7000
2023-04-23 05:00:00,820.9900
2023-04-23 06:00:00,2010.4800
2023-04-23 07:00:00,819.7200
2023-04-23 08:00:00,253.0900
2023-04-23 09:00:00,582.4900
2023-04-23 10:00:00,589.2200
2023-04-23 11:00:00,285.4800
2023-04-23 12:00:00,591.4500
2023-04-23 13:00:00,778.9400
2023-04-23 14:00:00,228.0400
2023-04-23 15:00:00,278.8600
2023-04-23 16:00:00,219.8700
2023-04-23 17:00:00,977.0000
2023-04-23 18:00:00,745.4300
2023-04-23 19:00:00,447.2400
2023-04-23 20:00:00,913.5600
2023-04-23 21:00:00,614.6100
2023-04-23 22:00:00,991.1100
2023-04-23 23:00:00,722.7000
2023-04-24 00:00:00,1582.1800
2023-04-24 01:00:00,2409.6300
2023-04-24 02:00:00,415.4300
2023-04-24 03:00:00,283.9500
2023-04-24 04:00:00,299.1900
2023-04-24 05:00:00,784.8300
2023-04-24 06:00:00,435.0200
2023-04-24 07:00:00,1187.1800
2023-04-24 08:00:00,132.3100
2023-04-24 09:00:00,320.3000
2023-04-24 10:00:00,39.6300
2023-04-24 11:00:00,55.1000
2023-04-24 12:00:00,131.5400
2023-04-24 13:00:00,540.6700
2023-04-24 14:00:00,241.9200
2023-04-24 15:00:00,231.3400
2023-04-24 16:00:00,163.8300
2023-04-24 17:00:00,427.4700
2023-04-24 18:00:00,407.0700
2023-04-24 19:00:00,201.9200
2023-04-24 20:00:00,580.3600
2023-04-24 21:00:00,357.5700
2023-04-24 22:00:00,1450.6500
2023-04-24 23:00:00,590.5800
2023-04-25 00:00:00,297.0500
2023-04-25 01:00:00,322.4400
2023-04-25 02:00:00,433.6300
2023-04-25 03:00:00,211.8200
2023-04-25 04:00:00,193.5300
2023-04-25 05:00:00,224.0600
2023-04-25 06:00:00,115.1900
2023-04-25 07:00:00,0
2023-04-25 08:00:00,0
2023-04-25 09:00:00,178.9000
2023-04-25 10:00:00,224
2023-04-25 11:00:00,292.9200
2023-04-25 12:00:00,297.5000
2023-04-25 13:00:00,203.6800
2023-04-25 14:00:00,297.7100
2023-04-25 15:00:00,419.8900
2023-04-25 16:00:00,209.7200
2023-04-25 17:00:00,436.1400
2023-04-25 18:00:00,275.3900
2023-04-25 19:00:00,504.3200
2023-04-25 20:00:00,137.7100
2023-04-25 21:00:00,713.8500
2023-04-25 22:00:00,372.8600
2023-04-25 23:00:00,569.1400
2023-04-26 00:00:00,191.0200
2023-04-26 01:00:00,192.0100
2023-04-26 02:00:00,84.9000
2023-04-26 03:00:00,0
2023-04-26 04:00:00,353.0600
2023-04-26 05:00:00,262.8000
2023-04-26 06:00:00,374.4500
2023-04-26 07:00:00,656.7600
2023-04-26 08:00:00,373.2300
2023-04-26 09:00:00,298.3200
2023-04-26 10:00:00,299.1400
2023-04-26 11:00:00,451.0600
2023-04-26 12:00:00,461.7700
2023-04-26 13:00:00,870.9200
2023-04-26 14:00:00,328.4200
2023-04-26 15:00:00,508.5100
2023-04-26 16:00:00,485.4700
2023-04-26 17:00:00,595.1500
2023-04-26 18:00:00,258.2100
2023-04-26 19:00:00,272.3500
2023-04-26 20:00:00,186.3900
2023-04-26 21:00:00,184.9400
2023-04-26 22:00:00,312.4600
2023-04-26 23:00:00,514.2400
2023-04-27 00:00:00,105.7000
2023-04-27 01:00:00,463.7100
2023-04-27 02:00:00,441.9600
2023-04-27 03:00:00,683.9200
2023-04-27 04:00:00,189.3900
2023-04-27 05:00:00,640.5600
2023-04-27 06:00:00,210.1000
2023-04-27 07:00:00,301.6400
2023-04-27 08:00:00,19.3100
2023-04-27 09:00:00,82
2023-04-27 10:00:00,0
2023-04-27 11:00:00,1025.5600
2023-04-27 12:00:00,85.4000
2023-04-27 13:00:00,615.6100
2023-04-27 14:00:00,89.1200
2023-04-27 15:00:00,304.8000
2023-04-27 16:00:00,197.8500
2023-04-27 17:00:00,274.6800
2023-04-27 18:00:00,170.6800
2023-04-27 19:00:00,206.5500
2023-04-27 20:00:00,140.4500
2023-04-27 21:00:00,286.9600
2023-04-27 22:00:00,254.4100
2023-04-27 23:00:00,869.0100
2023-04-28 00:00:00,665.5300
2023-04-28 01:00:00,286.7300
2023-04-28 02:00:00,910.8500
2023-04-28 03:00:00,183.0100
2023-04-28 04:00:00,258.5300
2023-04-28 05:00:00,587.8500
2023-04-28 06:00:00,494.9100
