date,volume_discharging_energy
2023-04-01 00:00:00,6.9714
2023-04-01 01:00:00,2.6602
2023-04-01 02:00:00,3.5946
2023-04-01 03:00:00,5.0428
2023-04-01 04:00:00,2.5128
2023-04-01 05:00:00,4.1951
2023-04-01 06:00:00,3.7952
2023-04-01 07:00:00,5.2277
2023-04-01 08:00:00,3.7436
2023-04-01 09:00:00,3.1076
2023-04-01 10:00:00,1.9254
2023-04-01 11:00:00,4.4845
2023-04-01 12:00:00,4.5067
2023-04-01 13:00:00,4.7286
2023-04-01 14:00:00,4.9027
2023-04-01 15:00:00,5.4807
2023-04-01 16:00:00,2.3167
2023-04-01 17:00:00,2.7634
2023-04-01 18:00:00,2.7553
2023-04-01 19:00:00,1.1536
2023-04-01 20:00:00,3.4067
2023-04-01 21:00:00,2.8024
2023-04-01 22:00:00,4.7750
2023-04-01 23:00:00,1.5343
2023-04-02 00:00:00,5.8377
2023-04-02 01:00:00,1.8290
2023-04-02 02:00:00,3.2798
2023-04-02 03:00:00,3.1554
2023-04-02 04:00:00,2.9848
2023-04-02 05:00:00,3.6287
2023-04-02 06:00:00,1.9710
2023-04-02 07:00:00,5.1003
2023-04-02 08:00:00,2.2208
2023-04-02 09:00:00,6.0556
2023-04-02 10:00:00,2.1098
2023-04-02 11:00:00,2.2709
2023-04-02 12:00:00,3.3856
2023-04-02 13:00:00,2.8956
2023-04-02 14:00:00,2.4189
2023-04-02 15:00:00,4.2209
2023-04-02 16:00:00,4.2562
2023-04-02 17:00:00,2.1343
2023-04-02 18:00:00,2.7696
2023-04-02 19:00:00,5.0477
2023-04-02 20:00:00,0.3933
2023-04-02 21:00:00,4.8609
2023-04-02 22:00:00,6.4844
2023-04-02 23:00:00,1.9240
2023-04-03 00:00:00,5.1596
2023-04-03 01:00:00,4.3155
2023-04-03 02:00:00,3.1662
2023-04-03 03:00:00,4.2654
2023-04-03 04:00:00,2.0035
2023-04-03 05:00:00,3.0767
2023-04-03 06:00:00,1.3510
2023-04-03 07:00:00,6.3906
2023-04-03 08:00:00,3.4570
2023-04-03 09:00:00,3.4479
2023-04-03 10:00:00,2.1216
2023-04-03 11:00:00,3.3443
2023-04-03 12:00:00,3.6563
2023-04-03 13:00:00,2.3349
2023-04-03 14:00:00,3.5675
2023-04-03 15:00:00,3.8669
2023-04-03 16:00:00,4.2940
2023-04-03 17:00:00,1.7220
2023-04-03 18:00:00,4.1692
2023-04-03 19:00:00,2.6147
2023-04-03 20:00:00,2.2668
2023-04-03 21:00:00,2.0422
2023-04-03 22:00:00,5.4996
2023-04-03 23:00:00,4.6572
2023-04-04 00:00:00,4.6238
2023-04-04 01:00:00,5.2598
2023-04-04 02:00:00,1.4860
2023-04-04 03:00:00,4.6304
2023-04-04 04:00:00,3.5530
2023-04-04 05:00:00,4.0134
2023-04-04 06:00:00,6.2935
2023-04-04 07:00:00,5.3471
2023-04-04 08:00:00,3.5622
2023-04-04 09:00:00,4.8763
2023-04-04 10:00:00,4.2358
2023-04-04 11:00:00,4.5660
2023-04-04 12:00:00,2.8189
2023-04-04 13:00:00,2.1260
2023-04-04 14:00:00,2.9675
2023-04-04 15:00:00,5.1551
2023-04-04 16:00:00,3.8356
2023-04-04 17:00:00,1.3522
2023-04-04 18:00:00,3.5962
2023-04-04 19:00:00,4.2988
2023-04-04 20:00:00,2.6185
2023-04-04 21:00:00,4.1857
2023-04-04 22:00:00,2.6371
2023-04-04 23:00:00,4.0095
2023-04-05 00:00:00,5.4047
2023-04-05 01:00:00,3.8422
2023-04-05 02:00:00,3.9410
2023-04-05 03:00:00,3.5814
2023-04-05 04:00:00,2.5669
2023-04-05 05:00:00,5.3379
2023-04-05 06:00:00,2.6489
2023-04-05 07:00:00,5.3664
2023-04-05 08:00:00,4.0602
2023-04-05 09:00:00,3.4168
2023-04-05 10:00:00,4.2104
2023-04-05 11:00:00,1.8567
2023-04-05 12:00:00,5.1893
2023-04-05 13:00:00,4.8990
2023-04-05 14:00:00,2.0835
2023-04-05 15:00:00,4.4763
2023-04-05 16:00:00,4.6565
2023-04-05 17:00:00,5.6538
2023-04-05 18:00:00,4.7939
2023-04-05 19:00:00,2.3896
2023-04-05 20:00:00,2.7294
2023-04-05 21:00:00,3.3341
2023-04-05 22:00:00,2.8923
2023-04-05 23:00:00,2.4983
2023-04-06 00:00:00,3.9978
2023-04-06 01:00:00,3.3468
2023-04-06 02:00:00,2.4108
2023-04-06 03:00:00,2.1815
2023-04-06 04:00:00,5.1610
2023-04-06 05:00:00,3.4111
2023-04-06 06:00:00,1.3805
2023-04-06 07:00:00,5.7362
2023-04-06 08:00:00,1.9785
2023-04-06 09:00:00,3.6115
2023-04-06 10:00:00,4.3622
2023-04-06 11:00:00,4.0318
2023-04-06 12:00:00,6.1311
2023-04-06 13:00:00,2.1568
2023-04-06 14:00:00,3.9240
2023-04-06 15:00:00,4.3706
2023-04-06 16:00:00,5.7151
2023-04-06 17:00:00,5.4469
2023-04-06 18:00:00,3.4115
2023-04-06 19:00:00,2.6185
2023-04-06 20:00:00,2.5075
2023-04-06 21:00:00,3.5126
