date,revenue_offeredcapacity_reg
2023-04-01 00:00:00,583.6000
2023-04-01 01:00:00,807.2200
2023-04-01 02:00:00,1177.5000
2023-04-01 03:00:00,702.9500
2023-04-01 04:00:00,839.1000
2023-04-01 05:00:00,1115.5900
2023-04-01 06:00:00,1705.7200
2023-04-01 07:00:00,1509.6500
2023-04-01 08:00:00,149.2200
2023-04-01 09:00:00,476.6600
2023-04-01 10:00:00,753.4400
2023-04-01 11:00:00,597.3700
2023-04-01 12:00:00,662.3800
2023-04-01 13:00:00,485.4800
2023-04-01 14:00:00,466.2100
2023-04-01 15:00:00,783.0200
2023-04-01 16:00:00,386.7200
2023-04-01 17:00:00,1017.0100
2023-04-01 18:00:00,1415.2700
2023-04-01 19:00:00,678.2800
2023-04-01 20:00:00,636.6100
2023-04-01 21:00:00,677.9600
2023-04-01 22:00:00,619.8400
2023-04-01 23:00:00,733.7200
2023-04-02 00:00:00,490.5600
2023-04-02 01:00:00,254.2500
2023-04-02 02:00:00,641.2200
2023-04-02 03:00:00,377.3300
2023-04-02 04:00:00,615.8600
2023-04-02 05:00:00,1063.2700
2023-04-02 06:00:00,741.5600
2023-04-02 07:00:00,721.6300
2023-04-02 08:00:00,155.5100
2023-04-02 09:00:00,243.0000
2023-04-02 10:00:00,520.5200
2023-04-02 11:00:00,1239.5800
2023-04-02 12:00:00,600.8900
2023-04-02 13:00:00,575.3500
2023-04-02 14:00:00,500.9200
2023-04-02 15:00:00,518.4900
2023-04-02 16:00:00,546.0400
2023-04-02 17:00:00,696.6400
2023-04-02 18:00:00,833.5700
2023-04-02 19:00:00,826.1300
2023-04-02 20:00:00,1363.4100
2023-04-02 21:00:00,723.4400
2023-04-02 22:00:00,947.7800
2023-04-02 23:00:00,959.3900
2023-04-03 00:00:00,507.2500
2023-04-03 01:00:00,707.9000
2023-04-03 02:00:00,352.1200
2023-04-03 03:00:00,742.4000
2023-04-03 04:00:00,878.5100
2023-04-03 05:00:00,1046.7200
2023-04-03 06:00:00,795.6300
2023-04-03 07:00:00,404.7000
2023-04-03 08:00:00,65.1900
2023-04-03 09:00:00,85.6500
2023-04-03 10:00:00,483.1100
2023-04-03 11:00:00,161.9500
2023-04-03 12:00:00,493.7100
2023-04-03 13:00:00,1208.5800
2023-04-03 14:00:00,398.2000
2023-04-03 15:00:00,479.9600
2023-04-03 16:00:00,795.1200
2023-04-03 17:00:00,1346.8700
2023-04-03 18:00:00,722.9900
2023-04-03 19:00:00,560.4000
2023-04-03 20:00:00,824.8400
2023-04-03 21:00:00,712.7400
2023-04-03 22:00:00,853.1300
2023-04-03 23:00:00,1004.8500
2023-04-04 00:00:00,723.2200
2023-04-04 01:00:00,540.7700
2023-04-04 02:00:00,986.9900
2023-04-04 03:00:00,771.7400
2023-04-04 04:00:00,600.7700
2023-04-04 05:00:00,460.6800
2023-04-04 06:00:00,908.2000
2023-04-04 07:00:00,553.3400
2023-04-04 08:00:00,62.8900
2023-04-04 09:00:00,215.7400
2023-04-04 10:00:00,321.1400
2023-04-04 11:00:00,429.8500
2023-04-04 12:00:00,544.2700
2023-04-04 13:00:00,498.3400
2023-04-04 14:00:00,544.9700
2023-04-04 15:00:00,517.6200
2023-04-04 16:00:00,202.0500
2023-04-04 17:00:00,857.3500
2023-04-04 18:00:00,1332.5800
2023-04-04 19:00:00,761.9900
2023-04-04 20:00:00,916.9100
2023-04-04 21:00:00,542.1200
2023-04-04 22:00:00,840.7600
2023-04-04 23:00:00,771.5900
2023-04-05 00:00:00,430.9200
2023-04-05 01:00:00,360.3200
2023-04-05 02:00:00,397.5000
2023-04-05 03:00:00,613.2900
2023-04-05 04:00:00,479.0200
2023-04-05 05:00:00,602.3300
2023-04-05 06:00:00,575.5400
2023-04-05 07:00:00,803.8800
2023-04-05 08:00:00,128.7500
2023-04-05 09:00:00,151.9100
2023-04-05 10:00:00,305.9000
2023-04-05 11:00:00,336.4200
2023-04-05 12:00:00,342.1600
2023-04-05 13:00:00,572.8200
2023-04-05 14:00:00,728.2700
2023-04-05 15:00:00,264
2023-04-05 16:00:00,447.4800
2023-04-05 17:00:00,370.4900
2023-04-05 18:00:00,453.2000
2023-04-05 19:00:00,737.0400
2023-04-05 20:00:00,540.1700
2023-04-05 21:00:00,1209.5900
2023-04-05 22:00:00,932.7900
2023-04-05 23:00:00,1178.5800
2023-04-06 00:00:00,835.5200
2023-04-06 01:00:00,394.7400
2023-04-06 02:00:00,320.9600
2023-04-06 03:00:00,646.3600
2023-04-06 04:00:00,219.5900
2023-04-06 05:00:00,562.1900
2023-04-06 06:00:00,495.7600
2023-04-06 07:00:00,520.4700
2023-04-06 08:00:00,250.0400
2023-04-06 09:00:00,270.7200
2023-04-06 10:00:00,463.3100
2023-04-06 11:00:00,195.8900
2023-04-06 12:00:00,482.8300
2023-04-06 13:00:00,156.5100
2023-04-06 14:00:00,63.8200
2023-04-06 15:00:00,37.1500
2023-04-06 16:00:00,513.5700
2023-04-06 17:00:00,568.3400
2023-04-06 18:00:00,827.6600
2023-04-06 19:00:00,695.6500
2023-04-06 20:00:00,675.0900
2023-04-06 21:00:00,619.0400
2023-04-06 22:00:00,1517.1200
2023-04-06 23:00:00,1150.5000
2023-04-07 00:00:00,424.7400
2023-04-07 01:00:00,249.5000
2023-04-07 02:00:00,185.4400
2023-04-07 03:00:00,146.7600
2023-04-07 04:00:00,223.2700
2023-04-07 05:00:00,630.7200
2023-04-07 06:00:00,1397.1700
2023-04-07 07:00:00,845.2400
2023-04-07 08:00:00,197.5400
2023-04-07 09:00:00,137.8400
2023-04-07 10:00:00,65.1200
2023-04-07 11:00:00,303.8900
2023-04-07 12:00:00,233.8600
2023-04-07 13:00:00,311.0800
2023-04-07 14:00:00,732.2000
2023-04-07 15:00:00,385.5800
2023-04-07 16:00:00,462.9300
2023-04-07 17:00:00,715.7100
2023-04-07 18:00:00,914.5800
2023-04-07 19:00:00,726.0700
2023-04-07 20:00:00,530.6700
2023-04-07 21:00:00,777.1100
2023-04-07 22:00:00,1325.1500
2023-04-07 23:00:00,829.2300
2023-04-08 00:00:00,1166.5100
2023-04-08 01:00:00,398.4500
2023-04-08 02:00:00,528.0500
2023-04-08 03:00:00,577.5500
2023-04-08 04:00:00,367.3800
2023-04-08 05:00:00,860.1500
2023-04-08 06:00:00,810.2900
2023-04-08 07:00:00,929.0200
2023-04-08 08:00:00,268.7100
2023-04-08 09:00:00,235.9600
2023-04-08 10:00:00,0
2023-04-08 11:00:00,1102.0900
2023-04-08 12:00:00,395.9000
2023-04-08 13:00:00,187.2100
2023-04-08 14:00:00,378.3400
2023-04-08 15:00:00,483.7100
2023-04-08 16:00:00,192.9100
2023-04-08 17:00:00,306.4300
2023-04-08 18:00:00,626.0500
2023-04-08 19:00:00,941.2400
2023-04-08 20:00:00,859.0000
2023-04-08 21:00:00,847.5200
2023-04-08 22:00:00,1079.9500
2023-04-08 23:00:00,1004.0300
2023-04-09 00:00:00,581.7000
2023-04-09 01:00:00,854.0500
2023-04-09 02:00:00,940.2400
2023-04-09 03:00:00,1773.8300
2023-04-09 04:00:00,2173.1300
2023-04-09 05:00:00,660.7000
2023-04-09 06:00:00,1289.2300
2023-04-09 07:00:00,894.6400
2023-04-09 08:00:00,158.0600
2023-04-09 09:00:00,165.2600
2023-04-09 10:00:00,0
2023-04-09 11:00:00,661.4500
2023-04-09 12:00:00,548.7400
2023-04-09 13:00:00,443.0500
2023-04-09 14:00:00,429.4200
2023-04-09 15:00:00,305.2100
2023-04-09 16:00:00,676.4300
2023-04-09 17:00:00,494.8100
2023-04-09 18:00:00,578.3100
2023-04-09 19:00:00,940.1400
2023-04-09 20:00:00,568.6000
2023-04-09 21:00:00,404.2300
2023-04-09 22:00:00,433.8000
2023-04-09 23:00:00,1003.7000
2023-04-10 00:00:00,166.9800
2023-04-10 01:00:00,233.0200
2023-04-10 02:00:00,210.4500
2023-04-10 03:00:00,148.4200
2023-04-10 04:00:00,255.3500
2023-04-10 05:00:00,501.7900
2023-04-10 06:00:00,597.4700
2023-04-10 07:00:00,870.5100
2023-04-10 08:00:00,79.7000
2023-04-10 09:00:00,290.3000
2023-04-10 10:00:00,565.7600
2023-04-10 11:00:00,477.1200
2023-04-10 12:00:00,226.9400
2023-04-10 13:00:00,508.4500
2023-04-10 14:00:00,538.5000
2023-04-10 15:00:00,267.6900
2023-04-10 16:00:00,386.5400
2023-04-10 17:00:00,471.3400
2023-04-10 18:00:00,618.3300
2023-04-10 19:00:00,1518.9600
2023-04-10 20:00:00,1193.2100
2023-04-10 21:00:00,542.7700
2023-04-10 22:00:00,496.5100
2023-04-10 23:00:00,635.1300
2023-04-11 00:00:00,298.9400
2023-04-11 01:00:00,0
2023-04-11 02:00:00,12.2900
2023-04-11 03:00:00,0
2023-04-11 04:00:00,0
2023-04-11 05:00:00,0
2023-04-11 06:00:00,0
2023-04-11 07:00:00,0
2023-04-11 08:00:00,0
2023-04-11 09:00:00,0
2023-04-11 10:00:00,0
2023-04-11 11:00:00,0
2023-04-11 12:00:00,0
2023-04-11 13:00:00,0
2023-04-11 14:00:00,0
2023-04-11 15:00:00,0
2023-04-11 16:00:00,0
2023-04-11 17:00:00,0
2023-04-11 18:00:00,613.1200
2023-04-11 19:00:00,795.9900
2023-04-11 20:00:00,837.4600
2023-04-11 21:00:00,260.9000
2023-04-11 22:00:00,712.9500
2023-04-11 23:00:00,942.7800
2023-04-12 00:00:00,167.8400
2023-04-12 01:00:00,340.8000
2023-04-12 02:00:00,430.5600
2023-04-12 03:00:00,227.1700
2023-04-12 04:00:00,186.5400
2023-04-12 05:00:00,453.3000
2023-04-12 06:00:00,564.2800
2023-04-12 07:00:00,630.8100
2023-04-12 08:00:00,129.4500
2023-04-12 09:00:00,498.6500
2023-04-12 10:00:00,670.8100
2023-04-12 11:00:00,327.5800
2023-04-12 12:00:00,207.9600
2023-04-12 13:00:00,163.1600
2023-04-12 14:00:00,75.9900
2023-04-12 15:00:00,1686.1600
2023-04-12 16:00:00,679.4800
2023-04-12 17:00:00,1029.4900
2023-04-12 18:00:00,604.8200
2023-04-12 19:00:00,438.1600
2023-04-12 20:00:00,562.8100
2023-04-12 21:00:00,231.2300
2023-04-12 22:00:00,650.3200
2023-04-12 23:00:00,369.0700
2023-04-13 00:00:00,373.8500
2023-04-13 01:00:00,349.9300
2023-04-13 02:00:00,290.9700
2023-04-13 03:00:00,275.3500
2023-04-13 04:00:00,333.9900
2023-04-13 05:00:00,518.1900
2023-04-13 06:00:00,313.5000
2023-04-13 07:00:00,215.0700
2023-04-13 08:00:00,403.3000
2023-04-13 09:00:00,323.1500
2023-04-13 10:00:00,122.6200
2023-04-13 11:00:00,270.1400
2023-04-13 12:00:00,405.1300
2023-04-13 13:00:00,557.6800
2023-04-13 14:00:00,122.2100
2023-04-13 15:00:00,594.3900
2023-04-13 16:00:00,362.4500
2023-04-13 17:00:00,1605.2500
2023-04-13 18:00:00,504.3000
2023-04-13 19:00:00,442.7100
2023-04-13 20:00:00,595.6900
2023-04-13 21:00:00,222.3400
2023-04-13 22:00:00,421.3700
2023-04-13 23:00:00,760.8400
2023-04-14 00:00:00,297.9700
2023-04-14 01:00:00,213.0000
2023-04-14 02:00:00,289.7400
2023-04-14 03:00:00,913.1500
2023-04-14 04:00:00,254.5400
2023-04-14 05:00:00,1055.2400
2023-04-14 06:00:00,1008.8600
2023-04-14 07:00:00,483.7200
2023-04-14 08:00:00,901.1600
2023-04-14 09:00:00,241.6900
2023-04-14 10:00:00,283.9800
2023-04-14 11:00:00,218.9000
2023-04-14 12:00:00,183.8500
2023-04-14 13:00:00,184.4800
2023-04-14 14:00:00,60.8000
2023-04-14 15:00:00,111.3700
2023-04-14 16:00:00,258.9100
2023-04-14 17:00:00,487.7900
2023-04-14 18:00:00,285.2900
2023-04-14 19:00:00,513.3400
2023-04-14 20:00:00,536.7200
2023-04-14 21:00:00,912.8200
2023-04-14 22:00:00,657.9700
2023-04-14 23:00:00,895.1300
2023-04-15 00:00:00,767.9000
2023-04-15 01:00:00,518.3800
2023-04-15 02:00:00,354.9500
2023-04-15 03:00:00,342.5100
2023-04-15 04:00:00,111.4900
2023-04-15 05:00:00,975.1200
2023-04-15 06:00:00,737.0000
2023-04-15 07:00:00,451.9300
2023-04-15 08:00:00,506.9300
2023-04-15 09:00:00,385.8900
2023-04-15 10:00:00,513.4000
2023-04-15 11:00:00,710.7900
2023-04-15 12:00:00,608.3700
2023-04-15 13:00:00,633.4500
2023-04-15 14:00:00,909
2023-04-15 15:00:00,619.7600
2023-04-15 16:00:00,187.4900
2023-04-15 17:00:00,627.9400
2023-04-15 18:00:00,613.7400
2023-04-15 19:00:00,922.5400
2023-04-15 20:00:00,977.8900
2023-04-15 21:00:00,903.4000
2023-04-15 22:00:00,732.7300
2023-04-15 23:00:00,961.9100
2023-04-16 00:00:00,698.4700
2023-04-16 01:00:00,481.8800
2023-04-16 02:00:00,262.2900
2023-04-16 03:00:00,435.0200
2023-04-16 04:00:00,198.9600
2023-04-16 05:00:00,759.7200
2023-04-16 06:00:00,731.8000
2023-04-16 07:00:00,796.1100
2023-04-16 08:00:00,232.3100
2023-04-16 09:00:00,357.4600
2023-04-16 10:00:00,739.2300
2023-04-16 11:00:00,945.1900
2023-04-16 12:00:00,785.3800
2023-04-16 13:00:00,271.8600
2023-04-16 14:00:00,132.7900
2023-04-16 15:00:00,235.1500
2023-04-16 16:00:00,321.7800
2023-04-16 17:00:00,386.7500
2023-04-16 18:00:00,274.6700
2023-04-16 19:00:00,189.2300
2023-04-16 20:00:00,568.5000
2023-04-16 21:00:00,333.2100
2023-04-16 22:00:00,807.2500
2023-04-16 23:00:00,706.4600
2023-04-17 00:00:00,140.3400
2023-04-17 01:00:00,155.4700
2023-04-17 02:00:00,273.7700
2023-04-17 03:00:00,116.9000
2023-04-17 04:00:00,265.9600
2023-04-17 05:00:00,947.8100
2023-04-17 06:00:00,633.8400
2023-04-17 07:00:00,644.0800
2023-04-17 08:00:00,558.6500
2023-04-17 09:00:00,262.6000
2023-04-17 10:00:00,320.7900
2023-04-17 11:00:00,228.8300
2023-04-17 12:00:00,175.8100
2023-04-17 13:00:00,357.4400
2023-04-17 14:00:00,259.0200
2023-04-17 15:00:00,487.9900
2023-04-17 16:00:00,243.3800
2023-04-17 17:00:00,462.7600
2023-04-17 18:00:00,487.3300
2023-04-17 19:00:00,765.4800
2023-04-17 20:00:00,1119.6100
2023-04-17 21:00:00,484.0800
2023-04-17 22:00:00,833.0600
2023-04-17 23:00:00,1010.8200
2023-04-18 00:00:00,529.4300
2023-04-18 01:00:00,752.1600
2023-04-18 02:00:00,712.2300
2023-04-18 03:00:00,625.3800
2023-04-18 04:00:00,577.7600
2023-04-18 05:00:00,645.2800
2023-04-18 06:00:00,346.5000
2023-04-18 07:00:00,521.2600
2023-04-18 08:00:00,57.9400
2023-04-18 09:00:00,135.7600
2023-04-18 10:00:00,61.8000
2023-04-18 11:00:00,457.2700
2023-04-18 12:00:00,259.0800
2023-04-18 13:00:00,167.4000
2023-04-18 14:00:00,367.4900
2023-04-18 15:00:00,471.4700
2023-04-18 16:00:00,391.5600
2023-04-18 17:00:00,869.5400
2023-04-18 18:00:00,298.4600
2023-04-18 19:00:00,664.1900
2023-04-18 20:00:00,1463.1400
2023-04-18 21:00:00,340.8200
2023-04-18 22:00:00,941.9800
2023-04-18 23:00:00,678.6200
2023-04-19 00:00:00,1125.9100
2023-04-19 01:00:00,1199.9400
2023-04-19 02:00:00,462.9700
2023-04-19 03:00:00,383.3800
2023-04-19 04:00:00,311.8000
2023-04-19 05:00:00,1015.4400
2023-04-19 06:00:00,1186.0700
2023-04-19 07:00:00,649.2400
2023-04-19 08:00:00,232.5300
2023-04-19 09:00:00,283.5600
2023-04-19 10:00:00,500.3600
2023-04-19 11:00:00,542.6700
2023-04-19 12:00:00,513.1200
2023-04-19 13:00:00,636.3000
2023-04-19 14:00:00,591.8800
2023-04-19 15:00:00,609.7500
2023-04-19 16:00:00,657.4700
2023-04-19 17:00:00,712.0600
2023-04-19 18:00:00,635.7900
2023-04-19 19:00:00,393.2000
2023-04-19 20:00:00,620.1600
2023-04-19 21:00:00,742.8700
2023-04-19 22:00:00,902.5000
2023-04-19 23:00:00,747.5100
2023-04-20 00:00:00,985.8800
2023-04-20 01:00:00,633.0500
2023-04-20 02:00:00,848.2300
2023-04-20 03:00:00,565.1000
2023-04-20 04:00:00,894.3200
2023-04-20 05:00:00,835.0300
2023-04-20 06:00:00,1097.3600
2023-04-20 07:00:00,707.0900
2023-04-20 08:00:00,699.2100
2023-04-20 09:00:00,775.1100
2023-04-20 10:00:00,367.7700
2023-04-20 11:00:00,450.9900
2023-04-20 12:00:00,480.0600
2023-04-20 13:00:00,60.8800
2023-04-20 14:00:00,271.0100
2023-04-20 15:00:00,663.7300
2023-04-20 16:00:00,449.6200
2023-04-20 17:00:00,202.6600
2023-04-20 18:00:00,741.6600
2023-04-20 19:00:00,587.2700
2023-04-20 20:00:00,1017.5500
2023-04-20 21:00:00,248.3200
2023-04-20 22:00:00,779.3100
2023-04-20 23:00:00,1109.5700
2023-04-21 00:00:00,341.0800
2023-04-21 01:00:00,506.5100
