date,volume_discharging_energy
2023-04-01 00:00:00,7.7062
2023-04-01 01:00:00,2.5470
2023-04-01 02:00:00,4.1560
2023-04-01 03:00:00,5.4766
2023-04-01 04:00:00,2.7507
2023-04-01 05:00:00,4.5075
2023-04-01 06:00:00,4.1725
2023-04-01 07:00:00,5.7013
2023-04-01 08:00:00,3.9266
2023-04-01 09:00:00,3.4419
2023-04-01 10:00:00,2.2437
2023-04-01 11:00:00,4.9690
2023-04-01 12:00:00,4.9201
2023-04-01 13:00:00,5.0786
2023-04-01 14:00:00,5.4662
2023-04-01 15:00:00,5.9911
2023-04-01 16:00:00,2.3336
2023-04-01 17:00:00,3.0241
2023-04-01 18:00:00,2.9210
2023-04-01 19:00:00,3.9657
2023-04-01 20:00:00,3.5851
2023-04-01 21:00:00,2.9080
2023-04-01 22:00:00,5.1430
2023-04-01 23:00:00,1.7233
2023-04-02 00:00:00,6.1975
2023-04-02 01:00:00,2.1264
2023-04-02 02:00:00,3.8832
2023-04-02 03:00:00,3.4797
2023-04-02 04:00:00,3.1925
2023-04-02 05:00:00,4.0841
2023-04-02 06:00:00,2.1870
2023-04-02 07:00:00,5.1501
2023-04-02 08:00:00,2.4530
2023-04-02 09:00:00,6.3971
2023-04-02 10:00:00,2.3329
2023-04-02 11:00:00,2.4899
2023-04-02 12:00:00,3.8617
2023-04-02 13:00:00,3.2409
2023-04-02 14:00:00,2.6621
2023-04-02 15:00:00,4.5229
2023-04-02 16:00:00,4.8918
2023-04-02 17:00:00,2.3360
2023-04-02 18:00:00,3.0998
2023-04-02 19:00:00,5.5695
2023-04-02 20:00:00,0.4891
2023-04-02 21:00:00,5.5277
2023-04-02 22:00:00,6.9635
2023-04-02 23:00:00,2.0041
2023-04-03 00:00:00,5.7077
2023-04-03 01:00:00,4.5108
2023-04-03 02:00:00,3.6275
2023-04-03 03:00:00,4.8146
2023-04-03 04:00:00,2.3057
2023-04-03 05:00:00,3.7201
2023-04-03 06:00:00,1.3928
2023-04-03 07:00:00,6.6765
2023-04-03 08:00:00,3.9217
2023-04-03 09:00:00,3.7704
2023-04-03 10:00:00,2.1770
