date,revenue_offeredcapacity_reg
2023-04-01 00:00:00,75.6100
2023-04-01 01:00:00,0
2023-04-01 02:00:00,6.8700
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,0
2023-04-01 06:00:00,0
2023-04-01 07:00:00,0
2023-04-01 08:00:00,0
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,47.9200
2023-04-01 12:00:00,101.7100
2023-04-01 13:00:00,107.9200
2023-04-01 14:00:00,103.5400
2023-04-01 15:00:00,174.2600
2023-04-01 16:00:00,85.3600
2023-04-01 17:00:00,227.0900
2023-04-01 18:00:00,323.2500
2023-04-01 19:00:00,153.4000
2023-04-01 20:00:00,143.6800
2023-04-01 21:00:00,152.6300
2023-04-01 22:00:00,140.6900
2023-04-01 23:00:00,164.8900
2023-04-02 00:00:00,110.7100
2023-04-02 01:00:00,56.4900
2023-04-02 02:00:00,133.8200
2023-04-02 03:00:00,84.7900
2023-04-02 04:00:00,138.6200
2023-04-02 05:00:00,238.9200
2023-04-02 06:00:00,167.0100
2023-04-02 07:00:00,163.5700
2023-04-02 08:00:00,36.6300
2023-04-02 09:00:00,54.6100
2023-04-02 10:00:00,117.8700
2023-04-02 11:00:00,280
2023-04-02 12:00:00,136.2800
2023-04-02 13:00:00,128.2200
2023-04-02 14:00:00,112.3500
2023-04-02 15:00:00,118.0200
2023-04-02 16:00:00,123.4900
2023-04-02 17:00:00,157.5400
2023-04-02 18:00:00,189.0100
2023-04-02 19:00:00,184.2100
2023-04-02 20:00:00,306.3800
2023-04-02 21:00:00,165.1600
2023-04-02 22:00:00,216.1800
2023-04-02 23:00:00,215.4700
2023-04-03 00:00:00,118.7300
2023-04-03 01:00:00,150.7500
2023-04-03 02:00:00,79.2700
2023-04-03 03:00:00,168.3300
2023-04-03 04:00:00,198.4900
2023-04-03 05:00:00,236.6800
2023-04-03 06:00:00,171.3000
2023-04-03 07:00:00,93.8700
2023-04-03 08:00:00,14.7800
2023-04-03 09:00:00,19.3600
2023-04-03 10:00:00,114.0300
2023-04-03 11:00:00,37.0100
2023-04-03 12:00:00,111.1400
2023-04-03 13:00:00,274.3500
2023-04-03 14:00:00,89.4900
2023-04-03 15:00:00,109.4800
2023-04-03 16:00:00,173.1200
2023-04-03 17:00:00,291.8400
2023-04-03 18:00:00,161.3800
2023-04-03 19:00:00,123.1300
2023-04-03 20:00:00,181.3100
2023-04-03 21:00:00,155.4700
2023-04-03 22:00:00,190.3900
2023-04-03 23:00:00,220.9900
2023-04-04 00:00:00,160.2000
2023-04-04 01:00:00,119.5000
2023-04-04 02:00:00,217.1700
2023-04-04 03:00:00,170.1200
2023-04-04 04:00:00,134.1200
2023-04-04 05:00:00,101.4600
2023-04-04 06:00:00,201.5500
2023-04-04 07:00:00,128.0600
2023-04-04 08:00:00,13.6900
2023-04-04 09:00:00,47.8000
2023-04-04 10:00:00,71.4900
2023-04-04 11:00:00,94.6700
2023-04-04 12:00:00,121.2200
2023-04-04 13:00:00,109.6700
2023-04-04 14:00:00,120.7200
2023-04-04 15:00:00,115.2900
2023-04-04 16:00:00,44.2500
2023-04-04 17:00:00,195.1000
2023-04-04 18:00:00,299.7500
2023-04-04 19:00:00,170.9000
2023-04-04 20:00:00,206.5800
2023-04-04 21:00:00,122.0800
2023-04-04 22:00:00,147.7000
2023-04-04 23:00:00,0
2023-04-05 00:00:00,0
2023-04-05 01:00:00,0
2023-04-05 02:00:00,0
2023-04-05 03:00:00,0
2023-04-05 04:00:00,0
2023-04-05 05:00:00,0
2023-04-05 06:00:00,0
2023-04-05 07:00:00,0
2023-04-05 08:00:00,0
2023-04-05 09:00:00,0
2023-04-05 10:00:00,0
2023-04-05 11:00:00,0
2023-04-05 12:00:00,0
2023-04-05 13:00:00,24.8400
2023-04-05 14:00:00,0
2023-04-05 15:00:00,20.7400
2023-04-05 16:00:00,68.6500
2023-04-05 17:00:00,86.8400
2023-04-05 18:00:00,102.1200
2023-04-05 19:00:00,164.8000
2023-04-05 20:00:00,121.8500
2023-04-05 21:00:00,271.1200
2023-04-05 22:00:00,208.9800
2023-04-05 23:00:00,265.0500
2023-04-06 00:00:00,189.3300
2023-04-06 01:00:00,88.7300
2023-04-06 02:00:00,72.1500
2023-04-06 03:00:00,145.5400
2023-04-06 04:00:00,49.3900
2023-04-06 05:00:00,125.9200
