date,volume_offeredcapacity_reg
2023-04-01 00:00:00,4.0220
2023-04-01 01:00:00,0
2023-04-01 02:00:00,0.1900
2023-04-01 03:00:00,0
2023-04-01 04:00:00,0
2023-04-01 05:00:00,0
2023-04-01 06:00:00,0
2023-04-01 07:00:00,0
2023-04-01 08:00:00,0
2023-04-01 09:00:00,0
2023-04-01 10:00:00,0
2023-04-01 11:00:00,1.4880
2023-04-01 12:00:00,3.0160
2023-04-01 13:00:00,4.5430
2023-04-01 14:00:00,4.4470
2023-04-01 15:00:00,6.7390
2023-04-01 16:00:00,6.1820
2023-04-01 17:00:00,5.8740
2023-04-01 18:00:00,5.4320
2023-04-01 19:00:00,4.4810
2023-04-01 20:00:00,4.4690
2023-04-01 21:00:00,4.6080
2023-04-01 22:00:00,4.4450
2023-04-01 23:00:00,4.5930
2023-04-02 00:00:00,4.5060
2023-04-02 01:00:00,4.7480
2023-04-02 02:00:00,5.3390
2023-04-02 03:00:00,4.5360
2023-04-02 04:00:00,4.7020
2023-04-02 05:00:00,5.6320
2023-04-02 06:00:00,6.7950
2023-04-02 07:00:00,6.2660
2023-04-02 08:00:00,4.3060
2023-04-02 09:00:00,4.2860
2023-04-02 10:00:00,4.8390
2023-04-02 11:00:00,6.1490
2023-04-02 12:00:00,6.4220
2023-04-02 13:00:00,6.7520
2023-04-02 14:00:00,6.5280
2023-04-02 15:00:00,6.8040
2023-04-02 16:00:00,6.7530
2023-04-02 17:00:00,5.7700
2023-04-02 18:00:00,5.4540
2023-04-02 19:00:00,4.6320
2023-04-02 20:00:00,4.3760
2023-04-02 21:00:00,4.5480
2023-04-02 22:00:00,5.7300
2023-04-02 23:00:00,5.7900
2023-04-03 00:00:00,5.3360
2023-04-03 01:00:00,6.0370
2023-04-03 02:00:00,6.0770
2023-04-03 03:00:00,6.8040
2023-04-03 04:00:00,6.8610
2023-04-03 05:00:00,5.6830
2023-04-03 06:00:00,3.5850
2023-04-03 07:00:00,4.3130
2023-04-03 08:00:00,3.2240
2023-04-03 09:00:00,4.3070
2023-04-03 10:00:00,4.7790
2023-04-03 11:00:00,4.3200
2023-04-03 12:00:00,4.7480
2023-04-03 13:00:00,4.5950
2023-04-03 14:00:00,5.5170
2023-04-03 15:00:00,5.1180
2023-04-03 16:00:00,6.4400
2023-04-03 17:00:00,5.7480
2023-04-03 18:00:00,5.9980
2023-04-03 19:00:00,4.2560
2023-04-03 20:00:00,4.5950
2023-04-03 21:00:00,4.2830
2023-04-03 22:00:00,5.7780
2023-04-03 23:00:00,7.3220
2023-04-04 00:00:00,5.5220
2023-04-04 01:00:00,6.7150
2023-04-04 02:00:00,8.2360
2023-04-04 03:00:00,6.1490
2023-04-04 04:00:00,6.6380
2023-04-04 05:00:00,4.8590
2023-04-04 06:00:00,4.3960
2023-04-04 07:00:00,4.4570
2023-04-04 08:00:00,4.2930
2023-04-04 09:00:00,4.3320
2023-04-04 10:00:00,4.9680
2023-04-04 11:00:00,5.2030
2023-04-04 12:00:00,4.8920
2023-04-04 13:00:00,5.4930
2023-04-04 14:00:00,4.5600
2023-04-04 15:00:00,5.0700
2023-04-04 16:00:00,4.2680
2023-04-04 17:00:00,4.4690
2023-04-04 18:00:00,4.4450
2023-04-04 19:00:00,4.4280
2023-04-04 20:00:00,4.4410
2023-04-04 21:00:00,4.3090
2023-04-04 22:00:00,2.9400
2023-04-04 23:00:00,0
2023-04-05 00:00:00,0
2023-04-05 01:00:00,0
2023-04-05 02:00:00,0
2023-04-05 03:00:00,0
2023-04-05 04:00:00,0
2023-04-05 05:00:00,0
2023-04-05 06:00:00,0
2023-04-05 07:00:00,0
2023-04-05 08:00:00,0
2023-04-05 09:00:00,0
2023-04-05 10:00:00,0
2023-04-05 11:00:00,0
2023-04-05 12:00:00,0
2023-04-05 13:00:00,0.6720
2023-04-05 14:00:00,0
2023-04-05 15:00:00,1.4650
2023-04-05 16:00:00,2.9360
2023-04-05 17:00:00,4.7010
2023-04-05 18:00:00,4.4660
2023-04-05 19:00:00,6.1200
2023-04-05 20:00:00,4.4180
2023-04-05 21:00:00,5.2740
2023-04-05 22:00:00,7.6830
2023-04-05 23:00:00,6.1320
2023-04-06 00:00:00,6.7470
2023-04-06 01:00:00,5.4670
2023-04-06 02:00:00,6.7430
2023-04-06 03:00:00,5.6290
2023-04-06 04:00:00,5.1480
2023-04-06 05:00:00,6.8630
2023-04-06 06:00:00,6.2560
2023-04-06 07:00:00,4.9060
2023-04-06 08:00:00,4.4790
2023-04-06 09:00:00,4.2780
2023-04-06 10:00:00,4.2770
2023-04-06 11:00:00,5.2980
2023-04-06 12:00:00,3.2180
2023-04-06 13:00:00,4.2700
2023-04-06 14:00:00,4.2650
2023-04-06 15:00:00,4.3290
2023-04-06 16:00:00,4.3050
2023-04-06 17:00:00,6.2110
2023-04-06 18:00:00,6.6570
2023-04-06 19:00:00,4.2970
2023-04-06 20:00:00,4.3160
2023-04-06 21:00:00,4.3490
2023-04-06 22:00:00,6.1930
2023-04-06 23:00:00,4.7980
2023-04-07 00:00:00,5.2040
2023-04-07 01:00:00,5.9420
2023-04-07 02:00:00,6.2090
2023-04-07 03:00:00,5.4730
2023-04-07 04:00:00,6.0460
2023-04-07 05:00:00,5.0020
2023-04-07 06:00:00,5.8180
2023-04-07 07:00:00,5.0630
2023-04-07 08:00:00,4.3240
2023-04-07 09:00:00,4.2880
2023-04-07 10:00:00,4.2590
2023-04-07 11:00:00,4.2750
2023-04-07 12:00:00,7.4610
2023-04-07 13:00:00,5.3330
2023-04-07 14:00:00,5.8810
2023-04-07 15:00:00,5.7240
2023-04-07 16:00:00,4.3230
2023-04-07 17:00:00,4.6480
2023-04-07 18:00:00,4.4760
2023-04-07 19:00:00,4.7620
